season,team,plays,avg_epa,median_epa,success_rate,explosive_plays,explosive_rate,total_yards,early_down_epa,late_down_epa,third_down_sr,fourth_down_sr,red_zone_epa,pass_epa_per_play,rush_epa_per_play,turnover_epa,avg_start_yardline_100
2025,ARI,407.0,-0.005166948307305574,-0.14941638708114624,0.4559585452079773,0.0,0.0,1442.0,0.0032339096069335938,-0.029169831424951553,0.4117647111415863,0.625,0.01824916899204254,,,-10.759581565856934,49.340850830078125
2025,ATL,338.0,-0.03265061974525452,-0.07334744185209274,0.5445544719696045,0.0,0.0,1452.0,-0.028541849926114082,-0.06347987800836563,0.5,0.8333333134651184,-0.004028144758194685,,,-8.546196937561035,47.63582229614258
2025,BAL,356.0,0.0705893263220787,0.0,0.523809552192688,0.0,0.0,1559.0,0.062045056372880936,0.05737179145216942,0.4516128897666931,0.4444444477558136,-0.1549467146396637,,,-31.898822784423828,48.39031219482422
2025,BUF,431.0,0.15206369757652283,0.0,0.5,0.0,0.0,1979.0,0.11425752937793732,0.2905922532081604,0.4000000059604645,0.4444444477558136,0.09833326190710068,,,-15.640006065368652,44.940616607666016
2025,CAR,426.0,-0.021965662017464638,-0.0352322980761528,0.4699999988079071,0.0,0.0,1575.0,0.0012347770389169455,-0.10167169570922852,0.3571428656578064,0.3125,0.12131056189537048,,,-6.889562606811523,45.860191345214844
2025,CHI,338.0,-0.036213673651218414,-0.1613781750202179,0.5258620977401733,0.0,0.0,1312.0,-0.10607524961233139,0.040491364896297455,0.47058823704719543,0.6666666865348816,-0.04561127349734306,,,-9.991832733154297,46.36857986450195
2025,CIN,374.0,-0.1290176659822464,-0.14224112033843994,0.47727271914482117,0.0,0.0,1143.0,-0.26404017210006714,0.03344747796654701,0.3214285671710968,0.529411792755127,0.286080539226532,,,-13.331840515136719,52.23513412475586
2025,CLE,439.0,-0.15988774597644806,-0.20401692390441895,0.4060913622379303,0.0,0.0,1441.0,-0.15203091502189636,-0.26958146691322327,0.25,0.4545454680919647,0.11341849714517593,,,-15.93548583984375,49.31713104248047
2025,DAL,450.0,0.15035566687583923,0.0,0.5123152732849121,0.0,0.0,2035.0,0.17144936323165894,0.11260499805212021,0.4399999976158142,0.38461539149284363,0.08605578541755676,,,0.0,48.10250473022461
2025,DEN,426.0,0.04166817665100098,-0.0385819673538208,0.5348837375640869,0.0,0.0,1778.0,-0.014346752315759659,0.11952043324708939,0.4516128897666931,0.5625,0.258006751537323,,,-4.522922039031982,48.0739860534668
2025,DET,407.0,0.12839430570602417,0.03705713897943497,0.5375939607620239,0.0,0.0,1825.0,0.11409692466259003,0.06607440114021301,0.45945945382118225,0.5,0.2601940333843231,,,-10.545876502990723,44.36868667602539
2025,GB,335.0,0.09855341166257858,0.0,0.5555555820465088,0.0,0.0,1389.0,0.029397718608379364,0.2907041907310486,0.8235294222831726,0.6000000238418579,0.2172282487154007,,,-2.836663246154785,45.45121765136719
2025,HOU,384.0,0.014451012015342712,-0.1055794507265091,0.5109890103340149,0.0,0.0,1572.0,0.005347943399101496,0.034405242651700974,0.5357142686843872,0.7142857313156128,-0.05139368772506714,,,0.0,49.51458740234375
2025,IND,399.0,0.1685514599084854,0.06757300347089767,0.5277777910232544,0.0,0.0,1908.0,0.1533544808626175,0.24609433114528656,0.6000000238418579,0.800000011920929,0.05909717455506325,,,-9.645784378051758,41.30513000488281
2025,JAX,422.0,0.029576776549220085,-0.03750375285744667,0.5107526779174805,0.0,0.0,1713.0,0.02102327160537243,0.02743077464401722,0.48275861144065857,0.5,0.022061321884393692,,,-9.046968460083008,47.42578887939453
2025,KC,409.0,0.10158240050077438,0.0,0.5392670035362244,0.0,0.0,1805.0,0.062255166471004486,0.21220184862613678,0.4166666567325592,0.692307710647583,-0.07782994955778122,,,-12.658111572265625,45.04499816894531
2025,LA,409.0,0.01841522939503193,0.04805825650691986,0.5867347121238708,0.0,0.0,2009.0,0.04787937179207802,-0.1160646378993988,0.5,0.6428571343421936,-0.11484736949205399,,,-18.19931411743164,45.725685119628906
2025,LAC,419.0,-0.01784646511077881,-0.07552620768547058,0.46739131212234497,0.0,0.0,1763.0,-0.06794910132884979,0.11573024839162827,0.4838709533214569,0.6428571343421936,-0.12361152470111847,,,-29.04732322692871,49.88807678222656
2025,LV,395.0,-0.11581771075725555,-0.14747649431228638,0.5290697813034058,0.0,0.0,1616.0,-0.11393959075212479,-0.20849427580833435,0.47826087474823,0.4000000059604645,-0.2235817015171051,,,-33.037315368652344,49.77002716064453
2025,MIA,356.0,0.06617533415555954,-0.02591617777943611,0.5,0.0,0.0,1395.0,-0.06922122091054916,0.2880433201789856,0.38461539149284363,0.7333333492279053,0.29743528366088867,,,-1.418931484222412,45.49137878417969
2025,MIN,391.0,-0.043123938143253326,-0.05920840799808502,0.4848484992980957,0.0,0.0,1529.0,0.025940028950572014,-0.2328978031873703,0.3333333432674408,0.5,0.2395509034395218,,,-15.773292541503906,51.5699462890625
2025,NE,396.0,0.0625627413392067,-0.004787575453519821,0.5,0.0,0.0,1685.0,-0.05037850886583328,0.2978978455066681,0.3478260934352875,0.6666666865348816,0.048540204763412476,,,-4.968625545501709,47.72236633300781
2025,NO,442.0,-0.10232602059841156,-0.07578151673078537,0.5026177763938904,0.0,0.0,1536.0,0.012002378702163696,-0.4171425402164459,0.4838709533214569,0.6000000238418579,-0.09589653462171555,,,-5.471053123474121,46.8229866027832
