season,team,net_epa,power_score_plus,rank_power_plus
2025,IND,0.22429966181516642,1.9980644345716467,1
2025,DET,0.1857179552316664,1.6516002051435996,2
2025,HOU,0.162177100777626,1.4402030244397017,3
2025,SEA,0.1166422925889491,1.031299851711962,4
2025,WAS,0.10116263944655661,0.8922923641560309,5
2025,BUF,0.09359542652964589,0.8243386932498126,6
2025,DEN,0.09119803830981241,0.8028101156990283,7
2025,GB,0.0903282053768634,0.7949990045914082,8
2025,JAX,0.0730872135609387,0.6401746727243928,9
2025,NE,0.0606529746437446,0.5285150447178838,10
2025,MIN,0.052454814314842196,0.45489545780475654,11
2025,KC,0.0514549203217029,0.44591639667657684,12
2025,PHI,0.0377727635204791,0.3230504497597288,13
2025,LA,0.0370051786303519,0.3161575274131506,14
2025,SF,0.0348516581580042,0.29681888542242646,15
2025,ARI,0.013414883520454201,0.10431636897340665,16
2025,TB,0.007221698760986297,0.04870148888118653,17
2025,PIT,0.003431785851717002,0.014668021417335503,18
2025,,0.0,-0.016149460388554696,19
2025,LAC,-0.0039627319201827015,-0.05173484482935556,20
2025,DAL,-0.014019548892974881,-0.14204519269943833,21
2025,ATL,-0.028898476855829403,-0.2756581602909348,22
2025,CAR,-0.0352273313328623,-0.33249135622025117,23
2025,CHI,-0.0589252710342407,-0.5452991644985329,24
2025,BAL,-0.0788636431097984,-0.7243460063549807,25
2025,NYG,-0.0991590321063994,-0.9065988648290276,26
2025,MIA,-0.1022277250885963,-0.9341557679205771,27
2025,NO,-0.1176627567037939,-1.0727625535790424,28
2025,NYJ,-0.1365207638591528,-1.2421077043304662,29
2025,CLE,-0.1398404128849506,-1.2719181959738421,30
2025,LV,-0.16136521100997908,-1.4652111644909889,31
2025,TEN,-0.1948413141071796,-1.7658270078758327,32
2025,CIN,-0.20560850948095322,-1.8625165630722087,33
