season,team,plays_allowed,avg_epa_allowed,median_epa_allowed,success_rate_allowed,explosive_allowed,explosive_rate_allowed,yards_allowed,early_down_epa_allowed,late_down_epa_allowed,third_down_sr_allowed,fourth_down_sr_allowed,red_zone_epa_allowed,pass_epa_per_play_allowed,rush_epa_per_play_allowed,turnover_epa_forced,avg_start_yardline_100_faced
2025,ARI,437.0,-0.018581831827759743,-0.06720659136772156,0.457446813583374,0.0,0.0,1733.0,0.029337801039218903,-0.153554767370224,0.517241358757019,0.4375,-0.0202370285987854,,,-3.4099204540252686,46.274417877197266
2025,ATL,287.0,-0.0037521428894251585,0.0,0.5408163070678711,0.0,0.0,978.0,-0.08162199705839157,0.0933137908577919,0.2222222238779068,0.8571428656578064,0.13092626631259918,,,-4.520242691040039,47.18345260620117
2025,BAL,459.0,0.14945296943187714,0.04153026267886162,0.567375898361206,0.0,0.0,2044.0,0.123040571808815,0.18899193406105042,0.5,0.7142857313156128,0.22446176409721375,,,-1.7007797956466675,42.78666687011719
2025,BUF,368.0,0.05846827104687691,0.0,0.5478723645210266,0.0,0.0,1498.0,-0.006780295167118311,0.15500205755233765,0.38461539149284363,0.692307710647583,0.04543229192495346,,,-10.439679145812988,45.674930572509766
2025,CAR,371.0,0.01326166931539774,-0.13043716549873352,0.43558281660079956,0.0,0.0,1559.0,0.0047133988700807095,0.11176636815071106,0.3478260934352875,0.6428571343421936,0.13006465137004852,,,0.0,48.231842041015625
2025,CHI,304.0,0.02271159738302231,0.030269023030996323,0.5612244606018066,0.0,0.0,1522.0,0.19244128465652466,-0.48693859577178955,0.25,0.25,0.11353077739477158,,,-20.999204635620117,45.60200500488281
2025,CIN,435.0,0.07659084349870682,0.0,0.5450000166893005,0.0,0.0,1956.0,0.09499374032020569,-0.04658708721399307,0.5,0.4000000059604645,0.15075796842575073,,,-9.818674087524414,44.33490753173828
2025,CLE,388.0,-0.02004733309149742,-0.058355167508125305,0.469613254070282,0.0,0.0,1239.0,-0.07765599340200424,0.058654047548770905,0.4444444477558136,0.3571428656578064,0.2653793394565582,,,-11.861486434936523,50.534210205078125
2025,DAL,442.0,0.1643752157688141,0.020920254290103912,0.5454545617103577,0.0,0.0,2064.0,0.0571260042488575,0.465328186750412,0.6470588445663452,0.5714285969734192,0.12408678233623505,,,-6.9710893630981445,44.912845611572266
2025,DEN,417.0,-0.04952986165881157,-0.11647505313158035,0.43529412150382996,0.0,0.0,1443.0,0.0016122121596708894,-0.1789986938238144,0.19230769574642181,0.4761904776096344,-0.1818408966064453,,,-5.962163925170898,52.77750778198242
2025,DET,388.0,-0.057323649525642395,-0.19166240096092224,0.46332046389579773,0.0,0.0,1494.0,-0.16233670711517334,0.07639327645301819,0.4285714328289032,0.4285714328289032,0.11192989349365234,,,-38.57846450805664,49.98181915283203
2025,GB,339.0,0.008225206285715103,-0.04866873100399971,0.5765765905380249,0.0,0.0,1135.0,0.050824958831071854,-0.13032878935337067,0.4166666567325592,0.4285714328289032,0.10953506827354431,,,0.0,48.62388229370117
2025,HOU,388.0,-0.14772608876228333,-0.1598614603281021,0.41496598720550537,0.0,0.0,1329.0,-0.11050047725439072,-0.29519593715667725,0.3684210479259491,0.2666666805744171,-0.018837183713912964,,,-19.77042579650879,54.939632415771484
2025,IND,392.0,-0.05574820190668106,0.00695867370814085,0.5649999976158142,0.0,0.0,1577.0,-0.09741855412721634,-0.09817609190940857,0.5555555820465088,0.5714285969734192,0.14699216187000275,,,-18.54898452758789,44.43264389038086
2025,JAX,400.0,-0.04351043701171875,-0.006500806659460068,0.5675675868988037,0.0,0.0,1743.0,-0.10551263391971588,0.003462434746325016,0.5909090638160706,0.4444444477558136,-0.10831659287214279,,,-29.291580200195312,47.6827392578125
2025,KC,382.0,0.050127480179071426,0.0,0.5542168617248535,0.0,0.0,1570.0,0.019989965483546257,0.07000323385000229,0.52173912525177,0.5,0.05058198794722557,,,-17.17023468017578,46.70212936401367
2025,LA,432.0,-0.01858994923532009,-0.10437310487031937,0.4736842215061188,0.0,0.0,1545.0,-0.1426878571510315,0.2910739779472351,0.4375,0.7777777910232544,0.1269528567790985,,,-9.031698226928711,50.5399055480957
2025,LAC,396.0,-0.013883733190596104,-0.15053555369377136,0.5157894492149353,0.0,0.0,1471.0,-0.11157838255167007,0.13987506926059723,0.4516128897666931,0.692307710647583,-0.193313866853714,,,-9.183673858642578,47.62467956542969
2025,LV,400.0,0.045547500252723694,-0.006354877259582281,0.5243242979049683,0.0,0.0,1643.0,-0.00977833941578865,0.13496309518814087,0.6206896305084229,0.5833333134651184,-0.1653495728969574,,,-10.605918884277344,43.65394592285156
2025,MIA,409.0,0.16840305924415588,0.036690376698970795,0.528205156326294,0.0,0.0,1920.0,0.1045815497636795,0.36669760942459106,0.3913043439388275,0.5833333134651184,0.12533125281333923,,,-23.21095085144043,45.01243591308594
2025,MIN,408.0,-0.09557875245809555,-0.08914117515087128,0.5,0.0,0.0,1449.0,-0.13535547256469727,-0.11084918677806854,0.25925925374031067,0.5789473652839661,0.003230287926271558,,,2.186284303665161,47.414573669433594
2025,NE,397.0,0.0019097666954621673,0.0,0.5102040767669678,0.0,0.0,1639.0,0.028358452022075653,-0.13739486038684845,0.4166666567325592,0.23076923191547394,0.2183370143175125,,,-11.666794776916504,48.45244216918945
2025,NO,408.0,0.015336736105382442,-0.019358817487955093,0.5159574747085571,0.0,0.0,1631.0,-0.07021216303110123,0.1488761007785797,0.3181818127632141,0.4000000059604645,0.08252522349357605,,,-29.518657684326172,46.560001373291016
