season,week,team,off_3d_att,off_3d_conv,off_3d_rate,off_3d_sr,off_3d_pass_rate,off_3d_avg_togo,off_3d_epa_per_play,def_3d_att_faced,def_3d_allowed_conv,def_3d_allowed_rate,def_3d_sr_allowed,def_3d_pass_rate_faced,def_3d_avg_togo_faced,def_3d_epa_allowed_per_play,conv_rate,def_3d_epa_per_play
2025,1,ARI,15,7,0.4666666666666667,0.4666666666666667,0.6666666666666666,9.066666666666666,0.2260702441136042,18,6,0.3333333333333333,0.3333333333333333,0.6666666666666666,6.555555555555555,-0.2805738929245207,0.4666666666666667,-0.2805738929245207
2025,1,ATL,16,6,0.375,0.375,0.875,6.125,-0.3015453852713108,14,7,0.5,0.5,0.8571428571428571,5.928571428571429,0.3113395380122321,0.375,0.3113395380122321
2025,1,BAL,13,6,0.4615384615384615,0.4615384615384615,0.6153846153846154,8.0,0.5737181168336135,17,8,0.4705882352941176,0.4705882352941176,0.5882352941176471,5.117647058823529,0.220783160013311,0.4615384615384615,0.220783160013311
2025,1,BUF,17,8,0.4705882352941176,0.4705882352941176,0.5882352941176471,5.117647058823529,0.220783160013311,13,6,0.4615384615384615,0.4615384615384615,0.6153846153846154,8.0,0.5737181168336135,0.4705882352941176,0.5737181168336135
2025,1,CAR,16,9,0.5625,0.5625,0.8125,5.5,0.1058821529150009,12,5,0.4166666666666667,0.4166666666666667,0.6666666666666666,6.416666666666667,0.1521995787819226,0.5625,0.1521995787819226
2025,1,CHI,14,4,0.2857142857142857,0.2857142857142857,0.7857142857142857,10.285714285714286,-0.0970031885164124,15,5,0.3333333333333333,0.3333333333333333,0.5333333333333333,7.933333333333334,-0.7393642097711564,0.2857142857142857,-0.7393642097711564
2025,1,CIN,14,7,0.5,0.5,0.7142857142857143,6.0,0.0618648380041122,19,11,0.5789473684210527,0.5789473684210527,0.631578947368421,5.0,0.3451372164448625,0.5,0.3451372164448625
2025,1,CLE,19,11,0.5789473684210527,0.5789473684210527,0.631578947368421,5.0,0.3451372164448625,14,7,0.5,0.5,0.7142857142857143,6.0,0.0618648380041122,0.5789473684210527,0.0618648380041122
2025,1,DAL,12,8,0.6666666666666666,0.6666666666666666,0.75,6.583333333333333,0.6973956376314163,12,8,0.6666666666666666,0.6666666666666666,0.8333333333333334,6.25,0.5686390617241462,0.6666666666666666,0.5686390617241462
2025,1,DEN,17,10,0.5882352941176471,0.5882352941176471,0.6470588235294118,5.647058823529412,0.3680244868292528,14,2,0.1428571428571428,0.1428571428571428,0.8571428571428571,11.5,-0.3823321943304368,0.5882352941176471,-0.3823321943304368
2025,1,DET,15,5,0.3333333333333333,0.3333333333333333,0.8666666666666667,6.866666666666666,-0.5070665329694748,11,5,0.4545454545454545,0.4545454545454545,0.5454545454545454,4.636363636363637,0.3481053682890805,0.3333333333333333,0.3481053682890805
2025,1,GB,11,5,0.4545454545454545,0.4545454545454545,0.5454545454545454,4.636363636363637,0.3481053682890805,15,5,0.3333333333333333,0.3333333333333333,0.8666666666666667,6.866666666666666,-0.5070665329694748,0.4545454545454545,-0.5070665329694748
2025,1,HOU,11,3,0.2727272727272727,0.2727272727272727,0.6363636363636364,11.272727272727272,-0.0215931724418293,15,7,0.4666666666666667,0.4666666666666667,0.6,6.066666666666666,-0.0510507881641387,0.2727272727272727,-0.0510507881641387
2025,1,IND,15,7,0.4666666666666667,0.4666666666666667,0.6,4.733333333333333,0.0440105199813842,10,5,0.5,0.5,0.8,5.8,-0.4071596562862396,0.4666666666666667,-0.4071596562862396
2025,1,JAX,12,5,0.4166666666666667,0.4166666666666667,0.6666666666666666,6.416666666666667,0.1521995787819226,16,9,0.5625,0.5625,0.8125,5.5,0.1058821529150009,0.4166666666666667,0.1058821529150009
2025,1,KC,16,5,0.3125,0.3125,0.8125,7.4375,-0.1765242852270603,13,7,0.5384615384615384,0.5384615384615384,0.6923076923076923,8.923076923076923,0.801909246123754,0.3125,0.801909246123754
2025,1,LA,15,7,0.4666666666666667,0.4666666666666667,0.6,6.066666666666666,-0.0510507881641387,11,3,0.2727272727272727,0.2727272727272727,0.6363636363636364,11.272727272727272,-0.0215931724418293,0.4666666666666667,-0.0215931724418293
2025,1,LAC,13,7,0.5384615384615384,0.5384615384615384,0.6923076923076923,8.923076923076923,0.801909246123754,16,5,0.3125,0.3125,0.8125,7.4375,-0.1765242852270603,0.5384615384615384,-0.1765242852270603
2025,1,LV,14,5,0.3571428571428571,0.3571428571428571,0.7142857142857143,9.928571428571429,0.2166154150451932,16,4,0.25,0.25,0.6875,7.4375,-0.1730210771784186,0.3571428571428571,-0.1730210771784186
2025,1,MIA,10,5,0.5,0.5,0.8,5.8,-0.4071596562862396,15,7,0.4666666666666667,0.4666666666666667,0.6,4.733333333333333,0.0440105199813842,0.5,0.0440105199813842
2025,1,MIN,15,5,0.3333333333333333,0.3333333333333333,0.5333333333333333,7.933333333333334,-0.7393642097711564,14,4,0.2857142857142857,0.2857142857142857,0.7857142857142857,10.285714285714286,-0.0970031885164124,0.3333333333333333,-0.0970031885164124
2025,1,NE,16,4,0.25,0.25,0.6875,7.4375,-0.1730210771784186,14,5,0.3571428571428571,0.3571428571428571,0.7142857142857143,9.928571428571429,0.2166154150451932,0.25,0.2166154150451932
2025,1,NO,18,6,0.3333333333333333,0.3333333333333333,0.6666666666666666,6.555555555555555,-0.2805738929245207,15,7,0.4666666666666667,0.4666666666666667,0.6666666666666666,9.066666666666666,0.2260702441136042,0.3333333333333333,0.2260702441136042
