season,week,team,avg_start_yardline_100_faced,avg_start_yardline_100_off,def_adj_speed,def_drives_tracked,def_epa_drive_h1,def_epa_drive_h2,def_epa_per_play_allowed,def_median_epa_allowed,drive_momentum_3plus,drives__drives_def,drives__drives_off,drives__fg_rate_def,drives__fg_rate_off,drives__hidden_yards_per_drive_def,drives__hidden_yards_per_drive_off,drives__plays_per_drive_def,drives__plays_per_drive_off,drives__ppd_basic_def,drives__ppd_basic_off,drives__ppd_points_def,drives__ppd_points_off,drives__punt_rate_def,drives__punt_rate_off,drives__redzone_drive_rate_def,drives__redzone_drive_rate_off,drives__score_rate_def,drives__score_rate_off,drives__start_own_yardline_avg_def,drives__start_own_yardline_avg_off,drives__start_yardline_100_avg_def,drives__start_yardline_100_avg_off,drives__td_rate_def,drives__td_rate_off,drives__turnover_rate_def,drives__turnover_rate_off,drives__yds_per_drive_def,drives__yds_per_drive_off,drives_total,drives_with_3plus,early_down_epa_allowed,early_down_epa_off,exp_to_succ_balance,explosive_plays_allowed,explosive_plays_off,explosive_rate,explosive_rate_allowed,explosive_rate_off,field_flip_eff,field_pos_advantage,fourth_down_sr_allowed,fourth_down_sr_off,game_rhythm_q4,late_down_epa_allowed,late_down_epa_off,neg_epa_recovery_rate,neg_events_tracked,net_early_down_epa,net_epa,net_explosive_rate,net_fourth_down_sr,net_late_down_epa,net_red_zone_epa,net_third_down_sr,neutral_pass_rate,neutral_plays,off_epa_per_play,off_median_epa,off_pens_tracked,pass_epa_per_play_allowed,pass_epa_per_play_off,pass_rush_delta_off,pen_3rd_kill_rate,pen_rz_off_pen_rate,pen_timing_index,play_call_entropy_neutral,plays_def,plays_off,plays_tracked,punts_tracked,qb_dropbacks,qb_volatility_std,rank_net_epa,red_zone_epa_allowed,red_zone_epa_off,run_sustainability_rate,rush_epa_per_play_allowed,rush_epa_per_play_off,rushes_tracked_ybc,rz_denial_rate_def,rz_fg_def,rz_td_def,rz_trips_def,success_rate,success_rate_allowed,success_rate_off,third_down_avg_ytg,third_down_plays,third_down_sr_allowed,third_down_sr_off,total_yards_off,turnover_epa_forced,turnover_epa_net,turnover_epa_off,twomin_epa_play,twomin_plays,twomin_success_rate,yards_allowed
2025,1,ATL,,,,,,,,,,11.0,16.0,0.09,0.12,6.45,6.45,6.82,5.69,2.18,1.25,2.18,1.25,0.36,0.19,0.27,0.25,0.36,0.25,36.55,43.0,63.45,57.0,0.27,0.12,0.0,0.0,23.64,22.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,2,ATL,,,,,,,,,,22.0,33.0,0.14,0.21,14.02,14.02,6.36,5.28,1.36,1.27,1.36,1.27,0.36,0.18,0.18,0.39,0.27,0.3,32.95,46.97,67.05,53.03,0.14,0.09,0.18,0.03,20.82,20.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,3,ATL,,,,,,,,,,33.0,45.0,0.18,0.14,0.58,0.58,6.45,5.75,1.61,1.04,1.61,1.04,0.33,0.2,0.24,0.26,0.33,0.23,37.79,38.37,62.21,61.63,0.15,0.09,0.12,0.1,20.67,23.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,ATL,,,,,,,,,,44.0,58.0,0.23,0.14,2.33,2.33,6.52,5.92,1.8,1.44,1.8,1.44,0.3,0.19,0.23,0.37,0.39,0.29,38.05,40.37,61.95,59.63,0.16,0.14,0.11,0.1,22.23,25.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,5,ATL,,,,,,,,,,44.0,58.0,0.23,0.14,2.33,2.33,6.52,5.92,1.8,1.44,1.8,1.44,0.3,0.19,0.23,0.37,0.39,0.29,38.05,40.37,61.95,59.63,0.16,0.14,0.11,0.1,22.23,25.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,6,ATL,,,,,,,,,,68.0,84.0,0.18,0.12,-0.42,-0.42,6.44,6.24,1.67,1.38,1.67,1.38,0.33,0.22,0.25,0.35,0.34,0.27,37.83,37.4,62.17,62.6,0.16,0.14,0.12,0.11,23.38,26.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
