season,week,team,avg_start_yardline_100_faced,avg_start_yardline_100_off,def_epa_per_play_allowed,def_median_epa_allowed,drive_momentum_3plus,drives__drives_def,drives__drives_off,drives__fg_rate_def,drives__fg_rate_off,drives__hidden_yards_per_drive_def,drives__hidden_yards_per_drive_off,drives__plays_per_drive_def,drives__plays_per_drive_off,drives__ppd_basic_def,drives__ppd_basic_off,drives__ppd_points_def,drives__ppd_points_off,drives__punt_rate_def,drives__punt_rate_off,drives__redzone_drive_rate_def,drives__redzone_drive_rate_off,drives__score_rate_def,drives__score_rate_off,drives__start_own_yardline_avg_def,drives__start_own_yardline_avg_off,drives__start_yardline_100_avg_def,drives__start_yardline_100_avg_off,drives__td_rate_def,drives__td_rate_off,drives__turnover_rate_def,drives__turnover_rate_off,drives__yds_per_drive_def,drives__yds_per_drive_off,drives_total,drives_with_3plus,early_down_epa_allowed,early_down_epa_off,explosive_plays_allowed,explosive_plays_off,explosive_rate_allowed,explosive_rate_off,field_flip_eff,field_pos_advantage,fourth_down_sr_allowed,fourth_down_sr_off,game_rhythm_q4,late_down_epa_allowed,late_down_epa_off,net_early_down_epa,net_epa,net_explosive_rate,net_fourth_down_sr,net_late_down_epa,net_red_zone_epa,net_third_down_sr,neutral_pass_rate,neutral_plays,off_epa_per_play,off_median_epa,pass_epa_per_play_allowed,pass_epa_per_play_off,pass_rush_delta_off,play_call_entropy_neutral,plays_def,plays_off,punts_tracked,rank_net_epa,red_zone_epa_allowed,red_zone_epa_off,rush_epa_per_play_allowed,rush_epa_per_play_off,success_rate_allowed,success_rate_off,third_down_sr_allowed,third_down_sr_off,total_yards_off,turnover_epa_forced,turnover_epa_net,turnover_epa_off,yards_allowed
2025,1,NO,,,,,,11.0,10.0,0.18,0.2,0.6,0.6,7.36,9.6,1.82,1.3,1.82,1.3,0.36,0.4,0.27,0.5,0.36,0.3,28.0,28.6,72.0,71.4,0.18,0.1,0.0,0.1,25.09,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,2,NO,,,,,,28.0,21.0,0.15,0.1,-6.64,-6.64,6.27,8.66,1.7,1.6,1.7,1.6,0.3,0.38,0.25,0.39,0.33,0.29,35.53,28.89,64.47,71.11,0.18,0.19,0.03,0.1,22.66,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,3,NO,,,,,,43.0,33.0,0.17,0.12,-10.58,-10.58,5.8,8.53,1.96,1.63,1.96,1.63,0.24,0.42,0.3,0.34,0.37,0.3,39.4,28.82,60.6,71.18,0.21,0.18,0.04,0.12,22.22,27.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,NO,,,,,,59.0,48.0,0.14,0.12,-3.83,-3.83,5.55,7.73,1.95,1.55,1.95,1.55,0.21,0.37,0.32,0.37,0.36,0.29,38.06,34.23,61.94,65.77,0.22,0.17,0.05,0.11,22.23,25.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,5,NO,,,,,,70.0,67.0,0.11,0.14,-1.7,-1.7,6.06,7.05,1.94,1.44,1.94,1.44,0.21,0.31,0.35,0.37,0.34,0.29,38.43,36.73,61.57,63.27,0.23,0.15,0.13,0.1,23.87,24.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,6,NO,46.91041564941406,46.2896842956543,0.0280668623745441,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0402482971549034,0.0144824674353003,0.0,0.0,0.0,0.0,,0.6207313537597656,0.4878048896789551,0.4897959232330322,,0.1030917167663574,-0.3843956589698791,0.0547307645902037,-0.11524259671568861,0.0,0.0019910335540771484,-0.48748737573623646,-0.1284214332699774,-0.009465873241424616,,,-0.0871757343411445,-0.0676401853561401,,0.0,0.0,,489.0,513.0,,28.0,0.0439220890402793,-0.0844993442296981,,0.0,0.4804123640060425,0.4598825871944427,0.4117647111415863,0.4022988379001617,1832.0,-44.16257858276367,22.700176239013672,-21.46240234375,1966.0
