season,week,team,avg_start_yardline_100_faced,avg_start_yardline_100_off,def_adj_speed,def_drives_tracked,def_epa_drive_h1,def_epa_drive_h2,def_epa_per_play_allowed,def_median_epa_allowed,drive_momentum_3plus,drives__drives_def,drives__drives_off,drives__fg_rate_def,drives__fg_rate_off,drives__hidden_yards_per_drive_def,drives__hidden_yards_per_drive_off,drives__plays_per_drive_def,drives__plays_per_drive_off,drives__ppd_basic_def,drives__ppd_basic_off,drives__ppd_points_def,drives__ppd_points_off,drives__punt_rate_def,drives__punt_rate_off,drives__redzone_drive_rate_def,drives__redzone_drive_rate_off,drives__score_rate_def,drives__score_rate_off,drives__start_own_yardline_avg_def,drives__start_own_yardline_avg_off,drives__start_yardline_100_avg_def,drives__start_yardline_100_avg_off,drives__td_rate_def,drives__td_rate_off,drives__turnover_rate_def,drives__turnover_rate_off,drives__yds_per_drive_def,drives__yds_per_drive_off,drives_total,drives_with_3plus,early_down_epa_allowed,early_down_epa_off,exp_to_succ_balance,explosive_plays_allowed,explosive_plays_off,explosive_rate,explosive_rate_allowed,explosive_rate_off,field_flip_eff,field_pos_advantage,fourth_down_sr_allowed,fourth_down_sr_off,game_rhythm_q4,late_down_epa_allowed,late_down_epa_off,neg_epa_recovery_rate,neg_events_tracked,net_early_down_epa,net_epa,net_explosive_rate,net_fourth_down_sr,net_late_down_epa,net_red_zone_epa,net_third_down_sr,neutral_pass_rate,neutral_plays,off_epa_per_play,off_median_epa,off_pens_tracked,pass_epa_per_play_allowed,pass_epa_per_play_off,pass_rush_delta_off,pen_3rd_kill_rate,pen_rz_off_pen_rate,pen_timing_index,play_call_entropy_neutral,plays_def,plays_off,plays_tracked,punts_tracked,qb_dropbacks,qb_volatility_std,rank_net_epa,red_zone_epa_allowed,red_zone_epa_off,run_sustainability_rate,rush_epa_per_play_allowed,rush_epa_per_play_off,rushes_tracked_ybc,rz_denial_rate_def,rz_fg_def,rz_td_def,rz_trips_def,success_rate,success_rate_allowed,success_rate_off,third_down_avg_ytg,third_down_plays,third_down_sr_allowed,third_down_sr_off,total_yards_off,turnover_epa_forced,turnover_epa_net,turnover_epa_off,twomin_epa_play,twomin_plays,twomin_success_rate,yards_allowed
2025,1,NYG,,,,,,,,,,18.0,11.0,0.0,0.18,-12.83,-12.83,4.72,7.45,1.17,0.55,1.17,0.55,0.28,0.55,0.33,0.27,0.17,0.18,41.83,29.0,58.17,71.0,0.17,0.0,0.0,0.09,24.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,2,NYG,,,,,,,,,,39.0,26.0,0.1,0.19,-7.83,-7.83,5.15,6.66,1.54,1.51,1.54,1.51,0.23,0.37,0.33,0.4,0.27,0.32,40.29,32.47,59.71,67.53,0.18,0.13,0.02,0.08,23.38,27.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,3,NYG,,,,,,,,,,56.0,35.0,0.12,0.16,-3.09,-3.09,5.12,7.33,1.47,1.37,1.47,1.37,0.21,0.32,0.3,0.38,0.28,0.29,36.21,33.13,63.79,66.87,0.16,0.13,0.02,0.16,21.59,28.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,NYG,,,,,,,,,,71.0,49.0,0.11,0.16,-1.03,-1.03,5.15,7.14,1.39,1.39,1.39,1.39,0.24,0.33,0.28,0.37,0.26,0.29,35.5,34.47,64.5,65.53,0.15,0.13,0.06,0.12,21.86,25.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,5,NYG,,,,,,,,,,90.0,60.0,0.13,0.13,-2.19,-2.19,4.99,7.33,1.31,1.49,1.31,1.49,0.22,0.3,0.29,0.39,0.26,0.29,37.75,35.56,62.25,64.44,0.13,0.16,0.06,0.19,20.98,26.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,6,NYG,,,,,,,,,,117.0,93.0,0.11,0.09,1.27,1.27,5.39,6.83,1.43,1.68,1.43,1.68,0.26,0.3,0.32,0.39,0.27,0.29,35.8,37.07,64.2,62.93,0.16,0.2,0.07,0.14,23.06,25.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
