season,week,team,avg_start_yardline_100_faced,avg_start_yardline_100_off,def_adj_speed,def_drives_tracked,def_epa_drive_h1,def_epa_drive_h2,def_epa_per_play_allowed,def_median_epa_allowed,drive_momentum_3plus,drives__drives_def,drives__drives_off,drives__fg_rate_def,drives__fg_rate_off,drives__hidden_yards_per_drive_def,drives__hidden_yards_per_drive_off,drives__plays_per_drive_def,drives__plays_per_drive_off,drives__ppd_basic_def,drives__ppd_basic_off,drives__ppd_points_def,drives__ppd_points_off,drives__punt_rate_def,drives__punt_rate_off,drives__redzone_drive_rate_def,drives__redzone_drive_rate_off,drives__score_rate_def,drives__score_rate_off,drives__start_own_yardline_avg_def,drives__start_own_yardline_avg_off,drives__start_yardline_100_avg_def,drives__start_yardline_100_avg_off,drives__td_rate_def,drives__td_rate_off,drives__turnover_rate_def,drives__turnover_rate_off,drives__yds_per_drive_def,drives__yds_per_drive_off,drives_total,drives_with_3plus,early_down_epa_allowed,early_down_epa_off,exp_to_succ_balance,explosive_plays_allowed,explosive_plays_off,explosive_rate,explosive_rate_allowed,explosive_rate_off,field_flip_eff,field_pos_advantage,fourth_down_sr_allowed,fourth_down_sr_off,game_rhythm_q4,late_down_epa_allowed,late_down_epa_off,neg_epa_recovery_rate,neg_events_tracked,net_early_down_epa,net_epa,net_explosive_rate,net_fourth_down_sr,net_late_down_epa,net_red_zone_epa,net_third_down_sr,neutral_pass_rate,neutral_plays,off_epa_per_play,off_median_epa,off_pens_tracked,pass_epa_per_play_allowed,pass_epa_per_play_off,pass_rush_delta_off,pen_3rd_kill_rate,pen_rz_off_pen_rate,pen_timing_index,play_call_entropy_neutral,plays_def,plays_off,plays_tracked,punts_tracked,qb_dropbacks,qb_volatility_std,rank_net_epa,red_zone_epa_allowed,red_zone_epa_off,run_sustainability_rate,rush_epa_per_play_allowed,rush_epa_per_play_off,rushes_tracked_ybc,rz_denial_rate_def,rz_fg_def,rz_td_def,rz_trips_def,success_rate,success_rate_allowed,success_rate_off,third_down_avg_ytg,third_down_plays,third_down_sr_allowed,third_down_sr_off,total_yards_off,turnover_epa_forced,turnover_epa_net,turnover_epa_off,twomin_epa_play,twomin_plays,twomin_success_rate,yards_allowed
2025,1,NE,,,,,,,,,,18.0,13.0,0.11,0.15,-1.43,-1.43,4.5,7.0,1.11,1.0,1.11,1.0,0.28,0.46,0.11,0.23,0.22,0.23,33.89,32.46,66.11,67.54,0.11,0.08,0.06,0.08,21.61,25.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,2,NE,,,,,,,,,,32.0,26.0,0.13,0.15,-2.55,-2.55,5.04,6.54,1.27,2.08,1.27,2.08,0.21,0.31,0.23,0.38,0.25,0.38,41.05,38.5,58.95,61.5,0.13,0.23,0.1,0.04,23.59,25.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,3,NE,,,,,,,,,,44.0,37.0,0.08,0.1,-2.38,-2.38,5.25,6.87,1.43,1.81,1.43,1.81,0.25,0.24,0.27,0.38,0.25,0.32,40.53,38.15,59.47,61.85,0.17,0.21,0.09,0.21,21.37,28.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,NE,,,,,,,,,,55.0,50.0,0.06,0.08,0.43,0.43,5.91,6.42,1.55,2.03,1.55,2.03,0.3,0.25,0.25,0.4,0.26,0.33,37.26,37.69,62.74,62.31,0.19,0.26,0.07,0.16,23.43,27.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,5,NE,,,,,,,,,,67.0,67.0,0.08,0.1,6.33,6.33,6.11,6.05,1.57,1.89,1.57,1.89,0.28,0.25,0.26,0.41,0.27,0.33,34.41,40.74,65.59,59.26,0.19,0.23,0.11,0.14,24.8,25.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,6,NE,,,,,,,,,,86.0,92.0,0.15,0.09,5.99,5.99,6.45,6.18,1.71,1.9,1.71,1.9,0.27,0.26,0.25,0.4,0.33,0.32,33.19,39.18,66.81,60.82,0.18,0.23,0.12,0.1,26.05,26.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
