season,week,team,avg_start_yardline_100_faced,avg_start_yardline_100_off,def_adj_speed,def_drives_tracked,def_epa_drive_h1,def_epa_drive_h2,def_epa_per_play_allowed,def_median_epa_allowed,drive_momentum_3plus,drives__drives_def,drives__drives_off,drives__fg_rate_def,drives__fg_rate_off,drives__hidden_yards_per_drive_def,drives__hidden_yards_per_drive_off,drives__plays_per_drive_def,drives__plays_per_drive_off,drives__ppd_basic_def,drives__ppd_basic_off,drives__ppd_points_def,drives__ppd_points_off,drives__punt_rate_def,drives__punt_rate_off,drives__redzone_drive_rate_def,drives__redzone_drive_rate_off,drives__score_rate_def,drives__score_rate_off,drives__start_own_yardline_avg_def,drives__start_own_yardline_avg_off,drives__start_yardline_100_avg_def,drives__start_yardline_100_avg_off,drives__td_rate_def,drives__td_rate_off,drives__turnover_rate_def,drives__turnover_rate_off,drives__yds_per_drive_def,drives__yds_per_drive_off,drives_total,drives_with_3plus,early_down_epa_allowed,early_down_epa_off,exp_to_succ_balance,explosive_plays_allowed,explosive_plays_off,explosive_rate,explosive_rate_allowed,explosive_rate_off,field_flip_eff,field_pos_advantage,fourth_down_sr_allowed,fourth_down_sr_off,game_rhythm_q4,late_down_epa_allowed,late_down_epa_off,neg_epa_recovery_rate,neg_events_tracked,net_early_down_epa,net_epa,net_explosive_rate,net_fourth_down_sr,net_late_down_epa,net_red_zone_epa,net_third_down_sr,neutral_pass_rate,neutral_plays,off_epa_per_play,off_median_epa,off_pens_tracked,pass_epa_per_play_allowed,pass_epa_per_play_off,pass_rush_delta_off,pen_3rd_kill_rate,pen_rz_off_pen_rate,pen_timing_index,play_call_entropy_neutral,plays_def,plays_off,plays_tracked,punts_tracked,qb_dropbacks,qb_volatility_std,rank_net_epa,red_zone_epa_allowed,red_zone_epa_off,run_sustainability_rate,rush_epa_per_play_allowed,rush_epa_per_play_off,rushes_tracked_ybc,rz_denial_rate_def,rz_fg_def,rz_td_def,rz_trips_def,success_rate,success_rate_allowed,success_rate_off,third_down_avg_ytg,third_down_plays,third_down_sr_allowed,third_down_sr_off,total_yards_off,turnover_epa_forced,turnover_epa_net,turnover_epa_off,twomin_epa_play,twomin_plays,twomin_success_rate,yards_allowed
2025,1,MIN,,,,,,,,,,16.0,16.0,0.06,0.12,-9.0,-9.0,5.69,4.62,1.06,2.12,1.06,2.12,0.38,0.44,0.25,0.31,0.19,0.38,43.0,34.0,57.0,66.0,0.12,0.25,0.06,0.06,19.81,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,2,MIN,,,,,,,,,,33.0,27.0,0.18,0.15,-15.29,-15.29,5.28,5.27,1.18,1.34,1.18,1.34,0.28,0.4,0.39,0.2,0.27,0.28,46.97,31.68,53.03,68.32,0.09,0.12,0.06,0.21,19.49,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,3,MIN,,,,,,,,,,48.0,43.0,0.14,0.14,-6.88,-6.88,5.19,5.22,1.32,1.6,1.32,1.6,0.32,0.37,0.28,0.28,0.27,0.31,43.38,36.5,56.62,63.5,0.13,0.17,0.15,0.14,16.8,18.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,MIN,,,,,,,,,,64.0,55.0,0.12,0.15,-11.32,-11.32,4.97,5.81,1.36,1.62,1.36,1.62,0.28,0.34,0.35,0.31,0.26,0.32,45.44,34.12,54.56,65.88,0.14,0.17,0.11,0.17,17.49,21.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,5,MIN,,,,,,,,,,83.0,70.0,0.11,0.12,-11.17,-11.17,4.92,5.7,1.27,1.57,1.27,1.57,0.31,0.34,0.34,0.3,0.24,0.29,45.39,34.22,54.61,65.78,0.14,0.17,0.09,0.16,17.38,22.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,6,MIN,,,,,,,,,,98.0,81.0,0.09,0.18,-11.01,-11.01,4.86,6.01,1.29,1.75,1.29,1.75,0.29,0.3,0.37,0.36,0.24,0.35,45.46,34.45,54.54,65.55,0.15,0.17,0.08,0.17,18.49,24.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
