season,week,team,avg_start_yardline_100_faced,avg_start_yardline_100_off,def_adj_speed,def_drives_tracked,def_epa_drive_h1,def_epa_drive_h2,def_epa_per_play_allowed,def_median_epa_allowed,drive_momentum_3plus,drives__drives_def,drives__drives_off,drives__fg_rate_def,drives__fg_rate_off,drives__hidden_yards_per_drive_def,drives__hidden_yards_per_drive_off,drives__plays_per_drive_def,drives__plays_per_drive_off,drives__ppd_basic_def,drives__ppd_basic_off,drives__ppd_points_def,drives__ppd_points_off,drives__punt_rate_def,drives__punt_rate_off,drives__redzone_drive_rate_def,drives__redzone_drive_rate_off,drives__score_rate_def,drives__score_rate_off,drives__start_own_yardline_avg_def,drives__start_own_yardline_avg_off,drives__start_yardline_100_avg_def,drives__start_yardline_100_avg_off,drives__td_rate_def,drives__td_rate_off,drives__turnover_rate_def,drives__turnover_rate_off,drives__yds_per_drive_def,drives__yds_per_drive_off,drives_total,drives_with_3plus,early_down_epa_allowed,early_down_epa_off,exp_to_succ_balance,explosive_plays_allowed,explosive_plays_off,explosive_rate,explosive_rate_allowed,explosive_rate_off,field_flip_eff,field_pos_advantage,fourth_down_sr_allowed,fourth_down_sr_off,game_rhythm_q4,late_down_epa_allowed,late_down_epa_off,neg_epa_recovery_rate,neg_events_tracked,net_early_down_epa,net_epa,net_explosive_rate,net_fourth_down_sr,net_late_down_epa,net_red_zone_epa,net_third_down_sr,neutral_pass_rate,neutral_plays,off_epa_per_play,off_median_epa,off_pens_tracked,pass_epa_per_play_allowed,pass_epa_per_play_off,pass_rush_delta_off,pen_3rd_kill_rate,pen_rz_off_pen_rate,pen_timing_index,play_call_entropy_neutral,plays_def,plays_off,plays_tracked,punts_tracked,qb_dropbacks,qb_volatility_std,rank_net_epa,red_zone_epa_allowed,red_zone_epa_off,run_sustainability_rate,rush_epa_per_play_allowed,rush_epa_per_play_off,rushes_tracked_ybc,rz_denial_rate_def,rz_fg_def,rz_td_def,rz_trips_def,success_rate,success_rate_allowed,success_rate_off,third_down_avg_ytg,third_down_plays,third_down_sr_allowed,third_down_sr_off,total_yards_off,turnover_epa_forced,turnover_epa_net,turnover_epa_off,twomin_epa_play,twomin_plays,twomin_success_rate,yards_allowed
2025,1,PHI,,,,,,,,,,12.0,13.0,0.17,0.08,3.92,3.92,6.17,6.0,1.67,1.85,1.67,1.85,0.17,0.23,0.25,0.23,0.33,0.31,34.25,38.17,65.75,61.83,0.17,0.23,0.08,0.0,25.58,23.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,2,PHI,,,,,,,,,,21.0,30.0,0.14,0.1,8.7,8.7,7.19,5.32,1.78,1.51,1.78,1.51,0.25,0.26,0.29,0.17,0.33,0.27,30.24,38.94,69.76,61.06,0.19,0.17,0.1,0.0,29.12,17.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,3,PHI,,,,,,,,,,34.0,43.0,0.2,0.06,0.97,0.97,6.87,5.68,2.03,1.73,2.03,1.73,0.19,0.28,0.32,0.22,0.4,0.28,34.54,35.51,65.46,64.49,0.21,0.22,0.09,0.03,28.54,19.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,PHI,,,,,,,,,,50.0,62.0,0.19,0.06,3.85,3.85,6.55,5.28,1.99,1.61,1.99,1.61,0.21,0.3,0.3,0.23,0.4,0.27,33.71,37.56,66.29,62.44,0.2,0.2,0.11,0.02,27.28,17.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,5,PHI,,,,,,,,,,66.0,75.0,0.18,0.06,-1.0,-1.0,6.42,5.46,1.84,1.55,1.84,1.55,0.25,0.35,0.31,0.23,0.37,0.26,35.69,34.69,64.31,65.31,0.19,0.19,0.1,0.02,26.33,18.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,6,PHI,,,,,,,,,,92.0,101.0,0.19,0.06,-2.34,-2.34,6.5,5.47,2.03,1.53,2.03,1.53,0.23,0.33,0.39,0.28,0.4,0.25,37.74,35.4,62.26,64.6,0.21,0.19,0.1,0.04,27.32,20.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
