season,week,team,avg_start_yardline_100_faced,avg_start_yardline_100_off,def_adj_speed,def_drives_tracked,def_epa_drive_h1,def_epa_drive_h2,def_epa_per_play_allowed,def_median_epa_allowed,drive_momentum_3plus,drives__drives_def,drives__drives_off,drives__fg_rate_def,drives__fg_rate_off,drives__hidden_yards_per_drive_def,drives__hidden_yards_per_drive_off,drives__plays_per_drive_def,drives__plays_per_drive_off,drives__ppd_basic_def,drives__ppd_basic_off,drives__ppd_points_def,drives__ppd_points_off,drives__punt_rate_def,drives__punt_rate_off,drives__redzone_drive_rate_def,drives__redzone_drive_rate_off,drives__score_rate_def,drives__score_rate_off,drives__start_own_yardline_avg_def,drives__start_own_yardline_avg_off,drives__start_yardline_100_avg_def,drives__start_yardline_100_avg_off,drives__td_rate_def,drives__td_rate_off,drives__turnover_rate_def,drives__turnover_rate_off,drives__yds_per_drive_def,drives__yds_per_drive_off,drives_total,drives_with_3plus,early_down_epa_allowed,early_down_epa_off,exp_to_succ_balance,explosive_plays_allowed,explosive_plays_off,explosive_rate,explosive_rate_allowed,explosive_rate_off,field_flip_eff,field_pos_advantage,fourth_down_sr_allowed,fourth_down_sr_off,game_rhythm_q4,late_down_epa_allowed,late_down_epa_off,neg_epa_recovery_rate,neg_events_tracked,net_early_down_epa,net_epa,net_explosive_rate,net_fourth_down_sr,net_late_down_epa,net_red_zone_epa,net_third_down_sr,neutral_pass_rate,neutral_plays,off_epa_per_play,off_median_epa,off_pens_tracked,pass_epa_per_play_allowed,pass_epa_per_play_off,pass_rush_delta_off,pen_3rd_kill_rate,pen_rz_off_pen_rate,pen_timing_index,play_call_entropy_neutral,plays_def,plays_off,plays_tracked,punts_tracked,qb_dropbacks,qb_volatility_std,rank_net_epa,red_zone_epa_allowed,red_zone_epa_off,run_sustainability_rate,rush_epa_per_play_allowed,rush_epa_per_play_off,rushes_tracked_ybc,rz_denial_rate_def,rz_fg_def,rz_td_def,rz_trips_def,success_rate,success_rate_allowed,success_rate_off,third_down_avg_ytg,third_down_plays,third_down_sr_allowed,third_down_sr_off,total_yards_off,turnover_epa_forced,turnover_epa_net,turnover_epa_off,twomin_epa_play,twomin_plays,twomin_success_rate,yards_allowed
2025,1,ARI,,,,,,,,,,10.0,11.0,0.2,0.18,-0.6,-0.6,9.6,7.36,1.3,1.82,1.3,1.82,0.4,0.36,0.5,0.27,0.3,0.36,28.6,28.0,71.4,72.0,0.1,0.18,0.1,0.0,31.5,25.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,2,ARI,,,,,,,,,,21.0,26.0,0.15,0.16,7.56,7.56,9.3,6.02,2.06,1.58,2.06,1.58,0.29,0.25,0.43,0.34,0.38,0.32,28.94,36.5,71.06,63.5,0.23,0.16,0.19,0.03,31.75,22.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,3,ARI,,,,,,,,,,34.0,39.0,0.17,0.16,4.61,4.61,8.2,6.16,1.78,1.38,1.78,1.38,0.27,0.29,0.39,0.33,0.35,0.29,30.57,35.18,69.43,64.82,0.18,0.13,0.15,0.02,30.27,21.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,ARI,,,,,,,,,,47.0,55.0,0.19,0.15,3.97,3.97,7.73,5.94,1.78,1.35,1.78,1.35,0.26,0.28,0.37,0.31,0.36,0.28,32.48,36.45,67.52,63.55,0.17,0.13,0.11,0.05,30.09,20.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,5,ARI,,,,,,,,,,63.0,72.0,0.19,0.12,1.97,1.97,7.21,5.78,1.71,1.33,1.71,1.33,0.27,0.31,0.37,0.3,0.35,0.26,33.92,35.9,66.08,64.1,0.16,0.14,0.11,0.05,28.16,20.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,6,ARI,,,,,,,,,,91.0,99.0,0.17,0.14,4.22,4.22,6.67,6.04,1.81,1.49,1.81,1.49,0.26,0.25,0.36,0.36,0.35,0.29,34.5,38.72,65.5,61.28,0.19,0.15,0.09,0.07,26.37,22.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
