season,week,team,avg_start_yardline_100_faced,avg_start_yardline_100_off,def_epa_per_play_allowed,def_median_epa_allowed,drive_momentum_3plus,drives__drives_def,drives__drives_off,drives__fg_rate_def,drives__fg_rate_off,drives__hidden_yards_per_drive_def,drives__hidden_yards_per_drive_off,drives__plays_per_drive_def,drives__plays_per_drive_off,drives__ppd_basic_def,drives__ppd_basic_off,drives__ppd_points_def,drives__ppd_points_off,drives__punt_rate_def,drives__punt_rate_off,drives__redzone_drive_rate_def,drives__redzone_drive_rate_off,drives__score_rate_def,drives__score_rate_off,drives__start_own_yardline_avg_def,drives__start_own_yardline_avg_off,drives__start_yardline_100_avg_def,drives__start_yardline_100_avg_off,drives__td_rate_def,drives__td_rate_off,drives__turnover_rate_def,drives__turnover_rate_off,drives__yds_per_drive_def,drives__yds_per_drive_off,drives_total,drives_with_3plus,early_down_epa_allowed,early_down_epa_off,explosive_plays_allowed,explosive_plays_off,explosive_rate_allowed,explosive_rate_off,field_flip_eff,field_pos_advantage,fourth_down_sr_allowed,fourth_down_sr_off,game_rhythm_q4,late_down_epa_allowed,late_down_epa_off,net_early_down_epa,net_epa,net_explosive_rate,net_fourth_down_sr,net_late_down_epa,net_red_zone_epa,net_third_down_sr,neutral_pass_rate,neutral_plays,off_epa_per_play,off_median_epa,pass_epa_per_play_allowed,pass_epa_per_play_off,pass_rush_delta_off,play_call_entropy_neutral,plays_def,plays_off,punts_tracked,rank_net_epa,red_zone_epa_allowed,red_zone_epa_off,rush_epa_per_play_allowed,rush_epa_per_play_off,success_rate_allowed,success_rate_off,third_down_sr_allowed,third_down_sr_off,total_yards_off,turnover_epa_forced,turnover_epa_net,turnover_epa_off,yards_allowed
2025,1,DET,,,,,,10.0,11.0,0.2,0.18,-12.19,-12.19,6.1,7.55,2.7,1.18,2.7,1.18,0.3,0.27,0.5,0.45,0.5,0.27,42.1,29.91,57.9,70.09,0.3,0.09,0.0,0.09,26.6,22.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,2,DET,,,,,,24.0,26.0,0.1,0.12,-0.98,-0.98,6.16,6.34,2.1,2.32,2.1,2.32,0.29,0.24,0.36,0.49,0.36,0.4,36.37,35.39,63.63,64.61,0.26,0.28,0.11,0.05,25.41,28.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,3,DET,,,,,,35.0,41.0,0.1,0.11,-0.35,-0.35,6.35,6.16,2.34,2.39,2.34,2.39,0.29,0.22,0.42,0.48,0.39,0.4,37.19,36.84,62.81,63.16,0.29,0.3,0.1,0.03,26.57,28.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,DET,,,,,,51.0,55.0,0.09,0.11,2.5,2.5,6.1,6.05,2.02,2.28,2.02,2.28,0.32,0.26,0.36,0.44,0.34,0.39,35.5,38.0,64.5,62.0,0.25,0.28,0.14,0.04,23.82,26.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,5,DET,,,,,,64.0,69.0,0.09,0.09,6.72,6.72,6.11,5.98,1.99,2.32,1.99,2.32,0.32,0.28,0.34,0.43,0.33,0.38,33.12,39.84,66.88,60.16,0.25,0.29,0.16,0.05,24.01,26.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,6,DET,48.15250396728516,44.51619720458984,-0.0111542372033,-0.1417898535728454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1030356884002685,0.1266162544488906,0.0,0.0,0.0,0.0,,3.6363067626953267,0.5263158082962036,0.4888888895511627,,0.1380057632923126,0.017384435981512,0.2296519428491591,0.1305837286636233,0.0,-0.037426918745040894,-0.1206213273108006,0.12842108309268951,-0.03688094019889837,,,0.1194294914603233,0.0392352826893329,,0.0,0.0,,463.0,476.0,,3.0,0.107376828789711,0.2357979118824005,,0.0,0.4630434811115265,0.5221987366676331,0.4615384638309479,0.4246575236320495,2122.0,-49.63566207885742,35.31937789916992,-14.3162841796875,1849.0
