season,week,team,avg_start_yardline_100_faced,avg_start_yardline_100_off,def_adj_speed,def_drives_tracked,def_epa_drive_h1,def_epa_drive_h2,def_epa_per_play_allowed,def_median_epa_allowed,drive_momentum_3plus,drives__drives_def,drives__drives_off,drives__fg_rate_def,drives__fg_rate_off,drives__hidden_yards_per_drive_def,drives__hidden_yards_per_drive_off,drives__plays_per_drive_def,drives__plays_per_drive_off,drives__ppd_basic_def,drives__ppd_basic_off,drives__ppd_points_def,drives__ppd_points_off,drives__punt_rate_def,drives__punt_rate_off,drives__redzone_drive_rate_def,drives__redzone_drive_rate_off,drives__score_rate_def,drives__score_rate_off,drives__start_own_yardline_avg_def,drives__start_own_yardline_avg_off,drives__start_yardline_100_avg_def,drives__start_yardline_100_avg_off,drives__td_rate_def,drives__td_rate_off,drives__turnover_rate_def,drives__turnover_rate_off,drives__yds_per_drive_def,drives__yds_per_drive_off,drives_total,drives_with_3plus,early_down_epa_allowed,early_down_epa_off,exp_to_succ_balance,explosive_plays_allowed,explosive_plays_off,explosive_rate,explosive_rate_allowed,explosive_rate_off,field_flip_eff,field_pos_advantage,fourth_down_sr_allowed,fourth_down_sr_off,game_rhythm_q4,late_down_epa_allowed,late_down_epa_off,neg_epa_recovery_rate,neg_events_tracked,net_early_down_epa,net_epa,net_explosive_rate,net_fourth_down_sr,net_late_down_epa,net_red_zone_epa,net_third_down_sr,neutral_pass_rate,neutral_plays,off_epa_per_play,off_median_epa,off_pens_tracked,pass_epa_per_play_allowed,pass_epa_per_play_off,pass_rush_delta_off,pen_3rd_kill_rate,pen_rz_off_pen_rate,pen_timing_index,play_call_entropy_neutral,plays_def,plays_off,plays_tracked,punts_tracked,qb_dropbacks,qb_volatility_std,rank_net_epa,red_zone_epa_allowed,red_zone_epa_off,run_sustainability_rate,rush_epa_per_play_allowed,rush_epa_per_play_off,rushes_tracked_ybc,rz_denial_rate_def,rz_fg_def,rz_td_def,rz_trips_def,success_rate,success_rate_allowed,success_rate_off,third_down_avg_ytg,third_down_plays,third_down_sr_allowed,third_down_sr_off,total_yards_off,turnover_epa_forced,turnover_epa_net,turnover_epa_off,twomin_epa_play,twomin_plays,twomin_success_rate,yards_allowed
2025,1,LAC,,,,,,,,,,10.0,13.0,0.3,0.15,-1.36,-1.36,7.9,6.23,2.3,2.08,2.3,2.08,0.3,0.15,0.4,0.46,0.5,0.38,37.9,36.54,62.1,63.46,0.2,0.23,0.0,0.0,34.7,30.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,2,LAC,,,,,,,,,,21.0,30.0,0.29,0.14,7.18,7.18,7.68,5.2,1.56,1.63,1.56,1.63,0.24,0.17,0.34,0.44,0.39,0.31,33.18,40.36,66.82,59.64,0.1,0.17,0.14,0.03,27.26,24.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,3,LAC,,,,,,,,,,35.0,46.0,0.24,0.15,4.54,4.54,6.76,5.64,1.52,1.56,1.52,1.56,0.33,0.21,0.3,0.37,0.35,0.31,34.45,38.99,65.55,61.01,0.11,0.16,0.09,0.06,24.48,24.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,LAC,,,,,,,,,,49.0,61.0,0.21,0.13,2.12,2.12,6.71,5.54,1.49,1.46,1.49,1.46,0.33,0.24,0.31,0.33,0.34,0.28,35.46,37.58,64.54,62.42,0.12,0.15,0.07,0.1,22.86,23.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,5,LAC,,,,,,,,,,64.0,74.0,0.2,0.12,-0.71,-0.71,6.36,5.73,1.56,1.32,1.56,1.32,0.29,0.23,0.38,0.31,0.34,0.26,39.02,38.31,60.98,61.69,0.14,0.14,0.07,0.11,23.48,24.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,6,LAC,,,,,,,,,,94.0,97.0,0.17,0.16,-3.13,-3.13,5.99,6.33,1.73,1.6,1.73,1.6,0.25,0.2,0.41,0.4,0.34,0.32,40.82,37.68,59.18,62.32,0.17,0.16,0.08,0.12,23.85,28.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
