season,week,team,avg_start_yardline_100_faced,avg_start_yardline_100_off,def_adj_speed,def_drives_tracked,def_epa_drive_h1,def_epa_drive_h2,def_epa_per_play_allowed,def_median_epa_allowed,drive_momentum_3plus,drives__drives_def,drives__drives_off,drives__fg_rate_def,drives__fg_rate_off,drives__hidden_yards_per_drive_def,drives__hidden_yards_per_drive_off,drives__plays_per_drive_def,drives__plays_per_drive_off,drives__ppd_basic_def,drives__ppd_basic_off,drives__ppd_points_def,drives__ppd_points_off,drives__punt_rate_def,drives__punt_rate_off,drives__redzone_drive_rate_def,drives__redzone_drive_rate_off,drives__score_rate_def,drives__score_rate_off,drives__start_own_yardline_avg_def,drives__start_own_yardline_avg_off,drives__start_yardline_100_avg_def,drives__start_yardline_100_avg_off,drives__td_rate_def,drives__td_rate_off,drives__turnover_rate_def,drives__turnover_rate_off,drives__yds_per_drive_def,drives__yds_per_drive_off,drives_total,drives_with_3plus,early_down_epa_allowed,early_down_epa_off,exp_to_succ_balance,explosive_plays_allowed,explosive_plays_off,explosive_rate,explosive_rate_allowed,explosive_rate_off,field_flip_eff,field_pos_advantage,fourth_down_sr_allowed,fourth_down_sr_off,game_rhythm_q4,late_down_epa_allowed,late_down_epa_off,neg_epa_recovery_rate,neg_events_tracked,net_early_down_epa,net_epa,net_explosive_rate,net_fourth_down_sr,net_late_down_epa,net_red_zone_epa,net_third_down_sr,neutral_pass_rate,neutral_plays,off_epa_per_play,off_median_epa,off_pens_tracked,pass_epa_per_play_allowed,pass_epa_per_play_off,pass_rush_delta_off,pen_3rd_kill_rate,pen_rz_off_pen_rate,pen_timing_index,play_call_entropy_neutral,plays_def,plays_off,plays_tracked,punts_tracked,qb_dropbacks,qb_volatility_std,rank_net_epa,red_zone_epa_allowed,red_zone_epa_off,run_sustainability_rate,rush_epa_per_play_allowed,rush_epa_per_play_off,rushes_tracked_ybc,rz_denial_rate_def,rz_fg_def,rz_td_def,rz_trips_def,success_rate,success_rate_allowed,success_rate_off,third_down_avg_ytg,third_down_plays,third_down_sr_allowed,third_down_sr_off,total_yards_off,turnover_epa_forced,turnover_epa_net,turnover_epa_off,twomin_epa_play,twomin_plays,twomin_success_rate,yards_allowed
2025,1,DEN,,,,,,,,,,15.0,18.0,0.27,0.11,-1.89,-1.89,5.13,5.17,0.8,1.11,0.8,1.11,0.53,0.17,0.13,0.22,0.27,0.22,41.0,39.11,59.0,60.89,0.0,0.11,0.13,0.17,8.87,17.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,2,DEN,,,,,,,,,,31.0,27.0,0.29,0.06,-0.41,-0.41,5.32,6.75,1.31,2.11,1.31,2.11,0.27,0.25,0.29,0.33,0.35,0.33,39.19,38.78,60.81,61.22,0.06,0.28,0.07,0.14,19.21,26.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,3,DEN,,,,,,,,,,47.0,41.0,0.26,0.08,-0.03,-0.03,5.71,6.14,1.35,1.88,1.35,1.88,0.28,0.33,0.27,0.29,0.34,0.32,38.21,38.19,61.79,61.81,0.08,0.23,0.09,0.09,20.64,24.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,DEN,,,,,,,,,,57.0,54.0,0.22,0.06,1.24,1.24,5.98,6.41,1.09,1.95,1.09,1.95,0.41,0.33,0.23,0.32,0.28,0.32,34.79,36.02,65.21,63.98,0.06,0.25,0.06,0.09,19.46,27.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,5,DEN,,,,,,,,,,70.0,70.0,0.19,0.08,5.07,5.07,6.02,6.32,1.13,1.81,1.13,1.81,0.44,0.35,0.23,0.32,0.27,0.3,32.47,37.54,67.53,62.46,0.08,0.23,0.05,0.08,20.21,26.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,6,DEN,,,,,,,,,,106.0,100.0,0.16,0.08,2.0,2.0,5.66,6.19,1.16,1.7,1.16,1.7,0.42,0.36,0.22,0.3,0.26,0.29,33.12,35.13,66.88,64.87,0.1,0.21,0.05,0.07,18.16,25.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
