season,week,team,avg_start_yardline_100_faced,avg_start_yardline_100_off,def_adj_speed,def_drives_tracked,def_epa_drive_h1,def_epa_drive_h2,def_epa_per_play_allowed,def_median_epa_allowed,drive_momentum_3plus,drives__drives_def,drives__drives_off,drives__fg_rate_def,drives__fg_rate_off,drives__hidden_yards_per_drive_def,drives__hidden_yards_per_drive_off,drives__plays_per_drive_def,drives__plays_per_drive_off,drives__ppd_basic_def,drives__ppd_basic_off,drives__ppd_points_def,drives__ppd_points_off,drives__punt_rate_def,drives__punt_rate_off,drives__redzone_drive_rate_def,drives__redzone_drive_rate_off,drives__score_rate_def,drives__score_rate_off,drives__start_own_yardline_avg_def,drives__start_own_yardline_avg_off,drives__start_yardline_100_avg_def,drives__start_yardline_100_avg_off,drives__td_rate_def,drives__td_rate_off,drives__turnover_rate_def,drives__turnover_rate_off,drives__yds_per_drive_def,drives__yds_per_drive_off,drives_total,drives_with_3plus,early_down_epa_allowed,early_down_epa_off,exp_to_succ_balance,explosive_plays_allowed,explosive_plays_off,explosive_rate,explosive_rate_allowed,explosive_rate_off,field_flip_eff,field_pos_advantage,fourth_down_sr_allowed,fourth_down_sr_off,game_rhythm_q4,late_down_epa_allowed,late_down_epa_off,neg_epa_recovery_rate,neg_events_tracked,net_early_down_epa,net_epa,net_explosive_rate,net_fourth_down_sr,net_late_down_epa,net_red_zone_epa,net_third_down_sr,neutral_pass_rate,neutral_plays,off_epa_per_play,off_median_epa,off_pens_tracked,pass_epa_per_play_allowed,pass_epa_per_play_off,pass_rush_delta_off,pen_3rd_kill_rate,pen_rz_off_pen_rate,pen_timing_index,play_call_entropy_neutral,plays_def,plays_off,plays_tracked,punts_tracked,qb_dropbacks,qb_volatility_std,rank_net_epa,red_zone_epa_allowed,red_zone_epa_off,run_sustainability_rate,rush_epa_per_play_allowed,rush_epa_per_play_off,rushes_tracked_ybc,rz_denial_rate_def,rz_fg_def,rz_td_def,rz_trips_def,success_rate,success_rate_allowed,success_rate_off,third_down_avg_ytg,third_down_plays,third_down_sr_allowed,third_down_sr_off,total_yards_off,turnover_epa_forced,turnover_epa_net,turnover_epa_off,twomin_epa_play,twomin_plays,twomin_success_rate,yards_allowed
2025,1,DAL,,,,,,,,,,13.0,12.0,0.08,0.17,-3.92,-3.92,6.0,6.17,1.85,1.67,1.85,1.67,0.23,0.17,0.23,0.25,0.31,0.33,38.17,34.25,61.83,65.75,0.23,0.17,0.0,0.08,23.23,25.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,2,DAL,,,,,,,,,,28.0,33.0,0.14,0.18,-0.55,-0.55,5.93,5.87,2.16,1.79,2.16,1.79,0.22,0.18,0.38,0.29,0.39,0.36,37.05,36.5,62.95,63.5,0.25,0.18,0.03,0.07,28.48,24.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,3,DAL,,,,,,,,,,42.0,43.0,0.12,0.19,-1.42,-1.42,5.69,6.81,2.18,1.62,2.18,1.62,0.24,0.19,0.4,0.33,0.38,0.34,35.39,33.97,64.61,66.03,0.26,0.15,0.02,0.18,28.15,29.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,DAL,,,,,,,,,,61.0,57.0,0.11,0.16,-1.78,-1.78,5.65,6.72,2.17,1.9,2.17,1.9,0.21,0.21,0.42,0.39,0.37,0.36,36.62,34.84,63.38,65.16,0.26,0.2,0.04,0.13,27.55,29.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,5,DAL,,,,,,,,,,74.0,75.0,0.12,0.14,1.95,1.95,6.03,6.28,2.04,1.94,2.04,1.94,0.23,0.22,0.38,0.41,0.36,0.36,34.88,36.83,65.12,63.17,0.24,0.22,0.05,0.11,27.92,28.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,6,DAL,,,,,,,,,,105.0,101.0,0.11,0.15,2.77,2.77,5.93,6.3,2.0,2.1,2.0,2.1,0.23,0.23,0.35,0.44,0.35,0.39,35.12,37.89,64.88,62.11,0.24,0.23,0.06,0.08,26.87,28.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
