season,week,team,avg_start_yardline_100_faced,avg_start_yardline_100_off,def_epa_per_play_allowed,def_median_epa_allowed,drive_momentum_3plus,drives__drives_def,drives__drives_off,drives__fg_rate_def,drives__fg_rate_off,drives__hidden_yards_per_drive_def,drives__hidden_yards_per_drive_off,drives__plays_per_drive_def,drives__plays_per_drive_off,drives__ppd_basic_def,drives__ppd_basic_off,drives__ppd_points_def,drives__ppd_points_off,drives__punt_rate_def,drives__punt_rate_off,drives__redzone_drive_rate_def,drives__redzone_drive_rate_off,drives__score_rate_def,drives__score_rate_off,drives__start_own_yardline_avg_def,drives__start_own_yardline_avg_off,drives__start_yardline_100_avg_def,drives__start_yardline_100_avg_off,drives__td_rate_def,drives__td_rate_off,drives__turnover_rate_def,drives__turnover_rate_off,drives__yds_per_drive_def,drives__yds_per_drive_off,drives_total,drives_with_3plus,early_down_epa_allowed,early_down_epa_off,explosive_plays_allowed,explosive_plays_off,explosive_rate_allowed,explosive_rate_off,field_flip_eff,field_pos_advantage,fourth_down_sr_allowed,fourth_down_sr_off,game_rhythm_q4,late_down_epa_allowed,late_down_epa_off,net_early_down_epa,net_epa,net_explosive_rate,net_fourth_down_sr,net_late_down_epa,net_red_zone_epa,net_third_down_sr,neutral_pass_rate,neutral_plays,off_epa_per_play,off_median_epa,pass_epa_per_play_allowed,pass_epa_per_play_off,pass_rush_delta_off,play_call_entropy_neutral,plays_def,plays_off,punts_tracked,rank_net_epa,red_zone_epa_allowed,red_zone_epa_off,rush_epa_per_play_allowed,rush_epa_per_play_off,success_rate_allowed,success_rate_off,third_down_sr_allowed,third_down_sr_off,total_yards_off,turnover_epa_forced,turnover_epa_net,turnover_epa_off,yards_allowed
2025,1,BUF,,,,,,17.0,16.0,0.12,0.19,2.74,2.74,4.18,6.69,2.41,2.75,2.41,2.75,0.18,0.25,0.41,0.62,0.41,0.5,41.82,44.56,58.18,55.44,0.29,0.31,0.06,0.12,25.41,31.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,2,BUF,,,,,,32.0,30.0,0.09,0.2,-2.15,-2.15,4.22,6.56,1.54,2.45,1.54,2.45,0.32,0.23,0.31,0.49,0.27,0.46,40.68,38.53,59.32,61.47,0.18,0.26,0.06,0.06,17.84,29.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,3,BUF,,,,,,47.0,42.0,0.06,0.16,-4.62,-4.62,4.5,6.43,1.49,2.49,1.49,2.49,0.3,0.21,0.32,0.49,0.25,0.45,43.59,38.97,56.41,61.03,0.19,0.29,0.06,0.04,18.03,29.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,BUF,,,,,,62.0,58.0,0.08,0.14,-7.57,-7.57,4.71,6.02,1.45,2.35,1.45,2.35,0.28,0.19,0.35,0.46,0.25,0.41,45.31,37.74,54.69,62.26,0.17,0.28,0.06,0.05,18.49,28.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,5,BUF,,,,,,79.0,70.0,0.1,0.14,-12.04,-12.04,4.67,6.2,1.43,2.22,1.43,2.22,0.27,0.18,0.38,0.44,0.26,0.4,46.83,34.79,53.17,65.21,0.16,0.26,0.06,0.09,18.77,28.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,6,BUF,46.7082405090332,45.97963333129883,0.0574951507151126,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0140140624716877,0.101150743663311,0.0,0.0,0.0,0.0,,0.728607177734375,0.6341463327407837,0.4864864945411682,,0.1076692715287208,0.1799548715353012,0.08713668119162331,0.0603969432413578,0.0,-0.14765983819961548,0.07228560000658041,0.1417572014033793,0.010526329278945923,,,0.1178920939564704,0.0,,0.0,0.0,,456.0,502.0,,11.0,-0.0503555573523044,0.0914016440510749,,0.0,0.4933920800685882,0.4939759075641632,0.449999988079071,0.4605263173580169,2270.0,-32.61498260498047,7.289304733276367,-25.3256778717041,1941.0
