season,week,team,avg_start_yardline_100_faced,avg_start_yardline_100_off,def_epa_per_play_allowed,def_median_epa_allowed,drive_momentum_3plus,drives__drives_def,drives__drives_off,drives__fg_rate_def,drives__fg_rate_off,drives__hidden_yards_per_drive_def,drives__hidden_yards_per_drive_off,drives__plays_per_drive_def,drives__plays_per_drive_off,drives__ppd_basic_def,drives__ppd_basic_off,drives__ppd_points_def,drives__ppd_points_off,drives__punt_rate_def,drives__punt_rate_off,drives__redzone_drive_rate_def,drives__redzone_drive_rate_off,drives__score_rate_def,drives__score_rate_off,drives__start_own_yardline_avg_def,drives__start_own_yardline_avg_off,drives__start_yardline_100_avg_def,drives__start_yardline_100_avg_off,drives__td_rate_def,drives__td_rate_off,drives__turnover_rate_def,drives__turnover_rate_off,drives__yds_per_drive_def,drives__yds_per_drive_off,drives_total,drives_with_3plus,early_down_epa_allowed,early_down_epa_off,explosive_plays_allowed,explosive_plays_off,explosive_rate_allowed,explosive_rate_off,field_flip_eff,field_pos_advantage,fourth_down_sr_allowed,fourth_down_sr_off,game_rhythm_q4,late_down_epa_allowed,late_down_epa_off,net_early_down_epa,net_epa,net_explosive_rate,net_fourth_down_sr,net_late_down_epa,net_red_zone_epa,net_third_down_sr,neutral_pass_rate,neutral_plays,off_epa_per_play,off_median_epa,pass_epa_per_play_allowed,pass_epa_per_play_off,pass_rush_delta_off,play_call_entropy_neutral,plays_def,plays_off,punts_tracked,rank_net_epa,red_zone_epa_allowed,red_zone_epa_off,rush_epa_per_play_allowed,rush_epa_per_play_off,success_rate_allowed,success_rate_off,third_down_sr_allowed,third_down_sr_off,total_yards_off,turnover_epa_forced,turnover_epa_net,turnover_epa_off,yards_allowed
2025,1,MIA,,,,,,11.0,8.0,0.36,0.0,-11.28,-11.28,7.73,7.12,3.0,0.88,3.0,0.88,0.0,0.12,0.64,0.12,0.64,0.12,46.91,35.62,53.09,64.38,0.27,0.12,0.0,0.38,38.0,26.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,2,MIA,,,,,,24.0,22.0,0.26,0.07,-3.8,-3.8,6.9,6.35,3.08,1.15,3.08,1.15,0.08,0.13,0.59,0.24,0.59,0.21,45.72,41.92,54.28,58.08,0.33,0.13,0.0,0.26,31.88,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,3,MIA,,,,,,36.0,37.0,0.2,0.05,0.65,0.65,6.66,5.92,2.91,1.23,2.91,1.23,0.11,0.18,0.56,0.27,0.53,0.2,43.76,44.41,56.24,55.59,0.33,0.16,0.0,0.19,31.26,23.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,MIA,,,,,,50.0,48.0,0.19,0.08,2.09,2.09,6.44,6.1,2.54,1.54,2.54,1.54,0.12,0.22,0.49,0.32,0.47,0.27,41.59,43.67,58.41,56.33,0.28,0.19,0.05,0.15,30.39,24.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,5,MIA,,,,,,67.0,59.0,0.17,0.08,0.32,0.32,6.21,6.19,2.35,1.67,2.35,1.67,0.13,0.29,0.47,0.33,0.43,0.29,41.22,41.54,58.78,58.46,0.26,0.2,0.07,0.12,29.23,24.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,6,MIA,44.03711318969727,45.57882308959961,0.1615533977746963,0.0366903766989707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0941331759095192,-0.0527990572154521,0.0,0.0,0.0,0.0,,-1.5417098999023366,0.707317054271698,0.6285714507102966,,0.3514372408390045,0.2533295154571533,-0.14693223312497128,-0.09620319306850429,0.0,-0.07874560356140137,-0.0981077253818512,0.2294666767120361,0.019649118185043335,,,0.065350204706192,-0.0109540885314345,,0.0,0.0,,493.0,434.0,,26.0,0.0726174712181091,0.3020841479301452,,0.0,0.5122448801994324,0.4686774909496307,0.4736842215061188,0.4933333396911621,1736.0,-29.006574630737305,-0.9533462524414062,-29.95992088317871,2323.0
