season,week,team,avg_start_yardline_100_faced,avg_start_yardline_100_off,def_adj_speed,def_drives_tracked,def_epa_drive_h1,def_epa_drive_h2,def_epa_per_play_allowed,def_median_epa_allowed,drive_momentum_3plus,drives__drives_def,drives__drives_off,drives__fg_rate_def,drives__fg_rate_off,drives__hidden_yards_per_drive_def,drives__hidden_yards_per_drive_off,drives__plays_per_drive_def,drives__plays_per_drive_off,drives__ppd_basic_def,drives__ppd_basic_off,drives__ppd_points_def,drives__ppd_points_off,drives__punt_rate_def,drives__punt_rate_off,drives__redzone_drive_rate_def,drives__redzone_drive_rate_off,drives__score_rate_def,drives__score_rate_off,drives__start_own_yardline_avg_def,drives__start_own_yardline_avg_off,drives__start_yardline_100_avg_def,drives__start_yardline_100_avg_off,drives__td_rate_def,drives__td_rate_off,drives__turnover_rate_def,drives__turnover_rate_off,drives__yds_per_drive_def,drives__yds_per_drive_off,drives_total,drives_with_3plus,early_down_epa_allowed,early_down_epa_off,exp_to_succ_balance,explosive_plays_allowed,explosive_plays_off,explosive_rate,explosive_rate_allowed,explosive_rate_off,field_flip_eff,field_pos_advantage,fourth_down_sr_allowed,fourth_down_sr_off,game_rhythm_q4,late_down_epa_allowed,late_down_epa_off,neg_epa_recovery_rate,neg_events_tracked,net_early_down_epa,net_epa,net_explosive_rate,net_fourth_down_sr,net_late_down_epa,net_red_zone_epa,net_third_down_sr,neutral_pass_rate,neutral_plays,off_epa_per_play,off_median_epa,off_pens_tracked,pass_epa_per_play_allowed,pass_epa_per_play_off,pass_rush_delta_off,pen_3rd_kill_rate,pen_rz_off_pen_rate,pen_timing_index,play_call_entropy_neutral,plays_def,plays_off,plays_tracked,punts_tracked,qb_dropbacks,qb_volatility_std,rank_net_epa,red_zone_epa_allowed,red_zone_epa_off,run_sustainability_rate,rush_epa_per_play_allowed,rush_epa_per_play_off,rushes_tracked_ybc,rz_denial_rate_def,rz_fg_def,rz_td_def,rz_trips_def,success_rate,success_rate_allowed,success_rate_off,third_down_avg_ytg,third_down_plays,third_down_sr_allowed,third_down_sr_off,total_yards_off,turnover_epa_forced,turnover_epa_net,turnover_epa_off,twomin_epa_play,twomin_plays,twomin_success_rate,yards_allowed
2025,1,CIN,,,,,,,,,,11.0,17.0,0.09,0.06,8.65,8.65,8.27,4.0,1.55,1.0,1.55,1.0,0.18,0.35,0.27,0.18,0.27,0.18,31.0,39.65,69.0,60.35,0.18,0.12,0.18,0.0,29.73,8.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,2,CIN,,,,,,,,,,24.0,34.0,0.12,0.06,10.9,10.9,7.52,4.44,1.81,1.41,1.81,1.41,0.17,0.26,0.37,0.38,0.33,0.24,34.54,45.44,65.46,54.56,0.21,0.18,0.21,0.09,30.25,14.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,3,CIN,,,,,,,,,,40.0,49.0,0.12,0.06,3.96,3.96,6.72,4.63,1.92,1.47,1.92,1.47,0.22,0.31,0.39,0.28,0.34,0.25,38.4,42.36,61.6,57.64,0.22,0.18,0.14,0.17,27.5,13.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,CIN,,,,,,,,,,53.0,59.0,0.09,0.07,1.71,1.71,6.85,5.17,1.98,1.18,1.98,1.18,0.24,0.43,0.39,0.23,0.34,0.21,36.19,37.9,63.81,62.1,0.24,0.14,0.12,0.13,30.47,14.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,5,CIN,,,,,,,,,,67.0,72.0,0.07,0.07,-3.35,-3.35,6.62,5.37,2.08,1.31,2.08,1.31,0.26,0.41,0.4,0.23,0.34,0.23,38.39,35.04,61.61,64.96,0.27,0.16,0.11,0.15,29.59,16.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,6,CIN,,,,,,,,,,90.0,101.0,0.09,0.1,-1.04,-1.04,6.6,5.57,2.21,1.43,2.21,1.43,0.24,0.36,0.4,0.29,0.37,0.26,38.21,37.17,61.79,62.83,0.28,0.16,0.12,0.11,31.16,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
