season,week,team,avg_start_yardline_100_faced,avg_start_yardline_100_off,def_adj_speed,def_drives_tracked,def_epa_drive_h1,def_epa_drive_h2,def_epa_per_play_allowed,def_median_epa_allowed,drive_momentum_3plus,drives__drives_def,drives__drives_off,drives__fg_rate_def,drives__fg_rate_off,drives__hidden_yards_per_drive_def,drives__hidden_yards_per_drive_off,drives__plays_per_drive_def,drives__plays_per_drive_off,drives__ppd_basic_def,drives__ppd_basic_off,drives__ppd_points_def,drives__ppd_points_off,drives__punt_rate_def,drives__punt_rate_off,drives__redzone_drive_rate_def,drives__redzone_drive_rate_off,drives__score_rate_def,drives__score_rate_off,drives__start_own_yardline_avg_def,drives__start_own_yardline_avg_off,drives__start_yardline_100_avg_def,drives__start_yardline_100_avg_off,drives__td_rate_def,drives__td_rate_off,drives__turnover_rate_def,drives__turnover_rate_off,drives__yds_per_drive_def,drives__yds_per_drive_off,drives_total,drives_with_3plus,early_down_epa_allowed,early_down_epa_off,exp_to_succ_balance,explosive_plays_allowed,explosive_plays_off,explosive_rate,explosive_rate_allowed,explosive_rate_off,field_flip_eff,field_pos_advantage,fourth_down_sr_allowed,fourth_down_sr_off,game_rhythm_q4,late_down_epa_allowed,late_down_epa_off,neg_epa_recovery_rate,neg_events_tracked,net_early_down_epa,net_epa,net_explosive_rate,net_fourth_down_sr,net_late_down_epa,net_red_zone_epa,net_third_down_sr,neutral_pass_rate,neutral_plays,off_epa_per_play,off_median_epa,off_pens_tracked,pass_epa_per_play_allowed,pass_epa_per_play_off,pass_rush_delta_off,pen_3rd_kill_rate,pen_rz_off_pen_rate,pen_timing_index,play_call_entropy_neutral,plays_def,plays_off,plays_tracked,punts_tracked,qb_dropbacks,qb_volatility_std,rank_net_epa,red_zone_epa_allowed,red_zone_epa_off,run_sustainability_rate,rush_epa_per_play_allowed,rush_epa_per_play_off,rushes_tracked_ybc,rz_denial_rate_def,rz_fg_def,rz_td_def,rz_trips_def,success_rate,success_rate_allowed,success_rate_off,third_down_avg_ytg,third_down_plays,third_down_sr_allowed,third_down_sr_off,total_yards_off,turnover_epa_forced,turnover_epa_net,turnover_epa_off,twomin_epa_play,twomin_plays,twomin_success_rate,yards_allowed
2025,1,SEA,,,,,,,,,,15.0,13.0,0.07,0.15,-0.88,-0.88,6.0,5.15,1.13,1.0,1.13,1.0,0.13,0.38,0.53,0.23,0.2,0.23,38.8,37.92,61.2,62.08,0.13,0.08,0.13,0.15,25.6,17.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,2,SEA,,,,,,,,,,29.0,29.0,0.14,0.11,-0.65,-0.65,5.71,5.14,1.39,1.25,1.39,1.25,0.21,0.32,0.34,0.27,0.28,0.24,37.08,36.43,62.92,63.57,0.14,0.13,0.14,0.14,22.41,21.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,3,SEA,,,,,,,,,,41.0,44.0,0.15,0.14,5.72,5.72,6.56,5.05,1.48,1.66,1.48,1.66,0.31,0.26,0.31,0.31,0.3,0.32,34.27,40.0,65.73,60.0,0.15,0.18,0.15,0.12,22.83,21.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,SEA,,,,,,,,,,57.0,57.0,0.14,0.16,3.78,3.78,6.23,5.36,1.42,1.68,1.42,1.68,0.29,0.25,0.29,0.31,0.29,0.33,35.77,39.56,64.23,60.44,0.14,0.17,0.14,0.09,21.07,23.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,5,SEA,,,,,,,,,,70.0,70.0,0.16,0.13,2.48,2.48,6.15,5.48,1.71,1.89,1.71,1.89,0.26,0.22,0.34,0.34,0.34,0.34,37.4,39.88,62.6,60.12,0.18,0.21,0.11,0.12,23.44,25.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,6,SEA,,,,,,,,,,101.0,104.0,0.13,0.13,2.69,2.69,6.15,5.28,1.47,1.8,1.47,1.8,0.33,0.25,0.31,0.34,0.29,0.33,36.73,39.42,63.27,60.58,0.15,0.2,0.09,0.11,21.67,24.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
