game_id,week,team,side,plays,penalties,penalty_yds,pen_per_100_plays,presnap_pen_rate,rz_pen_rate,third_fourth_pen,auto_fd_allowed,dpi_yds
2025_01_LV_NE,1,NE,def,73,7.0,153.0,9.58904109589041,0.0410958904109589,0.0,4.0,1.0,0.0
2025_01_LV_NE,1,NE,off,84,8.0,107.0,9.523809523809524,0.047619047619047616,0.011904761904761904,4.0,1.0,22.0
2025_01_ARI_NO,1,NO,def,75,9.0,44.0,12.0,0.04,0.04,2.0,3.0,13.0
2025_01_ARI_NO,1,NO,off,87,12.0,76.0,13.793103448275861,0.09195402298850575,0.022988505747126436,5.0,4.0,7.0
2025_01_NYG_WAS,1,NYG,def,77,9.0,69.0,11.688311688311689,0.03896103896103896,0.012987012987012988,3.0,3.0,0.0
2025_01_NYG_WAS,1,NYG,off,77,9.0,135.0,11.688311688311689,0.03896103896103896,0.012987012987012988,7.0,4.0,0.0
2025_01_PIT_NYJ,1,NYJ,def,63,5.0,77.0,7.936507936507937,0.015873015873015872,0.0,3.0,3.0,19.0
2025_01_PIT_NYJ,1,NYJ,off,68,5.0,68.0,7.352941176470588,0.029411764705882353,0.014705882352941176,2.0,1.0,0.0
2025_01_DAL_PHI,1,PHI,def,65,8.0,82.0,12.307692307692308,0.0,0.03076923076923077,1.0,6.0,43.0
2025_01_DAL_PHI,1,PHI,off,68,2.0,10.0,2.9411764705882355,0.014705882352941176,0.0,1.0,0.0,0.0
2025_01_PIT_NYJ,1,PIT,def,68,5.0,68.0,7.352941176470588,0.029411764705882353,0.014705882352941176,2.0,1.0,0.0
2025_01_PIT_NYJ,1,PIT,off,63,5.0,77.0,7.936507936507937,0.015873015873015872,0.0,3.0,3.0,19.0
2025_01_SF_SEA,1,SEA,def,83,6.0,76.0,7.228915662650603,0.024096385542168676,0.024096385542168676,3.0,2.0,0.0
2025_01_SF_SEA,1,SEA,off,60,6.0,62.0,10.0,0.03333333333333333,0.05,3.0,2.0,3.0
2025_01_SF_SEA,1,SF,def,60,6.0,62.0,10.0,0.03333333333333333,0.05,3.0,2.0,3.0
2025_01_SF_SEA,1,SF,off,83,6.0,76.0,7.228915662650603,0.024096385542168676,0.024096385542168676,3.0,2.0,0.0
2025_01_TB_ATL,1,TB,def,84,8.0,77.0,9.523809523809524,0.047619047619047616,0.0,0.0,3.0,0.0
2025_01_TB_ATL,1,TB,off,64,3.0,33.0,4.6875,0.015625,0.0,0.0,1.0,0.0
2025_01_TEN_DEN,1,TEN,def,84,13.0,143.0,15.476190476190476,0.03571428571428571,0.023809523809523808,6.0,6.0,16.0
2025_01_TEN_DEN,1,TEN,off,71,5.0,47.0,7.042253521126761,0.028169014084507043,0.0,1.0,0.0,0.0
2025_01_NYG_WAS,1,WSH,def,77,9.0,135.0,11.688311688311689,0.03896103896103896,0.012987012987012988,7.0,4.0,0.0
2025_01_NYG_WAS,1,WSH,off,77,9.0,69.0,11.688311688311689,0.03896103896103896,0.012987012987012988,3.0,3.0,0.0
2025_02_CAR_ARI,2,ARI,def,89,10.0,95.0,11.235955056179776,0.056179775280898875,0.011235955056179775,6.0,3.0,0.0
2025_02_CAR_ARI,2,ARI,off,59,6.0,72.0,10.169491525423728,0.0,0.03389830508474576,2.0,1.0,38.0
2025_02_ATL_MIN,2,ATL,def,56,4.0,33.0,7.142857142857143,0.05357142857142857,0.017857142857142856,1.0,0.0,0.0
2025_02_ATL_MIN,2,ATL,off,79,7.0,29.0,8.860759493670885,0.06329113924050633,0.0379746835443038,3.0,2.0,0.0
2025_02_CLE_BAL,2,BAL,def,82,3.0,14.0,3.658536585365854,0.024390243902439025,0.0,2.0,0.0,0.0
2025_02_CLE_BAL,2,BAL,off,66,7.0,55.0,10.606060606060606,0.045454545454545456,0.030303030303030304,2.0,2.0,12.0
2025_02_BUF_NYJ,2,BUF,def,56,2.0,19.0,3.5714285714285716,0.017857142857142856,0.0,0.0,1.0,0.0
2025_02_BUF_NYJ,2,BUF,off,81,8.0,110.0,9.876543209876543,0.0,0.012345679012345678,5.0,4.0,0.0
2025_02_CAR_ARI,2,CAR,def,59,6.0,72.0,10.169491525423728,0.0,0.03389830508474576,2.0,1.0,38.0
2025_02_CAR_ARI,2,CAR,off,89,10.0,95.0,11.235955056179776,0.056179775280898875,0.011235955056179775,6.0,3.0,0.0
2025_02_CHI_DET,2,CHI,def,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_02_CHI_DET,2,CHI,off,74,6.0,48.0,8.108108108108109,0.02702702702702703,0.0,1.0,1.0,0.0
2025_02_JAX_CIN,2,CIN,def,76,4.0,15.0,5.2631578947368425,0.039473684210526314,0.0,1.0,1.0,0.0
2025_02_JAX_CIN,2,CIN,off,73,4.0,44.0,5.47945205479452,0.0136986301369863,0.0136986301369863,1.0,2.0,25.0
2025_02_CLE_BAL,2,CLE,def,66,7.0,55.0,10.606060606060606,0.045454545454545456,0.030303030303030304,2.0,2.0,12.0
2025_02_CLE_BAL,2,CLE,off,82,3.0,14.0,3.658536585365854,0.024390243902439025,0.0,2.0,0.0,0.0
2025_02_NYG_DAL,2,DAL,def,77,9.0,169.0,11.688311688311689,0.05194805194805195,0.025974025974025976,4.0,1.0,21.0
2025_02_NYG_DAL,2,DAL,off,101,12.0,139.0,11.881188118811881,0.04950495049504951,0.009900990099009901,5.0,6.0,45.0
2025_02_DEN_IND,2,DEN,def,78,8.0,106.0,10.256410256410257,0.038461538461538464,0.02564102564102564,1.0,4.0,23.0
2025_02_DEN_IND,2,DEN,off,64,8.0,119.0,12.5,0.03125,0.03125,3.0,4.0,8.0
2025_02_CHI_DET,2,DET,def,74,6.0,48.0,8.108108108108109,0.02702702702702703,0.0,1.0,1.0,0.0
2025_02_CHI_DET,2,DET,off,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_02_WAS_GB,2,GB,def,77,6.0,73.0,7.792207792207792,0.025974025974025976,0.025974025974025976,4.0,2.0,0.0
2025_02_WAS_GB,2,GB,off,77,8.0,121.0,10.38961038961039,0.025974025974025976,0.012987012987012988,2.0,2.0,0.0
2025_02_TB_HOU,2,HOU,def,88,9.0,69.0,10.227272727272727,0.03409090909090909,0.011363636363636364,0.0,4.0,0.0
2025_02_TB_HOU,2,HOU,off,54,3.0,11.0,5.555555555555555,0.0,0.018518518518518517,0.0,2.0,0.0
