team,week,side,epa_avg_h1,epa_avg_h2,plays_h1,plays_h2,success_rate_h1,success_rate_h2,adj_epa,adj_sr
ARI,1,def,-0.21831809659613235,-0.22396748040390876,19,38,0.21052631578947367,0.5263157894736842,-0.005649383807776409,0.3157894736842105
ARI,1,off,0.3830274631250298,-0.38423444969937814,35,25,0.4857142857142857,0.24,-0.7672619128244079,-0.24571428571428572
ARI,2,def,0.4196187581145576,0.04952842476566068,30,22,0.6333333333333333,0.45454545454545453,-0.37009033334889696,-0.17878787878787877
ARI,2,off,0.5001903162399678,0.21205833576360536,29,33,0.5517241379310345,0.5454545454545454,-0.28813198047636246,-0.006269592476489061
ARI,3,def,-0.5037459844846607,0.4428722444445157,34,32,0.29411764705882354,0.59375,0.9466182289291764,0.29963235294117646
ARI,3,off,0.2247971426913491,-0.5191341498369496,20,33,0.55,0.3333333333333333,-0.7439312925282987,-0.21666666666666673
ARI,4,def,-0.2918033826914542,-0.539573158081315,34,34,0.3235294117647059,0.5,-0.24776977538986078,0.1764705882352941
ARI,4,off,-0.12574265028815718,-0.04385464431834407,30,28,0.43333333333333335,0.5,0.0818880059698131,0.06666666666666665
ARI,5,def,-0.2055312714330996,0.41766753265634177,38,25,0.5789473684210527,0.56,0.6231988040894414,-0.0189473684210526
ARI,5,off,0.0528942103286012,0.17658282121024704,24,32,0.4166666666666667,0.46875,0.12368861088164584,0.052083333333333315
ARI,6,def,-0.30687543329705014,-0.2616395769771527,37,31,0.4594594594594595,0.4838709677419355,0.04523585631989746,0.024411508282476013
ARI,6,off,-0.019875402219779188,-0.2330447651153147,28,27,0.39285714285714285,0.5185185185185185,-0.2131693628955355,0.12566137566137564
ARI,7,def,0.06233963131684206,-0.13891420870613966,28,35,0.5357142857142857,0.6,-0.20125384002298172,0.06428571428571428
ARI,7,off,0.04293584250732355,0.02601468904917552,31,22,0.5161290322580645,0.45454545454545453,-0.016921153458148035,-0.06158357771260997
ARI,8,def,-0.142884868711821,-0.27085860550403595,39,25,0.4358974358974359,0.6,-0.12797373679221496,0.16410256410256407
ARI,8,off,0.18946356082567944,0.3388918756675812,25,37,0.52,0.5405405405405406,0.14942831484190178,0.020540540540540553
ARI,9,def,0.021656255533308376,0.466746358491946,37,32,0.6216216216216216,0.8125,0.44509010295863766,0.1908783783783784
ARI,9,off,0.125282877132607,-0.28591283058003714,30,27,0.5,0.3333333333333333,-0.41119570771264413,-0.16666666666666669
ARI,10,def,0.05657036093733292,0.23518790067699288,24,31,0.5416666666666666,0.5483870967741935,0.17861753973965996,0.006720430107526876
ARI,10,off,0.4417698858585489,0.27187517163640057,34,22,0.5882352941176471,0.5909090909090909,-0.16989471422214836,0.002673796791443861
ARI,12,def,0.04201350162451666,0.09142142062286858,31,28,0.6451612903225806,0.5714285714285714,0.04940791899835192,-0.07373271889400923
ARI,12,off,-0.14977564702838803,-0.21722939131684696,27,29,0.2222222222222222,0.4827586206896552,-0.06745374428845893,0.260536398467433
ARI,13,def,0.44609651685899465,-0.18768701168624005,20,30,0.5,0.4666666666666667,-0.6337835285452347,-0.033333333333333326
ARI,13,off,0.11284347292322454,-0.04389239999251984,39,37,0.5128205128205128,0.43243243243243246,-0.15673587291574437,-0.08038808038808032
ARI,14,def,-0.3847521034418975,0.09797391531752353,32,29,0.4375,0.5862068965517241,0.482726018759421,0.1487068965517241
ARI,14,off,-0.27581953998570363,0.08916646210725729,27,36,0.37037037037037035,0.5277777777777778,0.36498600209296095,0.15740740740740744
ARI,15,def,0.13988245008771874,-0.22174751675687732,24,25,0.5416666666666666,0.36,-0.36162996684459603,-0.18166666666666664
ARI,15,off,0.20405793494518848,0.16723598767511444,28,35,0.39285714285714285,0.45714285714285713,-0.03682194727007404,0.06428571428571428
ARI,16,def,-0.3545299108456155,-0.07710909940943876,28,31,0.5714285714285714,0.5483870967741935,0.27742081143617675,-0.02304147465437789
ARI,16,off,0.27855528349027736,0.12937748583021286,28,29,0.6785714285714286,0.41379310344827586,-0.1491777976600645,-0.26477832512315275
ARI,17,def,0.051907419780976176,-0.0037334738290357274,33,20,0.6060606060606061,0.45,-0.055640893610011906,-0.15606060606060607
ARI,17,off,-0.1609168342220073,0.10650538305507753,32,42,0.4375,0.5952380952380952,0.2674222172770848,0.15773809523809523
ARI,18,def,-0.2661025987364406,0.3038279246829916,39,32,0.4358974358974359,0.625,0.5699305234194322,0.1891025641025641
ARI,18,off,0.18059277787027728,0.3233929965349225,33,30,0.5151515151515151,0.5,0.1428002186646452,-0.015151515151515138
ATL,1,def,-0.029269590283507174,0.20095286360928943,29,37,0.5862068965517241,0.6216216216216216,0.2302224538927966,0.03541472506989751
ATL,1,off,0.03253239260325257,-0.9080652977572754,29,20,0.6206896551724138,0.15,-0.940597690360528,-0.4706896551724138
ATL,2,def,-0.024056630361883435,-0.18600355364077897,28,40,0.5714285714285714,0.5,-0.16194692327889554,-0.0714285714285714
ATL,2,off,0.037941180547663045,0.287348132891835,31,26,0.45161290322580644,0.5,0.24940695234417193,0.04838709677419356
ATL,3,def,-0.04519691973833116,-0.1839389323732374,42,27,0.4523809523809524,0.3333333333333333,-0.13874201263490626,-0.11904761904761907
ATL,3,off,0.018735450311479242,-0.1783411509159004,22,33,0.4090909090909091,0.3939393939393939,-0.19707660122737963,-0.015151515151515194
ATL,4,def,-0.037646062296283034,-0.08265140657546233,35,35,0.42857142857142855,0.5714285714285714,-0.045005344279179293,0.14285714285714285
