season,week,team,plays_allowed,avg_epa_allowed,median_epa_allowed,success_rate_allowed,explosive_allowed,explosive_rate_allowed,yards_allowed,early_down_epa_allowed,late_down_epa_allowed,third_down_sr_allowed,fourth_down_sr_allowed,red_zone_epa_allowed,pass_epa_per_play_allowed,rush_epa_per_play_allowed,turnover_epa_forced,avg_start_yardline_100_faced
2025,1,ARI,96.0,-0.09094732254743576,-0.12729953229427338,0.42105263471603394,0.0,0.0,315.0,0.02860885113477707,-0.3855884373188019,0.3333333432674408,0.6000000238418579,-0.49881020188331604,,,0.0,46.0107536315918
2025,1,ATL,75.0,0.07608795166015625,-0.08239652961492538,0.4189189076423645,0.0,0.0,260.0,0.028831861913204193,0.16732080280780792,0.5,0.5714285969734192,0.15253743529319763,,,0.0,50.94444274902344
2025,1,BAL,107.0,0.2037605196237564,0.0,0.49056604504585266,0.0,0.0,497.0,0.16048824787139893,0.4419339895248413,0.5555555820465088,0.5,0.012898607179522514,,,-1.3481184244155884,42.14285659790039
2025,1,BUF,71.0,0.34029293060302734,0.06757300347089767,0.5633803009986877,0.0,0.0,432.0,0.27984729409217834,0.5707598924636841,0.5384615659713745,0.6000000238418579,-0.40189123153686523,,,-7.497692108154297,45.88571548461914
2025,1,CAR,83.0,0.08952295035123825,-0.022174542769789696,0.47560974955558777,0.0,0.0,378.0,-0.01630747690796852,0.4675855040550232,0.4166666567325592,1.0,0.13829447329044342,,,-2.8978044986724854,45.59493637084961
2025,1,CHI,74.0,-0.06429663300514221,-0.08809726685285568,0.44594594836235046,0.0,0.0,256.0,0.18195393681526184,-0.5335659980773926,0.2666666805744171,0.5,0.28128230571746826,,,-9.658108711242676,51.6301383972168
2025,1,CIN,91.0,-0.08810140937566757,-0.09341374784708023,0.4000000059604645,0.0,0.0,327.0,-0.2158273458480835,0.16994847357273102,0.5789473652839661,0.4285714328289032,-0.13470837473869324,,,-7.483883857727051,44.28409194946289
2025,1,CLE,68.0,-0.06649989634752274,-0.14237457513809204,0.44117647409439087,0.0,0.0,141.0,-0.1076643317937851,-0.04240373522043228,0.5,0.3333333432674408,0.3010234832763672,,,0.0,45.264705657958984
2025,1,DAL,78.0,0.1710982322692871,0.06757300347089767,0.5324675440788269,0.0,0.0,302.0,0.05733504146337509,0.5174860954284668,0.5384615659713745,0.800000011920929,0.556351363658905,,,0.0,47.85333251953125
2025,1,DEN,77.0,-0.21870389580726624,-0.4336300194263458,0.3246753215789795,0.0,0.0,133.0,-0.3976162075996399,-0.11502871662378311,0.1428571492433548,0.4615384638309479,-0.3820323050022125,,,-1.8243682384490967,53.69736862182617
2025,1,DET,61.0,0.1847870945930481,-0.029631514102220535,0.5,0.0,0.0,266.0,0.10251939296722412,0.3646628260612488,0.4545454680919647,0.8333333134651184,0.22189092636108398,,,0.0,42.93333435058594
2025,1,GB,83.0,-0.053930364549160004,-0.14504574239253998,0.4337349534034729,0.0,0.0,246.0,-0.04152829945087433,-0.09857304394245148,0.3333333432674408,0.5454545617103577,-0.3491111397743225,,,-3.833888053894043,49.9878044128418
2025,1,HOU,76.0,-0.07460019737482071,-0.08334368467330933,0.4000000059604645,0.0,0.0,296.0,-0.1553729921579361,0.028765179216861725,0.5333333611488342,0.1666666716337204,-0.15454688668251038,,,-8.542925834655762,50.46575164794922
2025,1,IND,57.0,-0.1589336395263672,-0.010407333262264729,0.4821428656578064,0.0,0.0,213.0,-0.28468838334083557,-0.24059469997882843,0.5,0.5,0.4309706389904022,,,-12.454935073852539,44.85714340209961
2025,1,JAX,77.0,-0.10697991400957108,-0.20466113090515137,0.3896103799343109,0.0,0.0,255.0,-0.19688883423805237,-0.05214952304959297,0.5625,0.5,-1.0260835886001587,,,-9.892271995544434,47.855262756347656
2025,1,KC,81.0,0.21371367573738098,0.07948724925518036,0.574999988079071,0.0,0.0,394.0,0.050000883638858795,0.7337819337844849,0.7857142686843872,1.0,0.18750903010368347,,,1.4641168117523193,45.0
2025,1,LA,76.0,-0.121307373046875,-0.3102286458015442,0.3684210479259491,0.0,0.0,265.0,-0.20541389286518097,0.1766595095396042,0.27272728085517883,0.7142857313156128,-0.289930522441864,,,-8.433553695678711,59.6315803527832
2025,1,LAC,79.0,0.13125315308570862,-0.02914826013147831,0.4556961953639984,0.0,0.0,347.0,0.024704594165086746,0.3963838219642639,0.375,0.8888888955116272,-0.2956673800945282,,,-1.3536235094070435,44.089744567871094
2025,1,LV,91.0,-0.04947091266512871,-0.26567426323890686,0.4395604431629181,0.0,0.0,336.0,-0.09171640872955322,-0.04521441459655762,0.3125,0.5454545617103577,0.03568360209465027,,,-5.058892250061035,51.5444450378418
2025,1,MIA,85.0,0.2513866722583771,0.06857135146856308,0.5529412031173706,0.0,0.0,418.0,0.15850719809532166,0.45511361956596375,0.46666666865348816,1.0,-0.05565408989787102,,,0.0,37.93975830078125
2025,1,MIN,91.0,-0.11061524599790573,-0.2469843178987503,0.3777777850627899,0.0,0.0,317.0,-0.004890432581305504,-0.4886922538280487,0.3571428656578064,0.1111111119389534,0.5437954664230347,,,0.04986125975847244,48.325843811035156
2025,1,NE,81.0,0.08168633282184601,-0.14888420701026917,0.44999998807907104,0.0,0.0,389.0,-0.023392634466290474,0.2886659801006317,0.4285714328289032,0.625,0.440699964761734,,,-3.484849452972412,52.68354415893555
2025,1,NO,81.0,0.016025027260184288,-0.24502955377101898,0.4444444477558136,0.0,0.0,276.0,-0.007634197361767292,0.05119678005576134,0.46666666865348816,0.4285714328289032,0.24944256246089935,,,0.0,47.950618743896484
