team,st_plays,st_epa,st_epa_per_play,ko_tb_rate,ko_opp_start_yd100,punt_opp_start_yd100,ret_epa,ret_epa_against,ret_epa_diff,fg_pct,fg_epa_per_att,xp_pct,xp_epa_per_att,st_pen_rate,st_score,punt_net
ARI,19,-3.2064984,-0.16876307286714254,0.0,,69.54545523903586,0.0,0.0,0.0,0.0,-0.22095513343811035,0.0,0.0,0.0,48.2297053437477,0.0
ATL,19,-3.7393382,-0.19680727155585037,0.0,,63.777777353922524,0.0,0.0,0.0,0.0,-0.8244474199083115,0.0,0.0,0.0,49.99092721793216,0.0
BAL,12,5.414384,0.45119865735371906,0.0,,72.62499952316284,0.0,0.0,0.0,0.0,1.3535959720611572,0.0,0.0,0.0,53.77423266640365,0.0
BUF,17,-2.4683604,-0.14519767200245576,0.0,,66.66666751437717,0.0,0.0,0.0,0.0,-0.4959904717074501,0.0,0.0,0.0,49.47242883831837,0.0
CAR,12,4.467955,0.37232959270477295,0.0,,59.0,0.0,0.0,0.0,0.0,0.46882249249352353,0.0,0.0,0.0,58.22807629839203,0.0
CHI,17,-8.286802,-0.487458958345301,0.0,,69.49999891008649,0.0,0.0,0.0,0.0,-1.670638879140218,0.0,0.0,0.058823529411764705,43.69690505579123,0.0
CIN,18,-0.653672,-0.03631510999467638,0.0,,71.73333282470703,0.0,0.0,0.0,0.0,-0.21789065996805826,0.0,0.0,0.05555555555555555,47.99688609776075,0.0
CLE,19,-7.3021913,-0.38432585565667404,0.0,,59.57142857142857,0.0,0.0,0.0,0.0,-1.8089374701182048,0.0,0.0,0.05263157894736842,48.852222606547926,0.0
DAL,16,6.6540956,0.4158809781074524,0.0,,62.375,0.0,0.0,0.0,0.0,0.8722596963246664,0.0,0.0,0.0,57.4839641261361,0.0
DEN,18,-4.7272453,-0.26262474060058594,0.0,,60.00000029343825,0.0,0.0,0.0,0.0,-1.4985454479853313,0.0,0.0,0.1111111111111111,49.481217179422956,0.0
DET,10,-3.425124,-0.3425123929977417,0.0,,71.83333396911621,0.0,0.0,0.0,0.0,-0.8562809973955154,0.0,0.0,0.1,44.26112662346621,0.0
GB,19,-3.3691754,-0.1773250228480289,0.0,,68.16666666666667,0.0,0.0,0.0,0.0,-0.4307358198695712,0.0,0.0,0.10526315789473684,47.61961691689299,0.0
HOU,21,1.2591181,0.05995800381615048,0.0,,67.42857142857143,0.0,0.0,0.0,0.0,0.06329961617787679,0.0,0.0,0.047619047619047616,51.010069934944546,0.0
IND,13,0.5122967,0.03940743666428786,0.0,,55.0,0.0,0.0,0.0,0.0,-0.05851728187667001,0.0,0.0,0.0,56.497635551489324,0.0
JAX,18,0.67763567,0.03764642609490289,0.0,,71.5999984741211,0.0,0.0,0.0,0.0,-0.20541836818059286,0.0,0.0,0.1111111111111111,48.23149069374974,0.0
KC,18,3.0550463,0.16972479555341932,0.0,,68.55555470784505,0.0,0.0,0.0,0.0,0.5968558457162646,0.0,0.0,0.1111111111111111,51.352977155241845,0.0
LA,17,-11.705836,-0.6885786056518555,0.0,,60.66666497124566,0.0,0.0,0.0,0.0,-0.6473355624410841,0.0,0.0,0.11764705882352941,45.87945324769582,0.0
LAC,17,-0.7061322,-0.04153718667871812,0.0,,71.1,0.0,0.0,0.0,0.0,0.03350559704833559,0.0,0.0,0.0,48.919876711686996,0.0
LV,20,-0.7980361,-0.03990180492401123,0.0,,68.30769406832181,0.0,0.0,0.0,0.0,-1.0587624973720975,0.0,0.0,0.2,47.47428587711084,0.0
MIA,9,2.108963,0.2343292236328125,0.0,,65.57142857142857,0.0,0.0,0.0,0.0,0.2597566246986389,0.0,0.0,0.0,53.98783353862657,0.0
MIN,22,1.7223382,0.07828809998252174,0.0,,70.56249904632568,0.0,0.0,0.0,0.0,0.2870563715696335,0.0,0.0,0.09090909090909091,49.60597284847189,0.0
NE,14,-4.1453114,-0.29609366825648714,0.0,,66.77777862548828,0.0,0.0,0.0,0.0,-0.6541063785552979,0.0,0.0,0.14285714285714285,46.614810773158354,0.0
NO,21,-22.990158,-1.0947694324311756,0.0,,70.85714285714286,0.0,0.0,0.0,0.0,-3.764422045813666,0.0,0.0,0.0,36.51155755828672,0.0
NYG,17,0.5465455,0.032149735619040096,0.0,,67.00000208074397,0.0,0.0,0.0,0.0,-0.16648614406585693,0.0,0.0,0.11764705882352941,50.123942357353116,0.0
NYJ,16,6.801469,0.42509180307388306,0.0,,68.27272935347123,0.0,0.0,0.0,0.0,1.5332190990447998,0.0,0.0,0.0625,54.965263454784136,0.0
PHI,15,6.5928755,0.43952503204345705,0.0,,73.58333333333333,0.0,0.0,0.0,0.0,1.907619873682658,0.0,0.0,0.0,53.67506399560269,0.0
PIT,17,8.009206,0.4711297540103688,0.0,,66.16666666666667,0.0,0.0,0.0,0.0,1.2204891840616863,0.0,0.0,0.058823529411764705,56.08743313586194,0.0
SEA,18,0.9261224,0.05145124594370524,0.0,,62.727272033691406,0.0,0.0,0.0,0.0,0.03917229175567627,0.0,0.0,0.05555555555555555,52.8579209453529,0.0
SF,17,-5.653224,-0.33254258772906137,0.0,,59.77777777777778,0.0,0.0,0.0,0.0,-0.5989644957913294,0.0,0.0,0.11764705882352941,49.5565915704452,0.0
TB,23,-18.808552,-0.8177631212317426,0.0,,67.00000108991351,0.0,0.0,0.0,0.0,-4.481127301851909,0.0,0.0,0.0,40.16018532750523,0.0
TEN,26,14.248642,0.5480246910682092,0.0,,68.71428680419922,0.0,0.0,0.0,0.0,1.1873868703842163,0.0,0.0,0.0,56.21252938045632,0.0
WAS,18,-3.7138314,-0.2063239680396186,0.0,,60.666666984558105,0.0,0.0,0.0,0.0,-0.21785729461246064,0.0,0.0,0.05555555555555555,51.187796971363845,0.0
