defteam,week,season,def_plays,expl_rush_allowed,expl_pass_allowed,expl_total_allowed,expl_rate_allowed,chunk20_allowed,chunk20_rate
ARI,1,2024,57,2,5,7,0.12280701754385964,3,0.05263157894736842
ATL,1,2024,66,2,2,4,0.06060606060606061,3,0.045454545454545456
BAL,1,2024,49,1,8,9,0.1836734693877551,6,0.12244897959183673
BUF,1,2024,59,4,2,6,0.1016949152542373,4,0.06779661016949153
CAR,1,2024,62,5,6,11,0.1774193548387097,2,0.03225806451612903
CHI,1,2024,61,5,3,8,0.13114754098360656,3,0.04918032786885246
CIN,1,2024,61,5,3,8,0.13114754098360656,0,0.0
CLE,1,2024,59,3,4,7,0.11864406779661017,2,0.03389830508474576
DAL,1,2024,70,2,3,5,0.07142857142857142,2,0.02857142857142857
DEN,1,2024,57,4,3,7,0.12280701754385964,3,0.05263157894736842
DET,1,2024,74,1,6,7,0.0945945945945946,4,0.05405405405405406
GB,1,2024,73,3,6,9,0.1232876712328767,5,0.0684931506849315
HOU,1,2024,43,3,3,6,0.13953488372093023,3,0.06976744186046512
IND,1,2024,74,6,4,10,0.13513513513513514,2,0.02702702702702703
JAX,1,2024,65,2,6,8,0.12307692307692308,5,0.07692307692307693
KC,1,2024,74,5,7,12,0.16216216216216217,2,0.02702702702702703
LA,1,2024,61,3,4,7,0.11475409836065574,4,0.06557377049180328
LAC,1,2024,59,1,6,7,0.11864406779661017,4,0.06779661016949153
LV,1,2024,51,4,2,6,0.11764705882352941,3,0.058823529411764705
MIA,1,2024,50,4,5,9,0.18,5,0.1
MIN,1,2024,68,1,4,5,0.07352941176470588,2,0.029411764705882353
NE,1,2024,48,1,1,2,0.041666666666666664,1,0.020833333333333332
NO,1,2024,55,0,3,3,0.05454545454545454,2,0.03636363636363636
NYG,1,2024,50,5,4,9,0.18,3,0.06
NYJ,1,2024,69,6,6,12,0.17391304347826086,5,0.07246376811594203
PHI,1,2024,58,5,5,10,0.1724137931034483,7,0.1206896551724138
PIT,1,2024,49,3,3,6,0.12244897959183673,1,0.02040816326530612
SEA,1,2024,69,3,2,5,0.07246376811594203,2,0.028985507246376812
SF,1,2024,48,1,3,4,0.08333333333333333,2,0.041666666666666664
TB,1,2024,55,4,3,7,0.12727272727272726,2,0.03636363636363636
TEN,1,2024,51,3,0,3,0.058823529411764705,1,0.0196078431372549
WAS,1,2024,59,4,7,11,0.1864406779661017,5,0.0847457627118644
ARI,2,2024,52,0,5,5,0.09615384615384616,4,0.07692307692307693
ATL,2,2024,67,6,4,10,0.14925373134328357,1,0.014925373134328358
BAL,2,2024,59,0,6,6,0.1016949152542373,5,0.0847457627118644
BUF,2,2024,75,6,6,12,0.16,1,0.013333333333333334
CAR,2,2024,62,5,3,8,0.12903225806451613,2,0.03225806451612903
CHI,2,2024,60,3,9,12,0.2,3,0.05
CIN,2,2024,59,2,2,4,0.06779661016949153,1,0.01694915254237288
CLE,2,2024,54,4,5,9,0.16666666666666666,7,0.12962962962962962
DAL,2,2024,53,5,5,10,0.18867924528301888,3,0.05660377358490566
DEN,2,2024,58,4,1,5,0.08620689655172414,0,0.0
DET,2,2024,46,3,7,10,0.21739130434782608,2,0.043478260869565216
GB,2,2024,52,7,5,12,0.23076923076923078,4,0.07692307692307693
HOU,2,2024,66,2,3,5,0.07575757575757576,2,0.030303030303030304
IND,2,2024,67,9,3,12,0.1791044776119403,3,0.04477611940298507
JAX,2,2024,65,2,3,5,0.07692307692307693,4,0.06153846153846154
KC,2,2024,61,1,3,4,0.06557377049180328,2,0.03278688524590164
LA,2,2024,62,7,8,15,0.24193548387096775,8,0.12903225806451613
LAC,2,2024,46,2,0,2,0.043478260869565216,1,0.021739130434782608
LV,2,2024,61,3,7,10,0.16393442622950818,2,0.03278688524590164
MIA,2,2024,42,2,3,5,0.11904761904761904,3,0.07142857142857142
MIN,2,2024,67,3,7,10,0.14925373134328357,6,0.08955223880597014
NE,2,2024,64,0,6,6,0.09375,2,0.03125
NO,2,2024,65,0,5,5,0.07692307692307693,2,0.03076923076923077
NYG,2,2024,67,8,6,14,0.208955223880597,6,0.08955223880597014
NYJ,2,2024,60,5,5,10,0.16666666666666666,3,0.05
PHI,2,2024,56,6,5,11,0.19642857142857142,3,0.05357142857142857
PIT,2,2024,56,2,5,7,0.125,4,0.07142857142857142
SEA,2,2024,66,4,2,6,0.09090909090909091,2,0.030303030303030304
SF,2,2024,51,5,6,11,0.21568627450980393,3,0.058823529411764705
TB,2,2024,82,4,8,12,0.14634146341463414,4,0.04878048780487805
TEN,2,2024,55,2,4,6,0.10909090909090909,4,0.07272727272727272
WAS,2,2024,51,4,4,8,0.1568627450980392,4,0.0784313725490196
ARI,3,2024,66,6,5,11,0.16666666666666666,3,0.045454545454545456
ATL,3,2024,69,1,3,4,0.057971014492753624,1,0.014492753623188406
BAL,3,2024,70,0,14,14,0.2,6,0.08571428571428572
BUF,3,2024,68,3,3,6,0.08823529411764706,2,0.029411764705882353
CAR,3,2024,59,1,6,7,0.11864406779661017,3,0.05084745762711865
CHI,3,2024,51,5,3,8,0.1568627450980392,5,0.09803921568627451
CIN,3,2024,55,1,4,5,0.09090909090909091,4,0.07272727272727272
CLE,3,2024,66,2,4,6,0.09090909090909091,4,0.06060606060606061
DAL,3,2024,58,10,3,13,0.22413793103448276,5,0.08620689655172414
DEN,3,2024,56,2,0,2,0.03571428571428571,1,0.017857142857142856
DET,3,2024,53,2,3,5,0.09433962264150944,2,0.03773584905660377
GB,3,2024,53,0,7,7,0.1320754716981132,4,0.07547169811320754
HOU,3,2024,59,1,4,5,0.0847457627118644,4,0.06779661016949153
IND,3,2024,83,0,7,7,0.08433734939759036,3,0.03614457831325301
JAX,3,2024,59,5,7,12,0.2033898305084746,3,0.05084745762711865
KC,3,2024,55,3,5,8,0.14545454545454545,3,0.05454545454545454
LA,3,2024,65,3,6,9,0.13846153846153847,4,0.06153846153846154
