season,week,team,drives,td_drives,fg_drives,punt_drives,to_drives,yds,plays,rz_drives,start_yardline_100_avg,ppd_basic_sum,ppd_true_sum,score_drives,score_rate,td_rate,fg_rate,turnover_rate,punt_rate,yds_per_drive,plays_per_drive,redzone_drive_rate,ppd_basic,ppd_points,side,start_own_yardline_avg,hidden_yards_per_drive
2024,1,TB,13,3,0,3,0,299.0,74,4,57.46,21,,3,0.23,0.23076923076923078,0.0,0.0,0.23076923076923078,23.0,5.69,0.3076923076923077,1.6153846153846154,1.62,def,42.54,-4.64
2024,1,TB,10,4,3,1,0,392.0,82,6,62.1,37,,7,0.7,0.4,0.3,0.0,0.1,39.2,8.2,0.6,3.7,3.7,off,37.9,-4.64
2024,1,TEN,16,0,3,6,0,150.0,76,3,49.44,9,,3,0.19,0.0,0.1875,0.0,0.375,9.38,4.75,0.1875,0.5625,0.56,def,50.56,-19.96
2024,1,TEN,15,4,1,6,3,244.0,83,3,69.4,31,,5,0.33,0.26666666666666666,0.06666666666666667,0.2,0.4,16.27,5.53,0.2,2.066666666666667,2.07,off,30.6,-19.96
2024,1,WAS,10,4,3,1,0,392.0,82,6,62.1,37,,7,0.7,0.4,0.3,0.0,0.1,39.2,8.2,0.6,3.7,3.7,def,37.9,4.64
2024,1,WAS,13,3,0,3,0,299.0,74,4,57.46,21,,3,0.23,0.23076923076923078,0.0,0.0,0.23076923076923078,23.0,5.69,0.3076923076923077,1.6153846153846154,1.62,off,42.54,4.64
2024,2,ARI,12,1,1,4,1,245.0,67,5,57.42,10,,2,0.17,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,20.42,5.58,0.4166666666666667,0.8333333333333334,0.83,def,42.58,-14.36
2024,2,ARI,9,5,2,1,1,489.0,80,6,71.78,41,,7,0.78,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.1111111111111111,54.33,8.89,0.6666666666666666,4.555555555555555,4.56,off,28.22,-14.36
2024,2,ATL,12,2,2,2,1,367.0,86,8,52.33,20,,4,0.33,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.16666666666666666,30.58,7.17,0.6666666666666666,1.6666666666666667,1.67,def,47.67,-3.21
2024,2,ATL,14,2,3,2,0,385.0,74,7,55.54,23,,5,0.36,0.14285714285714285,0.21428571428571427,0.0,0.14285714285714285,27.5,5.29,0.5,1.6428571428571428,1.64,off,44.46,-3.21
2024,2,BAL,14,2,4,3,1,260.0,79,4,54.86,26,,6,0.43,0.14285714285714285,0.2857142857142857,0.07142857142857142,0.21428571428571427,18.57,5.64,0.2857142857142857,1.8571428571428572,1.86,def,45.14,-10.88
2024,2,BAL,16,2,3,4,1,358.0,89,3,65.73,23,,5,0.31,0.125,0.1875,0.0625,0.25,22.38,5.56,0.1875,1.4375,1.44,off,34.27,-10.88
2024,2,BUF,15,2,1,1,3,351.0,89,5,57.33,17,,3,0.2,0.13333333333333333,0.06666666666666667,0.2,0.06666666666666667,23.4,5.93,0.3333333333333333,1.1333333333333333,1.13,def,42.67,5.27
2024,2,BUF,15,3,1,3,0,247.0,61,5,52.07,24,,4,0.27,0.2,0.06666666666666667,0.0,0.2,16.47,4.07,0.3333333333333333,1.6,1.6,off,47.93,5.27
2024,2,CAR,16,3,2,3,3,349.0,81,4,61.5,27,,5,0.31,0.1875,0.125,0.1875,0.1875,21.81,5.06,0.25,1.6875,1.69,def,38.5,-9.83
2024,2,CAR,12,0,1,7,1,159.0,65,1,71.33,3,,1,0.08,0.0,0.08333333333333333,0.08333333333333333,0.5833333333333334,13.25,5.42,0.08333333333333333,0.25,0.25,off,28.67,-9.83
2024,2,CHI,16,1,4,6,1,310.0,83,3,61.38,19,,5,0.31,0.0625,0.25,0.0625,0.375,19.38,5.19,0.1875,1.1875,1.19,def,38.62,-7.03
2024,2,CHI,15,1,2,6,3,205.0,90,1,68.4,13,,3,0.2,0.06666666666666667,0.13333333333333333,0.2,0.4,13.67,6.0,0.06666666666666667,0.8666666666666667,0.87,off,31.6,-7.03
2024,2,CIN,14,2,2,2,3,286.0,79,4,59.31,20,,4,0.29,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.14285714285714285,20.43,5.64,0.2857142857142857,1.4285714285714286,1.43,def,40.69,2.44
2024,2,CIN,15,3,4,2,1,320.0,81,6,56.87,33,,7,0.47,0.2,0.26666666666666666,0.06666666666666667,0.13333333333333333,21.33,5.4,0.4,2.2,2.2,off,43.13,2.44
2024,2,CLE,12,1,2,3,1,323.0,75,6,63.58,13,,3,0.25,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.25,26.92,6.25,0.5,1.0833333333333333,1.08,def,36.42,10.58
2024,2,CLE,17,1,3,5,0,297.0,88,3,53.0,16,,4,0.24,0.058823529411764705,0.17647058823529413,0.0,0.29411764705882354,17.47,5.18,0.17647058823529413,0.9411764705882353,0.94,off,47.0,10.58
2024,2,DAL,13,6,1,1,1,432.0,73,9,50.46,45,,7,0.54,0.46153846153846156,0.07692307692307693,0.07692307692307693,0.07692307692307693,33.23,5.62,0.6923076923076923,3.4615384615384617,3.46,def,49.54,-17.21
