season,week,team,off_3d_att,off_3d_conv,off_3d_rate,off_3d_sr,off_3d_pass_rate,off_3d_avg_togo,off_3d_epa_per_play,def_3d_att_faced,def_3d_allowed_conv,def_3d_allowed_rate,def_3d_sr_allowed,def_3d_pass_rate_faced,def_3d_avg_togo_faced,def_3d_epa_allowed_per_play
2024,1,ARI,13,8,0.6153846153846154,0.6153846153846154,0.8461538461538461,6.6923076923076925,0.8346753808168265,12,3,0.25,0.25,0.5833333333333334,7.583333333333333,-0.006010172267754872
2024,1,ATL,11,3,0.2727272727272727,0.2727272727272727,0.7272727272727273,8.636363636363637,-0.2203417799689553,19,8,0.42105263157894735,0.42105263157894735,0.47368421052631576,7.105263157894737,-0.021606772353774624
2024,1,BAL,16,7,0.4375,0.4375,0.75,6.875,0.22765707573853433,10,4,0.4,0.4,0.9,6.8,0.18935451209545134
2024,1,BUF,12,3,0.25,0.25,0.5833333333333334,7.583333333333333,-0.006010172267754872,13,8,0.6153846153846154,0.6153846153846154,0.8461538461538461,6.6923076923076925,0.8346753808168265
2024,1,CAR,13,2,0.15384615384615385,0.15384615384615385,0.7692307692307693,7.0,-0.899512169452814,14,8,0.5714285714285714,0.5714285714285714,0.2857142857142857,6.142857142857143,0.6707892886229924
2024,1,CHI,15,2,0.13333333333333333,0.13333333333333333,0.8,9.133333333333333,-0.6042614062627156,15,5,0.3333333333333333,0.3333333333333333,0.8666666666666667,8.266666666666667,-1.0346069852511088
2024,1,CIN,13,4,0.3076923076923077,0.3076923076923077,0.6923076923076923,5.461538461538462,-0.44246209172818524,14,6,0.42857142857142855,0.42857142857142855,0.9285714285714286,5.785714285714286,0.05458673222788742
2024,1,CLE,16,2,0.125,0.125,0.75,8.375,-0.49931232864037156,15,4,0.26666666666666666,0.26666666666666666,0.6666666666666666,7.8,-0.37919066548347474
2024,1,DAL,15,4,0.26666666666666666,0.26666666666666666,0.6666666666666666,7.8,-0.37919066548347474,16,2,0.125,0.125,0.75,8.375,-0.49931232864037156
2024,1,DEN,19,5,0.2631578947368421,0.2631578947368421,0.8947368421052632,7.526315789473684,-0.7058777934626529,12,4,0.3333333333333333,0.3333333333333333,0.6666666666666666,8.083333333333334,-0.32139739766716957
2024,1,DET,13,6,0.46153846153846156,0.46153846153846156,0.6923076923076923,3.5384615384615383,-0.018944822824918307,14,6,0.42857142857142855,0.42857142857142855,0.6428571428571429,8.785714285714286,0.16519490682653018
2024,1,GB,14,5,0.35714285714285715,0.35714285714285715,0.7142857142857143,7.5,0.49411886140504585,13,5,0.38461538461538464,0.38461538461538464,0.6153846153846154,6.0,-0.7861425733337035
2024,1,HOU,18,8,0.4444444444444444,0.4444444444444444,0.6666666666666666,6.666666666666667,0.30034124188952976,11,5,0.45454545454545453,0.45454545454545453,0.45454545454545453,5.545454545454546,-0.048480600118637085
2024,1,IND,11,5,0.45454545454545453,0.45454545454545453,0.45454545454545453,5.545454545454546,-0.048480600118637085,18,8,0.4444444444444444,0.4444444444444444,0.6666666666666666,6.666666666666667,0.30034124188952976
2024,1,JAX,12,2,0.16666666666666666,0.16666666666666666,0.75,8.583333333333334,-0.2634177853663762,18,8,0.4444444444444444,0.4444444444444444,0.6111111111111112,6.833333333333333,0.20142358210351732
2024,1,KC,10,4,0.4,0.4,0.9,6.8,0.18935451209545134,16,7,0.4375,0.4375,0.75,6.875,0.22765707573853433
2024,1,LA,14,6,0.42857142857142855,0.42857142857142855,0.6428571428571429,8.785714285714286,0.16519490682653018,13,6,0.46153846153846156,0.46153846153846156,0.6923076923076923,3.5384615384615383,-0.018944822824918307
2024,1,LAC,15,4,0.26666666666666666,0.26666666666666666,0.8,7.133333333333334,-0.19776534686485928,15,5,0.3333333333333333,0.3333333333333333,0.8666666666666667,6.266666666666667,-0.224258158604304
2024,1,LV,15,5,0.3333333333333333,0.3333333333333333,0.8666666666666667,6.266666666666667,-0.224258158604304,15,4,0.26666666666666666,0.26666666666666666,0.8,7.133333333333334,-0.19776534686485928
2024,1,MIA,18,8,0.4444444444444444,0.4444444444444444,0.6111111111111112,6.833333333333333,0.20142358210351732,12,2,0.16666666666666666,0.16666666666666666,0.75,8.583333333333334,-0.2634177853663762
2024,1,MIN,11,5,0.45454545454545453,0.45454545454545453,0.6363636363636364,6.7272727272727275,0.1665945513681932,20,8,0.4,0.4,0.8,8.5,0.11931958626955748
2024,1,NE,14,6,0.42857142857142855,0.42857142857142855,0.9285714285714286,5.785714285714286,0.05458673222788742,13,4,0.3076923076923077,0.3076923076923077,0.6923076923076923,5.461538461538462,-0.44246209172818524
2024,1,NO,14,8,0.5714285714285714,0.5714285714285714,0.2857142857142857,6.142857142857143,0.6707892886229924,13,2,0.15384615384615385,0.15384615384615385,0.7692307692307693,7.0,-0.899512169452814
2024,1,NYG,20,8,0.4,0.4,0.8,8.5,0.11931958626955748,11,5,0.45454545454545453,0.45454545454545453,0.6363636363636364,6.7272727272727275,0.1665945513681932
2024,1,NYJ,10,6,0.6,0.6,0.8,4.7,0.6019911170005798,14,7,0.5,0.5,0.8571428571428571,4.785714285714286,-0.043221472629479
2024,1,PHI,13,5,0.38461538461538464,0.38461538461538464,0.6153846153846154,6.0,-0.7861425733337035,14,5,0.35714285714285715,0.35714285714285715,0.7142857142857143,7.5,0.49411886140504585
2024,1,PIT,19,8,0.42105263157894735,0.42105263157894735,0.47368421052631576,7.105263157894737,-0.021606772353774624,11,3,0.2727272727272727,0.2727272727272727,0.7272727272727273,8.636363636363637,-0.2203417799689553
