team,st_plays,st_epa,st_epa_per_play,ko_tb_rate,ko_opp_start_yd100,punt_opp_start_yd100,ret_epa,ret_epa_against,ret_epa_diff,fg_pct,fg_epa_per_att,xp_pct,xp_epa_per_att,st_pen_rate,st_score,punt_net
ARI,218,23.990148018132786,0.11004655054189351,0.6741573033707865,71.32584269662921,67.03703703703704,0.0,0.0,0.0,0.0,0.7141613078146422,0.0,0.13044639436520153,0.03211009174311927,49.44363313432444,0.0
ATL,220,-12.725467178143314,-0.05784303262792415,0.6702127659574468,70.26595744680851,63.191489361702125,0.0,0.0,0.0,0.0,-0.35075455441652187,0.0,-0.5669374613834941,0.022727272727272728,46.890740593278274,0.0
BAL,231,5.87901507036813,0.025450281689905326,0.5595238095238095,70.48809523809524,64.67272727272727,0.0,0.0,0.0,0.0,-0.026823704019354952,0.0,-0.18523543641105866,0.04329004329004329,48.41382481832615,0.0
BUF,227,10.94509857715787,0.04821629329144436,0.6582278481012658,71.18987341772151,62.29090909090909,0.0,0.0,0.0,0.0,0.5147323591683148,0.0,0.15276547804149793,0.03524229074889868,51.88584168412303,0.0
CAR,247,16.00202945268172,0.06478554434284098,0.5892857142857143,71.07142857142857,68.02702702702703,0.0,0.0,0.0,0.0,0.3230726363085804,0.0,0.44320981361871115,0.0728744939271255,45.02132904703122,0.0
CHI,223,23.531611762914206,0.10552292270365114,0.6555555555555556,71.24444444444444,64.34146341463415,0.0,0.0,0.0,0.0,0.8369880013712353,0.0,0.6166838472434444,0.06278026905829596,51.760550837260375,0.0
CIN,227,22.17713402414925,0.09769662565704515,0.5454545454545454,73.06136363636364,64.52830188679245,0.0,0.0,0.0,0.0,0.9955578807612874,0.0,0.8748793060809371,0.013215859030837005,49.40072874818271,0.0
CLE,228,2.1279067648358927,0.009332924407174968,0.5384615384615384,71.42857142857143,66.06741573033707,0.0,0.0,0.0,0.0,-0.07989162199772858,0.0,0.4071954425592259,0.05263157894736842,43.98908129403763,0.0
DAL,239,58.05228378286065,0.24289658486552573,0.64,71.89111111111112,67.79032258064517,0.0,0.0,0.0,0.0,0.9615420785755814,0.0,1.7646782447044913,0.08786610878661087,52.15228679853503,0.0
DEN,232,44.588172280737496,0.19219039776179955,0.7733333333333333,69.85333333333334,64.42857142857143,0.0,0.0,0.0,0.0,1.048886108719307,0.0,1.222861715241197,0.03879310344827586,59.15725717986199,0.0
DET,222,46.43406700699569,0.20916246399547608,0.7777777777777778,70.59506172839507,67.0,0.0,0.0,0.0,0.0,1.9583124682087554,0.0,0.7150628140205118,0.04054054054054054,57.1165766654572,0.0
GB,215,21.830817498922638,0.10153868604150064,0.68,70.65333333333334,63.67857142857143,0.0,0.0,0.0,0.0,0.8312118229971048,0.0,0.28221082862788244,0.05116279069767442,53.78273980054256,0.0
HOU,238,44.863827044480836,0.18850347497681022,0.6987951807228916,71.0421686746988,65.68831168831169,0.0,0.0,0.0,0.0,0.7913837308786333,0.0,1.6068948845514455,0.06722689075630252,54.054281985368895,0.0
IND,235,10.658431351235855,0.04535502702653555,0.7659574468085106,70.68085106382979,70.02941176470588,0.0,0.0,0.0,0.0,0.18124794120447418,0.0,0.26358476015561927,0.03829787234042553,43.419931375348796,0.0
JAX,220,45.338143713459985,0.20608247142481811,0.6979166666666666,71.11458333333333,65.47058823529412,0.0,0.0,0.0,0.0,1.5147251876556587,0.0,1.5812318534610545,0.045454545454545456,56.79070075794708,0.0
KC,214,20.794033104821697,0.09716837899449392,0.5789473684210527,71.55263157894737,65.08064516129032,0.0,0.0,0.0,0.0,0.516779106840356,0.0,0.6519210355498735,0.06074766355140187,49.48277863466557,0.0
LA,220,6.590265493392495,0.02995575224269316,0.6436781609195402,70.36781609195403,62.095238095238095,0.0,0.0,0.0,0.0,-0.18827894082772095,0.0,0.5026424375142192,0.04090909090909091,51.5131502809518,0.0
LAC,224,22.125915893164674,0.0987764102373423,0.6621621621621622,70.67567567567568,66.80555555555556,0.0,0.0,0.0,0.0,0.2961518978122753,0.0,0.34030100117285195,0.044642857142857144,49.382911610804925,0.0
LV,231,8.88301423031523,0.038454607057641685,0.7474747474747475,70.83838383838383,66.19402985074628,0.0,0.0,0.0,0.0,0.3397975559337207,0.0,-0.0040322435761870725,0.05627705627705628,46.87093750945281,0.0
MIA,209,33.40011688328017,0.15980917169033573,0.6506024096385542,71.72289156626506,65.54385964912281,0.0,0.0,0.0,0.0,0.9401918001282358,0.0,1.0198682815546662,0.05741626794258373,52.19318559349808,0.0
MIN,218,13.610859142361832,0.06243513368055886,0.726027397260274,70.27397260273973,62.8421052631579,0.0,0.0,0.0,0.0,0.1936915954831983,0.0,0.43245391951678974,0.04128440366972477,52.92214601320344,0.0
NE,222,18.809325818337555,0.08472669287539439,0.7096774193548387,71.83064516129032,64.97142857142858,0.0,0.0,0.0,0.0,0.10604219497904652,0.0,0.8504248892407116,0.03153153153153153,48.64821086569212,0.0
NO,231,2.2779279978324,0.009861160163776623,0.5978260869565217,71.45833333333334,62.10666666666667,0.0,0.0,0.0,0.0,-0.026514596760420457,0.0,0.10461545252641656,0.03896103896103896,48.86515144138847,0.0
NYG,220,15.73025438445733,0.07150115629298787,0.5869565217391305,71.32608695652173,64.27272727272727,0.0,0.0,0.0,0.0,0.4243355699057738,0.0,0.07983426360535417,0.05,49.84791363395483,0.0
NYJ,214,7.288975021492082,0.03406063094155178,0.6739130434782609,71.93486024844721,67.07936507936508,0.0,0.0,0.0,0.0,-0.12512483458705748,0.0,-0.07382312280409697,0.056074766355140186,42.7870980142822,0.0
