season,week,team,drives,td_drives,fg_drives,punt_drives,to_drives,yds,plays,rz_drives,start_yardline_100_avg,ppd_basic_sum,ppd_true_sum,score_drives,score_rate,td_rate,fg_rate,turnover_rate,punt_rate,yds_per_drive,plays_per_drive,redzone_drive_rate,ppd_basic,ppd_points,side,start_own_yardline_avg,hidden_yards_per_drive,avg_start_yardline_100_off,turnover_drives
2025,1,GB,9,3,2,3,0,266.0,53,5,62.22,27,,5,0.56,0.3333333333333333,0.2222222222222222,0.0,0.3333333333333333,29.56,5.89,0.5555555555555556,3.0,3.0,off,37.78,16.28,62.22,0.0
2025,1,HOU,9,2,0,5,1,296.0,68,3,71.33,14,,2,0.22,0.2222222222222222,0.0,0.1111111111111111,0.5555555555555556,32.89,7.56,0.3333333333333333,1.5555555555555556,1.56,def,28.67,-7.56,71.33,1.0
2025,1,HOU,9,0,3,4,2,265.0,73,1,78.89,9,,3,0.33,0.0,0.3333333333333333,0.2222222222222222,0.4444444444444444,29.44,8.11,0.1111111111111111,1.0,1.0,off,21.11,-7.56,78.89,2.0
2025,1,IND,7,1,0,1,3,211.0,48,1,66.71,7,,1,0.14,0.1428571428571428,0.0,0.4285714285714285,0.1428571428571428,30.14,6.86,0.1428571428571428,1.0,1.0,def,33.29,1.0,66.71,2.9999999999999996
2025,1,IND,7,3,4,0,0,418.0,78,6,65.71,33,,7,1.0,0.4285714285714285,0.5714285714285714,0.0,0.0,59.71,11.14,0.8571428571428571,4.714285714285714,4.71,off,34.29,1.0,65.71,0.0
2025,1,JAX,9,1,1,2,4,255.0,68,1,69.89,10,,2,0.22,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.2222222222222222,28.33,7.56,0.1111111111111111,1.1111111111111112,1.11,def,30.11,1.19,69.89,4.0
2025,1,JAX,10,2,4,2,1,378.0,74,5,68.7,26,,6,0.6,0.2,0.4,0.1,0.2,37.8,7.4,0.5,2.6,2.6,off,31.3,1.19,68.7,1.0
2025,1,KC,8,3,2,2,0,394.0,71,4,76.25,27,,5,0.62,0.375,0.25,0.0,0.25,49.25,8.88,0.5,3.375,3.38,def,23.75,7.12,76.25,0.0
2025,1,KC,8,2,3,3,0,347.0,70,3,69.12,23,,5,0.62,0.25,0.375,0.0,0.375,43.38,8.75,0.375,2.875,2.88,off,30.88,7.12,69.12,0.0
2025,1,LA,9,0,3,4,2,265.0,73,1,78.89,9,,3,0.33,0.0,0.3333333333333333,0.2222222222222222,0.4444444444444444,29.44,8.11,0.1111111111111111,1.0,1.0,def,21.11,7.56,78.89,2.0
2025,1,LA,9,2,0,5,1,296.0,68,3,71.33,14,,2,0.22,0.2222222222222222,0.0,0.1111111111111111,0.5555555555555556,32.89,7.56,0.3333333333333333,1.5555555555555556,1.56,off,28.67,7.56,71.33,1.0
2025,1,LAC,8,2,3,3,0,347.0,70,3,69.12,23,,5,0.62,0.25,0.375,0.0,0.375,43.38,8.75,0.375,2.875,2.88,def,30.88,-7.12,69.12,0.0
2025,1,LAC,8,3,2,2,0,394.0,71,4,76.25,27,,5,0.62,0.375,0.25,0.0,0.25,49.25,8.88,0.5,3.375,3.38,off,23.75,-7.12,76.25,0.0
2025,1,LV,11,1,2,6,1,336.0,84,3,72.73,13,,3,0.27,0.0909090909090909,0.1818181818181818,0.0909090909090909,0.5454545454545454,30.55,7.64,0.2727272727272727,1.181818181818182,1.18,def,27.27,-0.44,72.73,0.9999999999999999
2025,1,LV,12,2,2,5,1,389.0,73,1,73.17,20,,4,0.33,0.1666666666666666,0.1666666666666666,0.0833333333333333,0.4166666666666667,32.42,6.08,0.0833333333333333,1.6666666666666667,1.67,off,26.83,-0.44,73.17,0.9999999999999996
