season,week,team,opp,rz_trips,rz_td,rz_fg,rz_empty,rz_efficiency,rz_trips_allowed,rz_td_allowed,rz_fg_allowed,rz_empty_allowed,rz_efficiency_allowed
2025,1,ARI,NO,3,2,0,1,0.6667,5,1,0,4,0.2
2025,1,ATL,TB,2,1,0,1,0.5,1,1,0,0,1.0
2025,1,BAL,BUF,3,1,0,2,0.3333,7,5,0,2,0.7143
2025,1,BUF,BAL,7,5,0,2,0.7143,3,1,0,2,0.3333
2025,1,CAR,JAX,1,0,0,1,0.0,5,2,0,3,0.4
2025,1,CHI,MIN,2,2,0,0,1.0,3,2,0,1,0.6667
2025,1,CIN,CLE,3,2,0,1,0.6667,3,2,0,1,0.6667
2025,1,CLE,CIN,3,2,0,1,0.6667,3,2,0,1,0.6667
2025,1,DAL,PHI,3,2,0,1,0.6667,3,3,0,0,1.0
2025,1,DEN,TEN,3,1,0,2,0.3333,2,0,0,2,0.0
2025,1,DET,GB,4,1,0,3,0.25,5,3,0,2,0.6
2025,1,GB,DET,5,3,0,2,0.6,4,1,0,3,0.25
2025,1,HOU,LA,1,0,0,1,0.0,3,2,0,1,0.6667
2025,1,IND,MIA,6,3,0,3,0.5,1,1,0,0,1.0
2025,1,JAX,CAR,5,2,0,3,0.4,1,0,0,1,0.0
2025,1,KC,LAC,3,1,0,2,0.3333,4,2,0,2,0.5
2025,1,LA,HOU,3,2,0,1,0.6667,1,0,0,1,0.0
2025,1,LAC,KC,4,2,0,2,0.5,3,1,0,2,0.3333
2025,1,LV,NE,1,1,0,0,1.0,3,1,0,2,0.3333
2025,1,MIA,IND,1,1,0,0,1.0,6,3,0,3,0.5
2025,1,MIN,CHI,3,2,0,1,0.6667,2,2,0,0,1.0
2025,1,NE,LV,3,1,0,2,0.3333,1,1,0,0,1.0
2025,1,NO,ARI,5,1,0,4,0.2,3,2,0,1,0.6667
2025,1,NYG,WAS,2,0,0,2,0.0,4,3,0,1,0.75
2025,1,NYJ,PIT,4,3,0,1,0.75,2,2,0,0,1.0
2025,1,PHI,DAL,3,3,0,0,1.0,3,2,0,1,0.6667
2025,1,PIT,NYJ,2,2,0,0,1.0,4,3,0,1,0.75
2025,1,SEA,SF,3,1,0,2,0.3333,5,2,0,3,0.4
2025,1,SF,SEA,5,2,0,3,0.4,3,1,0,2,0.3333
2025,1,TB,ATL,1,1,0,0,1.0,2,1,0,1,0.5
2025,1,TEN,DEN,2,0,0,2,0.0,3,1,0,2,0.3333
2025,1,WAS,NYG,4,3,0,1,0.75,2,0,0,2,0.0
2025,2,ARI,CAR,4,2,0,2,0.5,4,3,0,1,0.75
2025,2,ATL,MIN,5,1,0,4,0.2,1,0,0,1,0.0
2025,2,BAL,CLE,4,3,0,1,0.75,3,2,0,1,0.6667
2025,2,BUF,NYJ,4,2,0,2,0.5,1,1,0,0,1.0
2025,2,CAR,ARI,4,3,0,1,0.75,4,2,0,2,0.5
2025,2,CHI,DET,2,2,0,0,1.0,7,6,0,1,0.8571
2025,2,CIN,JAX,4,3,0,1,0.75,6,3,0,3,0.5
2025,2,CLE,BAL,3,2,0,1,0.6667,4,3,0,1,0.75
2025,2,DAL,NYG,3,3,0,0,1.0,5,1,0,4,0.2
2025,2,DEN,IND,3,3,0,0,1.0,6,2,0,4,0.3333
2025,2,DET,CHI,7,6,0,1,0.8571,2,2,0,0,1.0
2025,2,GB,WAS,4,3,0,1,0.75,2,2,0,0,1.0
2025,2,HOU,TB,2,0,0,2,0.0,4,3,0,1,0.75
2025,2,IND,DEN,6,2,0,4,0.3333,3,3,0,0,1.0
2025,2,JAX,CIN,6,3,0,3,0.5,4,3,0,1,0.75
2025,2,KC,PHI,2,1,0,1,0.5,2,2,0,0,1.0
2025,2,LA,TEN,6,3,0,3,0.5,3,1,0,2,0.3333
2025,2,LAC,LV,4,1,0,3,0.25,3,0,0,3,0.0
2025,2,LV,LAC,3,0,0,3,0.0,4,1,0,3,0.25
2025,2,MIA,NE,2,1,0,1,0.5,4,3,0,1,0.75
2025,2,MIN,ATL,1,0,0,1,0.0,5,1,0,4,0.2
2025,2,NE,MIA,4,3,0,1,0.75,2,1,0,1,0.5
2025,2,NO,SF,3,3,0,0,1.0,2,2,0,0,1.0
2025,2,NYG,DAL,5,1,0,4,0.2,3,3,0,0,1.0
2025,2,NYJ,BUF,1,1,0,0,1.0,4,2,0,2,0.5
2025,2,PHI,KC,2,2,0,0,1.0,2,1,0,1,0.5
2025,2,PIT,SEA,2,1,0,1,0.5,3,2,0,1,0.6667
2025,2,SEA,PIT,3,2,0,1,0.6667,2,1,0,1,0.5
2025,2,SF,NO,2,2,0,0,1.0,3,3,0,0,1.0
2025,2,TB,HOU,4,3,0,1,0.75,2,0,0,2,0.0
2025,2,TEN,LA,3,1,0,2,0.3333,6,3,0,3,0.5
2025,2,WAS,GB,2,2,0,0,1.0,4,3,0,1,0.75
2025,3,BUF,MIA,5,4,0,1,0.8,3,3,0,0,1.0
2025,3,MIA,BUF,3,3,0,0,1.0,5,4,0,1,0.8
