season,team,side,drives,score_rate,td_rate,fg_rate,turnover_rate,punt_rate,ppd_basic,ppd_points,yds_per_drive,plays_per_drive,redzone_drive_rate,start_yardline_100_avg
2024,ARI,def,217,0.3352040116745999,0.16723472605825548,0.16796928561634442,0.08809229985700574,0.23267027090556502,1.6745509392568216,1.6745509392568216,27.34363185833774,6.433560557089969,0.3646970676382441,63.20487845487846
2024,ARI,off,213,0.37016121133768193,0.2133546192369722,0.15680659210070974,0.10463719287248699,0.2542650160297219,1.9639021109609345,1.9639021109609345,29.393082081317374,6.557419051536699,0.38344955697896876,63.827546309899255
2024,ATL,def,229,0.3470898190621374,0.21276762453233042,0.13432219452980698,0.08409825468648999,0.23293453950893397,1.8923399553157338,1.8923399553157338,25.9628196486328,6.18367618540629,0.39420251029247566,60.124951288619116
2024,ATL,off,227,0.3124738007090948,0.18334655540537895,0.1291272453037159,0.11613043818926172,0.21418238624120978,1.6708076237488,1.6708076237488,27.911746097040215,6.377123856535621,0.36847050008814713,62.281937670172965
2024,BAL,def,257,0.2968020399114582,0.17949938642459418,0.11730265348686401,0.07777713975774918,0.29990244827502444,1.6084036654327514,1.6084036654327514,23.98023164124272,6.258317275214782,0.3318660448508094,63.06103983735562
2024,BAL,off,261,0.37466350728734626,0.2778460703383304,0.0968174369490159,0.06104071367229263,0.22713997818486983,2.2353748032153606,2.2353748032153606,31.753372002094913,6.09247368988081,0.41888633812008425,63.89716283458543
2024,BUF,def,257,0.30383201228595963,0.213910344041923,0.08992166824403666,0.1472484642550432,0.2150922104211578,1.767137413025571,1.767137413025571,26.965254635715162,6.2824945668366725,0.37296175315912156,63.092348554223555
2024,BUF,off,274,0.3898477462080403,0.276844597396068,0.11300314881197233,0.028277625152625153,0.22763030678471857,2.2769216282083926,2.2769216282083926,26.908424936991118,6.082223177149648,0.4593180389871566,57.566914678458794
2024,CAR,def,250,0.39637927432045084,0.2458637767461297,0.1505154975743211,0.06603641456582633,0.18945515269044683,2.1725929299458713,2.1725929299458713,28.42719372131137,6.118705885617651,0.4388177998472116,60.49708608385078
2024,CAR,off,230,0.28110416415369976,0.18652422139264246,0.0945799427610573,0.10813241196368131,0.32482358972297054,1.5894093780316692,1.5894093780316692,22.334445134329037,6.006461379178098,0.29620445344129553,65.17072510822511
2024,CHI,def,235,0.33766063657704526,0.18034201350764817,0.15731862306939706,0.12254343953260362,0.2599662721179749,1.7343499637617283,1.7343499637617283,26.83678210334557,5.8679826623325075,0.365116861982187,63.42683155337954
2024,CHI,off,234,0.23161355657030397,0.1435355158106023,0.08807804075970166,0.07123967439711384,0.35625834661301786,1.2689827329533212,1.2689827329533212,21.07143990669077,6.198540905461321,0.2513614557299678,63.35088318544201
2024,CIN,def,238,0.3132033815857345,0.222371909136615,0.0908314724491195,0.10661936103112574,0.24594164005928712,1.8290977813036637,1.8290977813036637,25.09407357348534,6.071205510176099,0.36695885813532875,61.50347879244937
2024,CIN,off,265,0.3183196573858566,0.21890525877732217,0.09941439860853446,0.10356765950009439,0.20507715867167697,1.8305800072668585,1.8305800072668585,24.259348781189065,5.563154075633587,0.3944902986994591,57.23247162800978
2024,CLE,def,264,0.2852242202747575,0.19742124086278157,0.08780297941197596,0.06147807023102962,0.31617425806553473,1.6453576242753989,1.6453576242753989,22.69905312645023,5.310421888053467,0.33020530709703905,62.035444382960776
2024,CLE,off,249,0.19769003583882475,0.11903569325714652,0.07865434258167822,0.14077265007195802,0.36063135730090745,1.0692128805450605,1.0692128805450605,20.88090620452212,6.045081033921865,0.26013445416559605,64.3137350250672
2024,DAL,def,247,0.34245672147921286,0.220892534992881,0.12156418648633181,0.10296966105789636,0.2639788364269333,1.9109403044091626,1.9109403044091626,24.68090216204403,5.797913951676927,0.3607450075875681,61.72480860642625
2024,DAL,off,234,0.3120264539382186,0.141903521315286,0.1701229326229326,0.13821717498188085,0.2659348821113527,1.5036934470758,1.5036934470758,24.44455870926459,6.485830346124464,0.3051202882085235,65.25515856692327
2024,DEN,def,269,0.2690365040016743,0.14877309485797618,0.1202634091436981,0.08922762394124623,0.30525564548397366,1.4022018914369276,1.4022018914369276,22.114666572916057,5.823245154637053,0.32750476003184986,63.393612726855764
2024,DEN,off,258,0.29702633060476197,0.17316208210816056,0.12386424849660144,0.08484638545913055,0.3129509379509379,1.5837273202469282,1.5837273202469282,23.469934014786954,5.778630778263131,0.34351509510823236,60.50224450114157
