team,week,side,epa_avg_h1,epa_avg_h2,plays_h1,plays_h2,success_rate_h1,success_rate_h2,adj_epa,adj_sr
ARI,1,def,-0.19894741,0.16742289,23,44,0.43478260869565216,0.6363636363636364,0.36637032,0.2015810276679842
ARI,1,off,0.2396361,-0.1718971,32,29,0.53125,0.27586206896551724,-0.41153318,-0.25538793103448276
ARI,2,def,0.45731702,-0.27655214,28,48,0.7142857142857143,0.4166666666666667,-0.7338692,-0.2976190476190476
ARI,2,off,0.10872652,0.14964963,26,21,0.34615384615384615,0.5714285714285714,0.04092312,0.22527472527472525
ATL,1,def,0.0017282002,-0.24316739,29,26,0.6551724137931034,0.6153846153846154,-0.24489559,-0.039787798408488007
ATL,1,off,-0.105395555,0.18268882,31,39,0.3870967741935484,0.48717948717948717,0.2880844,0.1000827129859388
ATL,2,def,0.29857662,0.6861217,28,18,0.5714285714285714,0.6111111111111112,0.38754508,0.039682539682539764
ATL,2,off,-0.14060596,0.05778417,27,35,0.4074074074074074,0.45714285714285713,0.19839013,0.049735449735449744
BAL,1,def,-0.09702624,-0.38968635,27,47,0.5185185185185185,0.46808510638297873,-0.29266012,-0.05043341213553976
BAL,1,off,0.43862626,0.31833637,28,22,0.6071428571428571,0.36363636363636365,-0.12028989,-0.24350649350649345
BAL,2,def,0.29598382,0.23338784,34,38,0.7941176470588235,0.47368421052631576,-0.06259598,-0.3204334365325077
BAL,2,off,-0.22671273,0.53768206,27,23,0.3333333333333333,0.4782608695652174,0.76439476,0.1449275362318841
BUF,1,def,-0.43862626,-0.31833637,28,22,0.39285714285714285,0.6363636363636364,0.12028989,0.2435064935064935
BUF,1,off,0.09702624,0.38968635,27,47,0.48148148148148145,0.5319148936170213,0.29266012,0.05043341213553981
BUF,2,def,0.59070486,0.012253364,23,24,0.6956521739130435,0.625,-0.5784515,-0.07065217391304346
BUF,2,off,0.22399853,0.16544905,37,30,0.43243243243243246,0.5,-0.05854948,0.06756756756756754
BUF,3,def,-0.1906152,0.1089149,32,27,0.59375,0.5925925925925926,0.2995301,-0.0011574074074074403
BUF,3,off,0.42931733,0.14976026,26,31,0.6538461538461539,0.45161290322580644,-0.27955705,-0.20223325062034742
CAR,1,def,-0.42341766,0.13718854,31,29,0.3548387096774194,0.6896551724137931,0.5606062,0.3348164627363738
CAR,1,off,-0.21275297,-0.29455313,28,32,0.35714285714285715,0.34375,-0.08180016,-0.01339285714285715
CAR,2,def,-0.10872652,-0.14964963,26,21,0.6538461538461539,0.42857142857142855,-0.04092312,-0.2252747252747253
CAR,2,off,-0.45731702,0.27655214,28,48,0.2857142857142857,0.5833333333333334,0.7338692,0.29761904761904767
CHI,1,def,0.33262524,0.09357739,19,30,0.6842105263157895,0.5333333333333333,-0.23904786,-0.15087719298245617
CHI,1,off,0.016405342,-0.15644412,31,32,0.41935483870967744,0.34375,-0.17284946,-0.07560483870967744
CHI,2,def,-0.3293385,-0.5314603,35,23,0.37142857142857144,0.5652173913043478,-0.2021218,0.19378881987577634
CHI,2,off,-0.07571676,-0.25620902,32,32,0.4375,0.28125,-0.18049225,-0.15625
CIN,1,def,-0.08070206,0.14227885,29,42,0.6206896551724138,0.5952380952380952,0.22298092,-0.02545155993431858
CIN,1,off,0.2634996,-0.6053585,28,21,0.5714285714285714,0.19047619047619047,-0.8688581,-0.38095238095238093
CIN,2,def,-0.18550375,0.005072647,36,34,0.5,0.5,0.1905764,0.0
CIN,2,off,-0.06840395,0.04532367,30,35,0.36666666666666664,0.4857142857142857,0.11372762,0.11904761904761907
CLE,1,def,-0.2634996,0.6053585,28,21,0.42857142857142855,0.8095238095238095,0.8688581,0.380952380952381
CLE,1,off,0.08070206,-0.14227885,29,42,0.3793103448275862,0.40476190476190477,-0.22298092,0.02545155993431858
CLE,2,def,0.22671273,-0.53768206,27,23,0.6666666666666666,0.5217391304347826,-0.76439476,-0.14492753623188404
CLE,2,off,-0.29598382,-0.23338784,34,38,0.20588235294117646,0.5263157894736842,0.06259598,0.3204334365325077
DAL,1,def,-0.55475223,0.24744853,30,29,0.36666666666666664,0.6206896551724138,0.8022008,0.25402298850574717
DAL,1,off,0.40446332,-0.37650537,29,26,0.5862068965517241,0.3076923076923077,-0.78096867,-0.2785145888594164
DAL,2,def,-0.21301071,-0.4723689,33,26,0.5757575757575758,0.46153846153846156,-0.25935817,-0.11421911421911424
DAL,2,off,0.018955953,0.29115707,29,42,0.3793103448275862,0.5,0.27220112,0.12068965517241381
DEN,1,def,0.2558676,0.5704412,28,27,0.6785714285714286,0.8518518518518519,0.3145736,0.17328042328042326
DEN,1,off,-0.1887446,-0.11458782,31,38,0.3870967741935484,0.39473684210526316,0.07415678,0.007640067911714787
DEN,2,def,-0.2621895,-0.027553845,35,32,0.45714285714285713,0.5625,0.23463567,0.10535714285714287
DEN,2,off,0.27548712,0.094768286,29,25,0.41379310344827586,0.52,-0.18071884,0.10620689655172416
DET,1,def,-0.48818612,0.08893036,23,23,0.5652173913043478,0.5652173913043478,0.5771165,0.0
DET,1,off,-0.011344402,-0.11012431,31,33,0.4838709677419355,0.36363636363636365,-0.09877991,-0.12023460410557185
DET,2,def,0.07571676,0.25620902,32,32,0.5625,0.71875,0.18049225,0.15625
DET,2,off,0.3293385,0.5314603,35,23,0.6285714285714286,0.43478260869565216,0.2021218,-0.1937888198757764
GB,1,def,0.011344402,0.11012431,31,33,0.5161290322580645,0.6363636363636364,0.09877991,0.12023460410557185
GB,1,off,0.48818612,-0.08893036,23,23,0.43478260869565216,0.43478260869565216,-0.5771165,0.0
GB,2,def,0.28214213,0.11664583,25,39,0.72,0.5897435897435898,-0.1654963,-0.13025641025641022
GB,2,off,0.30742142,-0.023328276,34,27,0.5882352941176471,0.4074074074074074,-0.3307497,-0.1808278867102397
HOU,1,def,0.04037465,0.03647927,27,28,0.6666666666666666,0.5,-0.0038953833,-0.16666666666666663
HOU,1,off,-0.05581395,-0.2236964,31,26,0.3225806451612903,0.4230769230769231,-0.16788244,0.10049627791563276
HOU,2,def,-0.31304452,-0.018949652,32,40,0.40625,0.525,0.29409486,0.11875000000000002
