season,week,team,plays_off,off_epa_per_play,off_median_epa,success_rate_off,explosive_plays_off,explosive_rate_off,total_yards_off,early_down_epa_off,late_down_epa_off,third_down_sr_off,fourth_down_sr_off,red_zone_epa_off,pass_epa_per_play_off,rush_epa_per_play_off,turnover_epa_off,avg_start_yardline_100_off,plays_def,def_epa_per_play_allowed,def_median_epa_allowed,success_rate_allowed,explosive_plays_allowed,explosive_rate_allowed,yards_allowed,early_down_epa_allowed,late_down_epa_allowed,third_down_sr_allowed,fourth_down_sr_allowed,red_zone_epa_allowed,pass_epa_per_play_allowed,rush_epa_per_play_allowed,turnover_epa_forced,avg_start_yardline_100_faced,net_epa,net_early_down_epa,net_late_down_epa,net_third_down_sr,net_fourth_down_sr,net_explosive_rate,net_red_zone_epa,pass_rush_delta_off,field_pos_advantage,turnover_epa_net,net_epa_roll3,net_epa_delta3,off_epa_per_play_roll3,off_epa_per_play_delta3,def_epa_per_play_allowed_roll3,def_epa_per_play_allowed_delta3,momentum_3w
2024,1,ARI,76,0.14116283,-0.058564432,0.4473684210526316,6,0.0789473684210526,272.0,-0.13158172,0.4460623,0.6153846153846154,0.6,0.0995860919356346,-0.033852838,0.19172885,-4.9271364,41.7027,81,0.19135743,0.140261,0.6049382716049383,7,0.0864197530864197,352.0,0.124225534,0.25627822,0.3333333333333333,0.8333333333333334,-0.0406212992966175,0.3664439,0.10599121,6.0446496,38.3,-0.050194600000000006,-0.25580725400000004,0.18978408000000002,0.2820512820512821,-0.2333333333333334,-0.007472384665367107,0.1402073912322521,-0.225581688,-3.402700000000003,-10.971786,-0.050194600000000006,,0.14116283,,0.19135743,,0.0
2024,2,ARI,80,0.3216523,0.10788299,0.5875,15,0.1875,489.0,0.27874058,0.61661136,0.5833333333333334,1.0,-0.0063062668778002,0.82277673,0.08505891,-5.8442874,46.26923,67,-0.14423652,0.13689966,0.5223880597014925,5,0.0746268656716417,245.0,0.04680973,-0.7878315,0.2727272727272727,0.5,-0.2999606430530548,-0.3487373,-0.12592977,5.09752,45.31818,0.46588882,0.23193085000000002,1.40444286,0.31060606060606066,0.5,0.1128731343283583,0.2936543761752546,0.73771782,-0.9510500000000022,-10.9418074,0.20784711,,0.23140756499999998,,0.023560454999999994,,0.0
2024,3,ARI,72,-0.1360781,-0.12959501,0.4722222222222222,5,0.0694444444444444,277.0,0.028018868,-0.6404552,0.3636363636363636,0.25,0.4713514149188995,-0.16091157,-0.38908774,-4.550126,57.23611,86,-0.00733519,0.06857135,0.5232558139534884,11,0.127906976744186,373.0,0.04841407,-0.17361476,0.4285714285714285,0.5,0.3284419178962707,0.2347661,-0.107554436,4.8993754,49.33735,-0.12874291000000002,-0.020395201999999998,-0.46684044,-0.0649350649350649,-0.25,-0.05846253229974159,0.14290949702262878,0.22817617,-7.898759999999996,-9.449501399999999,0.09565043666666666,,0.10891234333333333,,0.013261906666666663,,0.0
2024,4,ARI,73,-0.06049417,0.022365142,0.5068493150684932,9,0.1232876712328767,296.0,-0.12363549,-0.03161909,0.3636363636363636,0.7142857142857143,0.4267223179340362,-0.23208001,0.03230849,-3.9285727,50.52778,84,0.37383902,0.12170943,0.6071428571428571,9,0.1071428571428571,451.0,0.14474887,1.3720623,0.75,1.0,0.6392742991447449,0.45681477,0.38123092,3.534115,45.02439,-0.43433319000000004,-0.26838436,-1.40368139,-0.3863636363636364,-0.2857142857142857,0.01614481409001961,-0.21255198121070867,-0.2643885,-5.503390000000003,-7.4626877,-0.03239576000000003,-0.38413859000000006,0.04169334333333332,-0.20165699999999998,0.07408910333333334,0.18248159000000003,-0.3082696425
2024,5,ARI,75,0.018347412,0.01647924,0.4933333333333333,11,0.1466666666666666,360.0,0.035308957,-0.18735608,0.3,0.8571428571428571,0.1401169896125793,-0.05894674,0.283703,-6.1153355,44.27778,77,-0.04566399,-0.020010065,0.4805194805194805,10,0.1298701298701298,384.0,-0.12418054,0.077106714,0.5,0.6,-0.3396266400814056,-0.024238903,-0.066717714,13.056415,36.272728,0.064011402,0.159489497,-0.264462794,-0.2,0.2571428571428571,0.01679653679653681,0.4797436296939849,-0.34264974,-8.005052,-19.171750499999998,-0.16635489933333336,-0.401877418,-0.05940828600000001,-0.303304888,0.10694661333333334,0.09857253,-0.33173855229999993
2024,6,ARI,75,-0.13058238,-0.042385746,0.4933333333333333,5,0.0666666666666666,303.0,-0.094110295,-0.35465604,0.3636363636363636,0.5714285714285714,-0.3571797609329223,-0.053089082,-0.22390738,-13.368213,48.333332,92,0.15743706,0.067573,0.532608695652174,11,0.1195652173913043,437.0,0.056317203,0.51075083,0.6,0.8,0.0857864022254943,0.464208,0.013319254,3.5073552,41.11236,-0.28801944,-0.150427498,-0.8654068699999999,-0.2363636363636364,-0.22857142857142865,-0.0528985507246377,-0.44296616315841664,0.17081829799999998,-7.220971999999996,-16.8755682,-0.21944707600000002,-0.15927653,-0.057576379333333344,0.0054957200000000095,0.16187069666666667,0.16477224999999998,-0.11890782550000001
2024,7,ARI,74,0.08256832,0.039820913,0.5135135135135135,11,0.1486486486486486,326.0,0.20053516,-0.3343014,0.4444444444444444,0.3333333333333333,0.0928910076618194,-0.013157101,0.039766796,-1.9688568,50.77778,78,0.10609165,-0.058169402,0.4871794871794871,9,0.1153846153846153,395.0,-0.06364127,0.48570022,0.5,0.875,-0.5275306701660156,0.1419059,-0.11566606,3.9943874,51.415585,-0.023523329999999995,0.26417643,-0.82000162,-0.05555555555555558,-0.5416666666666667,0.03326403326403331,0.6204216778278351,-0.052923897,0.6378050000000002,-5.9632442,-0.08251045600000001,0.41080986,-0.009888882666666677,0.14306249,0.07262157333333331,-0.26774737000000004,0.322413644
2024,8,ARI,83,0.22239152,0.067573,0.5301204819277109,12,0.144578313253012,389.0,0.2285344,0.310731,0.5333333333333333,0.6,0.1926019191741943,0.509265,-0.039183397,0.0,45.45679,79,0.19907688,0.067573,0.5316455696202531,10,0.1265822784810126,377.0,-0.006842261,0.72336185,0.7333333333333333,0.5,0.2284294962882995,0.22389682,0.14447995,-0.0,44.55844,0.023314639999999998,0.235376661,-0.41263085,-0.19999999999999996,0.09999999999999998,0.017996034771999375,-0.0358275771141052,0.5484483969999999,-0.8983500000000006,0.0,-0.09607604333333335,-0.040696762,0.058125819999999995,0.204044108,0.15420186333333333,0.24474087,-0.0101181607
2024,9,ARI,73,0.042803954,0.021443194,0.5068493150684932,10,0.136986301369863,350.0,-0.043907408,0.08144652,0.3846153846153846,0.625,0.2259434014558792,-0.31741786,0.09821913,-7.9737673,40.164383,92,-0.1788727,-0.31787193,0.3152173913043478,7,0.0760869565217391,241.0,-0.16428085,-0.2902907,0.25,0.4545454545454545,-0.3144374191761017,-0.23216914,-0.20979197,-0.0,54.19101,0.221676654,0.120373442,0.37173722,0.13461538461538458,0.17045454545454553,0.06089934484812391,0.5403808206319809,-0.41563699,14.026626999999998,-7.9737673,0.07382265466666667,0.509696094,0.11592126466666665,0.173386334,0.04209861,-0.33630976,0.39961070390000003
2024,10,ARI,72,0.3159037,0.24918334,0.5972222222222222,13,0.1805555555555555,406.0,0.34126243,0.35605982,0.5714285714285714,0.5,0.4838732481002807,0.7192222,0.0944023,0.0,46.826088,68,-0.049032316,0.040873338,0.5147058823529411,3,0.0441176470588235,207.0,0.016123822,-0.26132238,0.5,0.5714285714285714,-0.8735622763633728,-0.28666708,0.1320491,3.6887474,42.880596,0.36493601600000003,0.325138608,0.6173822,0.0714285714285714,-0.0714285714285714,0.13643790849673199,1.3574355244636536,0.6248199000000001,-3.9454920000000016,-3.6887474,0.20330910333333332,0.38845934600000004,0.19369972466666666,0.23333538,-0.009609378666666666,-0.155123966,0.3146780475
