season,week,team,drives,td_drives,fg_drives,punt_drives,to_drives,yds,plays,rz_drives,start_yardline_100_avg,ppd_basic_sum,ppd_true_sum,score_drives,score_rate,td_rate,fg_rate,turnover_rate,punt_rate,yds_per_drive,plays_per_drive,redzone_drive_rate,ppd_basic,ppd_points,side
2024,1,DET,13,3,2,4,1,363.0,79,6,65.25,27,,5,0.38461538461538464,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.3076923076923077,27.923076923076923,6.076923076923077,0.46153846153846156,2.076923076923077,2.076923076923077,off
2024,1,GB,19,4,2,2,3,410.0,95,13,47.68421052631579,34,,6,0.3157894736842105,0.21052631578947367,0.10526315789473684,0.15789473684210525,0.10526315789473684,21.57894736842105,5.0,0.6842105263157895,1.7894736842105263,1.7894736842105263,def
2024,1,GB,15,3,3,2,1,414.0,86,7,55.53333333333333,30,,6,0.4,0.2,0.2,0.06666666666666667,0.13333333333333333,27.6,5.733333333333333,0.4666666666666667,2.0,2.0,off
2024,1,HOU,9,4,0,3,1,303.0,59,5,62.77777777777778,28,,4,0.4444444444444444,0.4444444444444444,0.0,0.1111111111111111,0.3333333333333333,33.666666666666664,6.555555555555555,0.5555555555555556,3.111111111111111,3.111111111111111,def
2024,1,HOU,17,3,3,2,2,417.0,97,4,64.47058823529412,30,,6,0.35294117647058826,0.17647058823529413,0.17647058823529413,0.11764705882352941,0.11764705882352941,24.529411764705884,5.705882352941177,0.23529411764705882,1.7647058823529411,1.7647058823529411,off
2024,1,IND,17,3,3,2,2,417.0,97,4,64.47058823529412,30,,6,0.35294117647058826,0.17647058823529413,0.17647058823529413,0.11764705882352941,0.11764705882352941,24.529411764705884,5.705882352941177,0.23529411764705882,1.7647058823529411,1.7647058823529411,def
2024,1,IND,9,4,0,3,1,303.0,59,5,62.77777777777778,28,,4,0.4444444444444444,0.4444444444444444,0.0,0.1111111111111111,0.3333333333333333,33.666666666666664,6.555555555555555,0.5555555555555556,3.111111111111111,3.111111111111111,off
2024,1,JAX,20,2,2,4,0,400.0,86,4,57.94736842105263,20,,4,0.2,0.1,0.1,0.0,0.2,20.0,4.3,0.2,1.0,1.0,def
2024,1,JAX,13,2,1,6,1,267.0,72,3,67.38461538461539,17,,3,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.46153846153846156,20.53846153846154,5.538461538461538,0.23076923076923078,1.3076923076923077,1.3076923076923077,off
2024,1,KC,16,2,2,2,1,452.0,96,10,50.875,20,,4,0.25,0.125,0.125,0.0625,0.125,28.25,6.0,0.625,1.25,1.25,def
2024,1,KC,14,3,2,3,1,353.0,70,6,57.642857142857146,27,,5,0.35714285714285715,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.21428571428571427,25.214285714285715,5.0,0.42857142857142855,1.9285714285714286,1.9285714285714286,off
2024,1,LA,13,3,2,4,1,363.0,79,6,65.25,27,,5,0.38461538461538464,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.3076923076923077,27.923076923076923,6.076923076923077,0.46153846153846156,2.076923076923077,2.076923076923077,def
2024,1,LA,13,2,2,3,1,387.0,93,6,70.92307692307692,20,,4,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.23076923076923078,29.76923076923077,7.153846153846154,0.46153846153846156,1.5384615384615385,1.5384615384615385,off
2024,1,LAC,13,1,1,5,3,296.0,74,2,71.76923076923077,10,,2,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.38461538461538464,22.76923076923077,5.6923076923076925,0.15384615384615385,0.7692307692307693,0.7692307692307693,def
2024,1,LAC,17,2,3,7,1,316.0,78,7,55.8235294117647,23,,5,0.29411764705882354,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.4117647058823529,18.58823529411765,4.588235294117647,0.4117647058823529,1.3529411764705883,1.3529411764705883,off
2024,1,LV,17,2,3,7,1,316.0,78,7,55.8235294117647,23,,5,0.29411764705882354,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.4117647058823529,18.58823529411765,4.588235294117647,0.4117647058823529,1.3529411764705883,1.3529411764705883,def
2024,1,LV,13,1,1,5,3,296.0,74,2,71.76923076923077,10,,2,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.38461538461538464,22.76923076923077,5.6923076923076925,0.15384615384615385,0.7692307692307693,0.7692307692307693,off
2024,1,MIA,13,2,1,6,1,267.0,72,3,67.38461538461539,17,,3,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.46153846153846156,20.53846153846154,5.538461538461538,0.23076923076923078,1.3076923076923077,1.3076923076923077,def
2024,1,MIA,20,2,2,4,0,400.0,86,4,57.94736842105263,20,,4,0.2,0.1,0.1,0.0,0.2,20.0,4.3,0.2,1.0,1.0,off
2024,1,MIN,13,1,2,6,2,240.0,89,4,61.76923076923077,13,,3,0.23076923076923078,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.46153846153846156,18.46153846153846,6.846153846153846,0.3076923076923077,1.0,1.0,def
2024,1,MIN,14,3,0,4,2,312.0,68,4,71.21428571428571,21,,3,0.21428571428571427,0.21428571428571427,0.0,0.14285714285714285,0.2857142857142857,22.285714285714285,4.857142857142857,0.2857142857142857,1.5,1.5,off
2024,1,NE,8,1,1,4,2,224.0,61,2,76.125,10,,2,0.25,0.125,0.125,0.25,0.5,28.0,7.625,0.25,1.25,1.25,def
2024,1,NE,16,1,3,5,0,290.0,82,8,54.375,16,,4,0.25,0.0625,0.1875,0.0,0.3125,18.125,5.125,0.5,1.0,1.0,off
