season,team,rank_net_epa,net_epa,off_epa_per_play,def_epa_per_play_allowed
2025,IND,1,0.1914520282298325,0.1682359427213668,-0.0232160855084657
2025,HOU,2,0.1621770858764648,0.0144509971141815,-0.1477260887622833
2025,DET,3,0.1305837286636233,0.1194294914603233,-0.0111542372033
2025,SEA,4,0.1196049116551875,0.0781564339995384,-0.0414484776556491
2025,GB,5,0.095154820010066,0.1204798966646194,0.0253250766545534
2025,DEN,6,0.08317231573164459,0.0189354959875345,-0.0642368197441101
2025,WAS,7,0.0755628664046526,0.0972754806280136,0.021712614223361
2025,KC,8,0.06861897930502892,0.121330089867115,0.0527111105620861
2025,NE,9,0.0650016479194164,0.0676290616393089,0.0026274137198925
2025,LA,10,0.0647219861857592,0.004293433856219,-0.0604285523295402
2025,BUF,11,0.0603969432413578,0.1178920939564704,0.0574951507151126
2025,MIN,12,0.052454829216003404,-0.0431239306926727,-0.0955787599086761
2025,PIT,13,0.0451271068304777,0.0574434921145439,0.0123163852840662
2025,JAX,14,0.03907180018723,0.0081431902945041,-0.0309286098927259
2025,TB,15,0.026328653097152703,0.0498355142772197,0.023506861180067
2025,SF,16,0.009348543593659999,0.0124674187973141,0.0031188752036541
2025,ARI,17,0.0085164187476038,0.0171621572226285,0.0086457384750247
2025,LAC,18,0.0084322085604071,0.0068294974043965,-0.0016027111560106
2025,ATL,19,0.005524053238332301,-0.0149543052539229,-0.0204783584922552
2025,,20,0.0,0.0,0.0
2025,PHI,21,-0.0031054969877004988,0.0105336736887693,0.0136391706764698
2025,DAL,22,-0.008761182427406311,0.1540353596210479,0.1627965420484542
2025,CAR,23,-0.0330759263597428,0.0072181993164122,0.040294125676155
2025,CHI,24,-0.0369931217283009,-0.0114934984594583,0.0254996232688426
2025,NYG,25,-0.0506552103906869,-0.0162579994648695,0.0343972109258174
2025,MIA,26,-0.09620319306850429,0.065350204706192,0.1615533977746963
2025,LV,27,-0.1118018371053039,-0.1081299781799316,0.0036718589253723
2025,NO,28,-0.11524259671568861,-0.0871757343411445,0.0280668623745441
2025,BAL,29,-0.11681974469684059,0.0037131181452423,0.1205328628420829
2025,NYJ,30,-0.12145075947046269,-0.0136852860450744,0.1077654734253883
2025,CLE,31,-0.1471222395775839,-0.1454101204872131,0.0017121190903708
2025,CIN,32,-0.1863980963826179,-0.0888760909438133,0.0975220054388046
2025,TEN,33,-0.18739931285381312,-0.1475873589515686,0.0398119539022445
