season,team,side,drives,score_rate,td_rate,fg_rate,turnover_rate,punt_rate,ppd_basic,ppd_points,yds_per_drive,plays_per_drive,redzone_drive_rate,start_yardline_100_avg,start_own_yardline_avg,hidden_yards_per_drive,avg_start_yardline_100_off,turnover_drives,field_pos_advantage
2025,NO,def,20,0.45,0.25,0.2,0.05,0.4,2.34,2.34,30.97,7.71,0.26,68.29,31.71,-2.06,68.29,1.0,2.4044999999999987
2025,NO,off,20,0.3,0.19,0.11,0.1,0.4,1.68,1.68,31.45,8.29,0.41,70.35,29.65,-2.06,70.35,2.0,2.4044999999999987
2025,NYG,def,22,0.48,0.32,0.17,0.04,0.42,2.72,2.72,41.52,8.06,0.32,74.24,25.76,0.94,74.24,0.88,-1.5614285714285785
2025,NYG,off,21,0.4,0.17,0.24,0.1,0.46,1.88,1.88,33.92,7.49,0.32,73.31,26.69,0.94,73.31,2.1,-1.5614285714285785
2025,NYJ,def,20,0.55,0.3,0.25,0.0,0.35,2.85,2.85,33.7,7.2,0.3,68.4,31.6,-2.65,68.4,0.0,2.6499999999999915
2025,NYJ,off,20,0.4,0.25,0.15,0.05,0.45,2.2,2.2,27.4,6.2,0.25,71.05,28.95,-2.65,71.05,1.0,2.6499999999999915
2025,PHI,def,17,0.42,0.24,0.18,0.12,0.29,2.19,2.19,35.52,7.73,0.3,75.26,24.74,6.03,75.26,2.04,-6.286535947712409
2025,PHI,off,18,0.45,0.29,0.16,0.0,0.44,2.5,2.5,29.68,7.85,0.29,69.24,30.76,6.03,69.24,0.0,-6.286535947712409
2025,PIT,def,21,0.48,0.34,0.15,0.09,0.28,2.79,2.79,37.65,6.63,0.34,70.21,29.79,2.73,70.21,1.89,-2.7647619047619116
2025,PIT,off,21,0.43,0.2,0.24,0.09,0.38,2.08,2.08,25.69,6.24,0.19,67.48,32.52,2.73,67.48,1.89,-2.7647619047619116
2025,SEA,def,21,0.33,0.15,0.19,0.19,0.28,1.58,1.58,31.34,7.24,0.34,71.08,28.92,1.37,71.08,3.99,-1.1400000000000006
2025,SEA,off,21,0.33,0.19,0.15,0.19,0.43,1.74,1.74,29.45,6.23,0.29,69.71,30.29,1.37,69.71,3.99,-1.1400000000000006
2025,SF,def,21,0.29,0.19,0.1,0.15,0.43,1.6,1.6,25.45,6.45,0.29,69.71,30.29,-0.37,69.71,3.15,0.09238095238094957
2025,SF,off,21,0.38,0.24,0.14,0.15,0.28,2.08,2.08,34.84,7.7,0.34,70.08,29.92,-0.37,70.08,3.15,0.09238095238094957
2025,TB,def,20,0.4,0.2,0.2,0.0,0.35,2.0,2.0,31.2,6.9,0.2,67.75,32.25,-5.65,67.75,0.0,5.650000000000006
2025,TB,off,20,0.35,0.3,0.05,0.0,0.5,2.25,2.25,31.0,7.6,0.25,73.4,26.6,-5.65,73.4,0.0,5.650000000000006
2025,TEN,def,24,0.43,0.26,0.17,0.16,0.25,2.31,2.31,32.15,6.32,0.39,66.7,33.3,0.27,66.7,3.84,-0.6708333333333201
2025,TEN,off,24,0.38,0.05,0.34,0.12,0.5,1.33,1.33,16.57,6.32,0.21,66.44,33.56,0.27,66.44,2.88,-0.6708333333333201
2025,WAS,def,21,0.32,0.12,0.19,0.06,0.5,1.46,1.46,29.67,7.49,0.28,72.39,27.61,3.53,72.39,1.26,-3.000476190476192
2025,WAS,off,21,0.29,0.24,0.05,0.0,0.43,1.82,1.82,32.05,7.35,0.29,68.86,31.14,3.53,68.86,0.0,-3.000476190476192
