season,team,rank_net_epa,net_epa,off_epa_per_play,def_epa_per_play_allowed,clutch_index_0_100
2024,DET,1,0.1740189222389562,0.1332452073933982,-0.040773714845558,63.28973290057581
2024,BAL,2,0.15303287931904622,0.148175719018543,-0.0048571603005032,86.01945713437657
2024,PHI,3,0.1467071133281174,0.0924400676099856,-0.0542670457181318,26.675632742498188
2024,BUF,4,0.14066925544246983,0.1406281073631488,-4.114807932102916e-05,42.39190985947569
2024,GB,5,0.118475236823209,0.0757190040966792,-0.0427562327265298,44.93664291702376
2024,DEN,6,0.09399024300985631,0.015634054987537,-0.0783561880223193,34.53053109379573
2024,MIN,7,0.08649881621394409,0.0208516269266493,-0.0656471892872948,21.44220487753344
2024,TB,8,0.0804058811719204,0.0928392900937861,0.0124334089218657,100.0
2024,WAS,9,0.0790636419305942,0.1238124034431632,0.044748761512569,74.15971701807754
2024,LAC,10,0.0716136535315463,0.0279598672699531,-0.0436537862615932,55.37117764743595
2024,KC,11,0.050767164447745504,0.0522078259073667,0.0014406614596212,46.62744931120214
2024,CIN,12,0.046496306407516494,0.0997645164201807,0.0532682100126642,69.74400256270995
2024,ARI,13,0.0184881419506129,0.0622118679575094,0.0437237260068965,49.45449384823154
2024,HOU,14,0.0107087868487897,-0.0207457516012103,-0.03145453845,0.0
2024,PIT,15,0.005959485090227401,-0.0126783446084283,-0.0186378296986557,24.60042485172917
2024,,16,0.0,0.0,0.0,43.75299576338686
2024,ATL,17,-0.0012902979370622986,0.0256143989847118,0.0269046969217741,21.061125480570624
2024,SEA,18,-0.009314008767174501,-0.0190099049537344,-0.0096958961865599,44.83432956916961
2024,LA,19,-0.0124951580139104,0.0173445681293983,0.0298397261433087,26.121200120627915
2024,MIA,20,-0.022872374860147298,-0.0296003093199262,-0.0067279344597789,70.62651574026246
2024,SF,21,-0.025575269911143502,0.0300304167222052,0.0556056866333487,80.47226080665601
2024,NYJ,22,-0.0265960235885395,0.0080866092942505,0.03468263288279,72.58601404093888
2024,IND,23,-0.0419461665157334,-0.0343019364490097,0.0076442300667237,65.47621333595201
2024,CHI,24,-0.058898150720272,-0.0567290746765948,0.0021690760436772,37.54138396403141
2024,NO,25,-0.0666993286415013,-0.0577754373926691,0.0089238912488322,33.673785009368444
2024,JAX,26,-0.1020428607098477,-0.0026894473360346,0.0993534133738131,50.516597014602226
2024,DAL,27,-0.10452238317462981,-0.0622382458033707,0.0422841373712591,47.35079736829999
2024,LV,28,-0.10460644852487959,-0.1129425149169321,-0.0083360663920525,55.394375572465314
2024,NE,29,-0.11399398452939069,-0.0636456466030142,0.0503483379263765,31.137639684331905
2024,TEN,30,-0.1364571913966354,-0.0999023096064518,0.0365548817901836,39.66325759118848
2024,NYG,31,-0.13710398941477342,-0.0844666809955072,0.0526373084192662,17.618383799335355
2024,CLE,32,-0.14155358549288719,-0.1427261116017852,-0.001172526108898,38.66452956209006
2024,CAR,33,-0.15762886706275958,-0.0404686269438969,0.1171602401188627,54.87699205175403
