season,team,rank_net_epa,net_epa,off_epa_per_play,def_epa_per_play_allowed,net_third_down_sr,third_down_sr_off,third_down_sr_allowed,net_fourth_down_sr,fourth_down_sr_off,fourth_down_sr_allowed,net_early_down_epa,early_down_epa_off,early_down_epa_allowed,net_late_down_epa,late_down_epa_off,late_down_epa_allowed,net_explosive_rate,explosive_rate_off,explosive_rate_allowed,net_red_zone_epa,red_zone_epa_off,red_zone_epa_allowed,pass_rush_delta_off,pass_epa_per_play_off,rush_epa_per_play_off,turnover_epa_net,turnover_epa_off,turnover_epa_forced,field_pos_advantage,avg_start_yardline_100_off,avg_start_yardline_100_faced,plays_off,plays_def,total_yards_off,yards_allowed,off_median_epa,success_rate_off,explosive_plays_off,def_median_epa_allowed,success_rate_allowed,explosive_plays_allowed,pass_epa_per_play_allowed,rush_epa_per_play_allowed
2025,IND,1,0.1914520282298325,0.1682359427213668,-0.0232160855084657,-0.058589488267898615,0.4857142865657806,0.5443037748336792,0.24365079402923584,0.7714285850524902,0.5277777910232544,0.22868900746107101,0.1528393030166626,-0.0758497044444084,0.2570093180984258,0.239200085401535,-0.0178092326968908,0.0,0.0,0.0,0.07841122336685659,0.1037866324186325,0.0253754090517759,0.0,0.0,0.0,32.47445106506348,-15.733213424682615,-48.207664489746094,1.9136276245117188,41.91163635253906,43.82526397705078,475.0,482.0,2263.0,1977.0,0.0680721774697303,0.5381355881690979,0.0,0.007295399904251,0.5093945860862732,0.0,,
2025,HOU,2,0.1621770858764648,0.0144509971141815,-0.1477260887622833,-0.06439393758773798,0.375,0.439393937587738,0.3665973246097565,0.6486486196517944,0.2820512950420379,0.1158484206534921,0.0053479433991014,-0.1105004772543907,0.3296011798083781,0.0344052426517009,-0.2951959371566772,0.0,0.0,0.0,-0.0325564872473478,-0.0513936877250671,-0.0188372004777193,0.0,0.0,0.0,14.210945129394531,-18.97881317138672,-33.18975830078125,5.4250450134277415,49.51458740234375,54.93963241577149,384.0,388.0,1572.0,1329.0,-0.1055794507265091,0.4424083828926086,0.0,-0.1598614603281021,0.4207792282104492,0.0,,
2025,DET,3,0.1305837286636233,0.1194294914603233,-0.0111542372033,-0.03688094019889837,0.4246575236320495,0.4615384638309479,-0.037426918745040894,0.4888888895511627,0.5263158082962036,0.2296519428491591,0.1266162544488906,-0.1030356884002685,-0.1206213273108006,0.017384435981512,0.1380057632923126,0.0,0.0,0.0,0.12842108309268951,0.2357979118824005,0.107376828789711,0.0,0.0,0.0,35.31937789916992,-14.3162841796875,-49.63566207885742,3.6363067626953267,44.51619720458984,48.15250396728516,476.0,463.0,2122.0,1849.0,0.0392352826893329,0.5221987366676331,0.0,-0.1417898535728454,0.4630434811115265,0.0,,
2025,SEA,4,0.1196049116551875,0.0781564339995384,-0.0414484776556491,0.08512544631958008,0.4722222089767456,0.3870967626571655,-0.06022411584854126,0.5476190447807312,0.6078431606292725,0.0908192545175551,0.0685367956757545,-0.0222824588418006,0.0975763350725173,0.0415296182036399,-0.0560467168688774,0.0,0.0,0.0,0.1422290429472923,0.1028289794921875,-0.0394000634551048,0.0,0.0,0.0,-12.173381805419925,-33.347591400146484,-21.17420959472656,2.982402801513672,45.54401779174805,48.52642059326172,453.0,519.0,2138.0,1891.0,0.0,0.4955555498600006,0.0,-0.1003771126270294,0.4418604671955108,0.0,,
2025,GB,5,0.095154820010066,0.1204798966646194,0.0253250766545534,0.18654230237007147,0.5789473652839661,0.3924050629138946,0.02553194761276245,0.6000000238418579,0.5744680762290955,0.0347389578819275,0.0744073316454887,0.0396683737635612,0.31109115108847607,0.2511663436889648,-0.0599248073995113,0.0,0.0,0.0,0.001798659563064603,0.1851511001586914,0.1833524405956268,0.0,0.0,0.0,-11.369003295898438,-15.492660522460938,-4.1236572265625,2.540576934814453,45.44499969482422,47.98557662963867,410.0,420.0,1798.0,1405.0,0.0020981663838028,0.5012285113334656,0.0,-0.033518873155117,0.468899518251419,0.0,,
2025,DEN,6,0.08317231573164459,0.0189354959875345,-0.0642368197441101,0.1591324806213379,0.4382022619247436,0.2790697813034057,-0.05737704038619995,0.5,0.5573770403862,-0.0122382268309593,-0.044399257749319,-0.0321610309183597,0.2983151003718375,0.1067968383431434,-0.1915182620286941,0.0,0.0,0.0,0.4183490127325058,0.2435150146484375,-0.1748339980840683,0.0,0.0,0.0,-16.53868770599365,-25.700275421142575,-9.161587715148926,4.050567626953118,49.12955474853516,53.18012237548828,502.0,493.0,2024.0,1525.0,-0.1501103341579437,0.4428857862949371,0.0,-0.1245583370327949,0.4142857193946838,0.0,,
2025,WAS,7,0.0755628664046526,0.0972754806280136,0.021712614223361,-0.06349718570709229,0.3835616409778595,0.4470588266849518,0.034594595432281494,0.5945945978164673,0.5600000023841858,0.0622091684490442,0.0846723616123199,0.0224631931632757,0.0038398733595386,0.0012047333875671,-0.0026351399719715,0.0,0.0,0.0,0.2330088596791029,0.2177119255065918,-0.0152969341725111,0.0,0.0,0.0,-13.412097930908203,-30.707218170166016,-17.295120239257812,1.9984130859375,46.07725143432617,48.07566452026367,474.0,499.0,2078.0,2143.0,0.0238045156002044,0.5105932354927063,0.0,-0.1606903970241546,0.45252525806427,0.0,,
2025,KC,8,0.06861897930502892,0.121330089867115,0.0527111105620861,-0.0342168509960174,0.4457831382751465,0.4799999892711639,0.18350750207901,0.707317054271698,0.523809552192688,0.0347431972622871,0.0812381133437156,0.0464949160814285,0.23205655068159112,0.2523156702518463,0.0202591195702552,0.0,0.0,0.0,-0.0873978845775126,-0.0407377071678638,0.0466601774096488,0.0,0.0,0.0,-6.211048126220703,-29.50691795349121,-23.295869827270508,2.4590835571289134,44.04430389404297,46.50338745117188,484.0,451.0,2160.0,1867.0,0.0217829309403896,0.5062500238418579,0.0,0.0092314854264259,0.5077950954437256,0.0,,
2025,NE,9,0.0650016479194164,0.0676290616393089,0.0026274137198925,0.004738569259643499,0.4352941215038299,0.4305555522441864,0.11816465854644775,0.604651153087616,0.4864864945411682,-0.050612287595868,-0.0221474692225456,0.0284648183733224,0.3602264970541,0.2225588411092758,-0.1376676559448242,0.0,0.0,0.0,-0.1598617760464549,0.0153431417420506,0.1752049177885055,0.0,0.0,0.0,-12.88323974609375,-41.425537109375,-28.54229736328125,-0.26264190673828125,47.88272857666016,47.62008666992188,477.0,468.0,2020.0,1935.0,0.0,0.472573846578598,0.0,0.0,0.4838709533214569,0.0,,
2025,LA,10,0.0647219861857592,0.004293433856219,-0.0604285523295402,0.0322807133197785,0.4533333480358124,0.4210526347160339,-0.21857410669326782,0.5121951103210449,0.7307692170143127,0.2059751376509666,0.0257957056164741,-0.1801794320344925,-0.3152942061424255,-0.1075934916734695,0.207700714468956,0.0,0.0,0.0,-0.16076425462961202,-0.2039345949888229,-0.0431703403592109,0.0,0.0,0.0,0.7503013610839773,-42.2579345703125,-43.00823593139648,4.402843475341797,45.53879165649414,49.94163513183594,474.0,521.0,2250.0,1841.0,0.0356831923127174,0.5138592720031738,0.0,-0.1235661953687667,0.4384615421295166,0.0,,
