season,team,off_3d_att,off_3d_conv,off_3d_epa_per_play,off_3d_sr,off_3d_rate,off_3d_pass_rate,off_3d_avg_togo,def_3d_att_faced,def_3d_allowed_conv,def_3d_epa_allowed_per_play,def_3d_sr_allowed,def_3d_allowed_rate,def_3d_pass_rate_faced,def_3d_avg_togo_faced
2024,ARI,210,91,0.05915672207991983,0.4296123858840122,0.43333333333333335,0.6459419281218589,6.309057666670123,227,95,-0.030160603959236483,0.39921582166391856,0.4185022026431718,0.7314456737034591,6.618996574359896
2024,ATL,229,95,-0.03781152045863062,0.40561791630130734,0.4148471615720524,0.7074943462919242,7.050134208352201,224,99,0.2420897283931679,0.4418683483698964,0.4419642857142857,0.744101460974526,7.09762013012787
2024,BAL,231,114,0.34642538446565413,0.490951450510274,0.4935064935064935,0.6648411186336883,7.048601561836856,281,111,-0.0036578645430636442,0.39138550218271584,0.39501779359430605,0.7597050610208506,6.738578724337238
2024,BUF,266,118,0.22897621426643636,0.4412717307202601,0.44360902255639095,0.6712352190293367,6.61958146020646,253,115,0.16608155487030635,0.4459439090321443,0.45454545454545453,0.7350782101885043,7.479768107709285
2024,CAR,238,83,-0.18417757156278602,0.3445719841481087,0.3487394957983193,0.7636541418980866,6.82656781415432,241,120,0.26518959172439116,0.4967382530963846,0.4979253112033195,0.6477452910411389,6.152696064028244
2024,CHI,258,85,-0.24103064012756897,0.32719853675736027,0.32945736434108525,0.7509291362232539,7.674893570481807,228,86,-0.15374230147218435,0.3683858625035096,0.37719298245614036,0.7772888875830053,6.602302272890508
2024,CIN,234,107,0.056118778950205166,0.45418523229941915,0.45726495726495725,0.7895795093026927,6.291405826007902,231,102,-0.014392833322934017,0.44255527248606835,0.44155844155844154,0.6773597221694108,6.662166706803385
2024,CLE,269,78,-0.34907534446910654,0.2810871846338974,0.2899628252788104,0.7495690391884163,7.800376401760485,235,86,-0.024620613168103003,0.3644357372731075,0.3659574468085106,0.7647047108984825,7.141298532301993
2024,DAL,256,99,-0.14660648583367136,0.3790657578423923,0.38671875,0.6931034416624473,6.962181519031364,225,78,-0.08370341163099333,0.36078417929629003,0.3466666666666667,0.6861289229801341,7.068785741363596
2024,DEN,252,93,-0.08464342759633212,0.3658311717522244,0.36904761904761907,0.7878699302073915,6.928240180155814,277,106,-0.051918654922244525,0.3817121072323096,0.38267148014440433,0.7279590604858698,7.629580575112724
2024,DET,228,106,0.20424311850174626,0.4638064912574717,0.4649122807017544,0.6879018131469112,6.190426961382844,221,75,-0.15046569792876502,0.339400337317004,0.3393665158371041,0.772574724658058,7.592907632490967
2024,GB,230,97,0.045937450204222095,0.40892502559169225,0.4217391304347826,0.7334751668085002,6.673053489720156,238,87,-0.28069077078717364,0.353284447034447,0.36554621848739494,0.7062402874902874,6.855209142709143
2024,HOU,298,111,-0.0018883430431587893,0.37324116982541294,0.3724832214765101,0.7889463253871759,7.7218047127225065,263,93,-0.1527228774198624,0.3563826352526043,0.35361216730038025,0.7728440805840187,7.716035134456186
2024,IND,229,87,-0.08410195561525317,0.37130562632292735,0.3799126637554585,0.6562776468053284,6.824719455861324,248,110,0.053523679543745074,0.4410380277162284,0.4435483870967742,0.7082405435779139,6.346550613938157
2024,JAX,221,81,-0.13644611427382422,0.36022090654443595,0.3665158371040724,0.7307295645530939,6.597034419828538,248,106,0.2741662122906927,0.43407998671839504,0.4274193548387097,0.7460762468980463,7.184106075585314
2024,KC,277,130,0.1412923968043886,0.4542177960927961,0.4693140794223827,0.7806539987789988,6.663063186813187,284,121,0.004599013433923944,0.416637198585728,0.426056338028169,0.7120645286086462,7.127013195138195
2024,LA,244,92,-0.20172950059540398,0.36344076460175534,0.3770491803278688,0.6878390572276022,6.8053243325302155,262,110,0.014543037642236916,0.42319218449249413,0.4198473282442748,0.6999109894233734,7.205394785812742
2024,LAC,244,98,-0.0370218527430813,0.3849337882619616,0.4016393442622951,0.6740064802758301,7.314614527772422,255,89,-0.18070644338018793,0.3404988121899886,0.34901960784313724,0.7447151931220559,7.244727961762275
2024,LV,242,87,-0.23426908393910445,0.35255502429742097,0.359504132231405,0.7455853046364793,7.3323723919699155,242,95,0.010634125029362732,0.38296624559600334,0.3925619834710744,0.7656200633276758,7.383041914832572
2024,MIA,230,87,-0.1813440173868796,0.37304460245636717,0.3782608695652174,0.7329427925016161,7.017431588019823,231,80,-0.16182101306128674,0.347939925318818,0.3463203463203463,0.7231752916441497,7.399646912103659
2024,MIN,243,99,-0.017126600642479544,0.4020526405330327,0.4074074074074074,0.7866574737898268,7.539815621923465,253,90,-0.08456252300738053,0.35473554223554227,0.3557312252964427,0.7416888666888667,7.847278493111826
2024,NE,238,84,-0.22644697729666025,0.33996191716779955,0.35294117647058826,0.7658211886153063,6.974841906459553,236,105,0.046435964357698145,0.43861965600719927,0.4449152542372881,0.7039679899108965,6.158455010963661
2024,NO,234,84,-0.06484669431898035,0.3769961679996282,0.358974358974359,0.6926510724953632,7.440980328783097,241,97,0.041629273168715654,0.3991788397361153,0.4024896265560166,0.7926094454322464,7.044105545398571
2024,NYG,260,93,-0.03459921619770296,0.3660142097425835,0.3576923076923077,0.7357658249094235,6.906169325676246,239,100,0.11849780302957379,0.41805700547050023,0.41841004184100417,0.6351314823200636,6.6910854524176315
2024,NYJ,238,96,0.047520464620902814,0.4142417820298819,0.40336134453781514,0.7844032615997412,7.107012954699881,236,90,0.016837087364762547,0.3895142267433289,0.3813559322033898,0.7093745392894,6.952277138925745
