defteam,season,def_plays,expl_rush_allowed,expl_pass_allowed,expl_total_allowed,expl_rate_allowed,chunk20_allowed,chunk20_rate
ARI,2025,143,4,9,13,0.09090909090909091,0,0.0
ATL,2025,101,4,7,11,0.10891089108910891,0,0.0
BAL,2025,146,3,15,18,0.1232876712328767,0,0.0
BUF,2025,156,18,10,28,0.1794871794871795,0,0.0
CAR,2025,107,7,9,16,0.14953271028037382,0,0.0
CHI,2025,107,9,9,18,0.16822429906542055,0,0.0
CIN,2025,141,1,13,14,0.09929078014184398,0,0.0
CLE,2025,99,1,7,8,0.08080808080808081,0,0.0
DAL,2025,124,7,9,16,0.12903225806451613,0,0.0
DEN,2025,122,3,7,10,0.08196721311475409,0,0.0
DET,2025,110,7,13,20,0.18181818181818182,0,0.0
GB,2025,128,1,5,6,0.046875,0,0.0
HOU,2025,127,5,12,17,0.13385826771653545,0,0.0
IND,2025,100,6,8,14,0.14,0,0.0
JAX,2025,125,2,9,11,0.088,0,0.0
KC,2025,115,5,9,14,0.12173913043478261,0,0.0
LA,2025,121,5,8,13,0.10743801652892562,0,0.0
LAC,2025,122,8,7,15,0.12295081967213115,0,0.0
LV,2025,121,3,10,13,0.10743801652892562,0,0.0
MIA,2025,179,15,19,34,0.18994413407821228,0,0.0
MIN,2025,125,11,9,20,0.16,0,0.0
NE,2025,112,2,17,19,0.16964285714285715,0,0.0
NO,2025,125,6,5,11,0.088,0,0.0
NYG,2025,145,12,14,26,0.1793103448275862,0,0.0
NYJ,2025,120,3,12,15,0.125,0,0.0
PHI,2025,112,6,10,16,0.14285714285714285,0,0.0
PIT,2025,126,10,14,24,0.19047619047619047,0,0.0
SEA,2025,129,2,8,10,0.07751937984496124,0,0.0
SF,2025,116,3,9,12,0.10344827586206896,0,0.0
TB,2025,115,3,11,14,0.12173913043478261,0,0.0
TEN,2025,126,9,11,20,0.15873015873015872,0,0.0
WAS,2025,123,4,12,16,0.13008130081300814,0,0.0
